universe_id,entry_market_context,trade_count,final_net_pnl_sum,pre_lock_net_contribution_sum,post_lock_net_contribution_sum
C2,MIXED,2,-669.155024087819,-742.1085275752794,72.95350348746032
C2,SUPPORTIVE,43,-14992.061775709592,-9260.7512351486,-5731.310540560992
D2,MIXED,2,-669.155024087819,-742.1085275752794,72.95350348746032
D2,SUPPORTIVE,43,-14992.061775709592,-9260.7512351486,-5731.310540560992
E2,MIXED,2,-669.155024087819,-742.1085275752794,72.95350348746032
E2,SUPPORTIVE,43,-14992.061775709592,-9260.7512351486,-5731.310540560992
