universe_id,crisis_tag,trade_count,final_net_pnl_sum,pre_lock_net_contribution_sum,post_lock_net_contribution_sum
C2,NONE,45,-15661.21679979741,-10002.859762723878,-5658.357037073532
D2,NONE,45,-15661.21679979741,-10002.859762723878,-5658.357037073532
E2,NONE,45,-15661.21679979741,-10002.859762723878,-5658.357037073532
