universe_id,family_bucket,trade_count,final_net_pnl_sum,pre_lock_net_contribution_sum,post_lock_net_contribution_sum
C2,MB,37,-15963.24603817489,-10695.7607864628,-5267.485251712088
C2,RS,8,302.02923837747846,692.9010237389225,-390.8717853614439
D2,MB,37,-15963.24603817489,-10695.7607864628,-5267.485251712088
D2,RS,8,302.02923837747846,692.9010237389225,-390.8717853614439
E2,MB,37,-15963.24603817489,-10695.7607864628,-5267.485251712088
E2,RS,8,302.02923837747846,692.9010237389225,-390.8717853614439
