universe_id,total_2022_net_pnl,total_2022_trade_count,crossed_to_locked_trade_count,no_lock_cross_trade_count,crossed_final_net_pnl_sum,no_lock_cross_final_net_pnl_sum,pre_lock_net_contribution_sum,post_lock_net_contribution_sum,median_post_lock_net_contribution,negative_post_lock_trade_count,positive_post_lock_trade_count,post_lock_damage_fraction_of_total_loss
C2,-15661.21679979741,45,13,32,-9156.133996526089,-6505.082803271322,-10002.859762723878,-5658.357037073531,-117.3598338330898,9,4,0.36129740807538824
D2,-15661.21679979741,45,13,32,-9156.133996526089,-6505.082803271322,-10002.859762723878,-5658.357037073531,-117.3598338330898,9,4,0.36129740807538824
E2,-15661.21679979741,45,13,32,-9156.133996526089,-6505.082803271322,-10002.859762723878,-5658.357037073531,-117.3598338330898,9,4,0.36129740807538824
