symbol,logical_path,rows,first_close,last_close,committed_status,missing_intervals,invalid_rows,future_context_violations,manifest_sha256
AVAX/USDT,kucoin/AVAX-USDT/1h.parquet,33168,2021-03-21T01:00:00+00:00,2025-01-01T00:00:00+00:00,PASS,0,0,0,ce52c80abf0f2e485d7766adf536499d3a361e2c392df00ab87eace23ef46a8a
BTC/USDT,kucoin/BTC-USDT/1h.parquet,52608,2019-01-01T01:00:00+00:00,2025-01-01T00:00:00+00:00,PASS,0,0,0,16ad84288c8ec859da367b9cafaf1c76a05045de4f81289b4b31b7840c08d773
ETH/USDT,kucoin/ETH-USDT/1h.parquet,52608,2019-01-01T01:00:00+00:00,2025-01-01T00:00:00+00:00,PASS,0,0,0,58bdac8b9d0f724bfabbed33f20bf9b5954f9cb9258f6d135e7c3622f431dc6e
LINK/USDT,kucoin/LINK-USDT/1h.parquet,37488,2020-09-22T01:00:00+00:00,2025-01-01T00:00:00+00:00,PASS,0,0,0,ceee40a532bff46ca8b5d44a5433ae96ec6b3bb8b217ae427c27d229bd05c603
NEAR/USDT,kucoin/NEAR-USDT/1h.parquet,28848,2021-09-17T01:00:00+00:00,2025-01-01T00:00:00+00:00,PASS,0,0,0,776d4c2023593d2892637dcb71215748eca7c6e5b7c5c60f1d402fa571b30705
SOL/USDT,kucoin/SOL-USDT/1h.parquet,28848,2021-09-17T01:00:00+00:00,2025-01-01T00:00:00+00:00,PASS,0,0,0,35da5d4dc82378811a22edfe922e4b7c75051e66f17a3c548bd20f0f2b5df0d8
