run_id,universe_id,cost_multiplier,partition_id,start_equity,end_equity,net_return
C2_1x,C2,1.0,DISCOVERY_2019_2021,100000.0,20664.23093627577,-0.7933576906372423
C2_1x,C2,1.0,VALIDATION_2022,20664.23093627577,9461.664983131128,-0.5421235364476445
C2_1x,C2,1.0,STRESS_2023,9461.664983131128,6846.9377373939,-0.2763495907325967
C2_2x,C2,2.0,DISCOVERY_2019_2021,100000.0,2554.5672611832338,-0.9744543273881676
C2_2x,C2,2.0,VALIDATION_2022,2554.5672611832338,567.4820881411708,-0.7778558831610789
C2_2x,C2,2.0,STRESS_2023,567.4820881411708,153.38175361944764,-0.7297152512392755
D2_1x,D2,1.0,DISCOVERY_2019_2021,100000.0,22629.57234614523,-0.7737042765385477
D2_1x,D2,1.0,VALIDATION_2022,22629.57234614523,10361.548557555157,-0.5421235364476444
D2_1x,D2,1.0,STRESS_2023,10361.548557555157,7173.579300944516,-0.3076730508864066
D2_2x,D2,2.0,DISCOVERY_2019_2021,100000.0,2770.1505599379175,-0.9722984944006208
D2_2x,D2,2.0,VALIDATION_2022,2770.1505599379175,615.3726496482528,-0.7778558831610785
D2_2x,D2,2.0,STRESS_2023,615.3726496482528,157.12740294635952,-0.7446630053575283
E2_1x,E2,1.0,DISCOVERY_2019_2021,100000.0,20551.17705640155,-0.7944882294359845
E2_1x,E2,1.0,VALIDATION_2022,20551.17705640155,9409.900272423432,-0.5421235364476453
E2_1x,E2,1.0,STRESS_2023,9409.900272423432,6529.697187171152,-0.30608221148665915
E2_2x,E2,2.0,DISCOVERY_2019_2021,100000.0,2543.770079579073,-0.9745622992042092
E2_2x,E2,2.0,VALIDATION_2022,2543.770079579073,565.0835577693656,-0.7778558831610787
E2_2x,E2,2.0,STRESS_2023,565.0835577693656,146.15089859052196,-0.7413640928300159
