run_id,universe_id,cost_multiplier,year,start_equity,end_equity,return
C2_1x,C2,1.0,2019,100000.0,68302.08049805598,-0.3169791950194403
C2_1x,C2,1.0,2020,68302.08049805598,30194.49743001054,-0.5579271200842859
C2_1x,C2,1.0,2021,30194.49743001054,20664.23093627577,-0.31562924721053864
C2_1x,C2,1.0,2022,20664.23093627577,9461.664983131128,-0.5421235364476445
C2_1x,C2,1.0,2023,9461.664983131128,6846.9377373939,-0.2763495907325967
C2_2x,C2,2.0,2019,100000.0,44260.95556726025,-0.5573904443273975
C2_2x,C2,2.0,2020,44260.95556726025,7897.083990078599,-0.821578999168286
C2_2x,C2,2.0,2021,7897.083990078599,2554.5672611832338,-0.6765176533018222
C2_2x,C2,2.0,2022,2554.5672611832338,567.4820881411708,-0.7778558831610789
C2_2x,C2,2.0,2023,567.4820881411708,153.38175361944764,-0.7297152512392755
D2_1x,D2,1.0,2019,100000.0,65175.22391314608,-0.34824776086853915
D2_1x,D2,1.0,2020,65175.22391314608,30488.558925366935,-0.5322063033339686
D2_1x,D2,1.0,2021,30488.558925366935,22629.57234614523,-0.25776838447693606
D2_1x,D2,1.0,2022,22629.57234614523,10361.548557555157,-0.5421235364476444
D2_1x,D2,1.0,2023,10361.548557555157,7173.579300944516,-0.3076730508864066
D2_2x,D2,2.0,2019,100000.0,41599.06876544443,-0.5840093123455558
D2_2x,D2,2.0,2020,41599.06876544443,7845.211092270612,-0.8114089732030857
D2_2x,D2,2.0,2021,7845.211092270612,2770.1505599379175,-0.6468991685045709
D2_2x,D2,2.0,2022,2770.1505599379175,615.3726496482528,-0.7778558831610785
D2_2x,D2,2.0,2023,615.3726496482528,157.12740294635952,-0.7446630053575283
E2_1x,E2,1.0,2019,100000.0,68302.08049805598,-0.3169791950194403
E2_1x,E2,1.0,2020,68302.08049805598,30194.49743001054,-0.5579271200842859
E2_1x,E2,1.0,2021,30194.49743001054,20551.17705640155,-0.319373435373838
E2_1x,E2,1.0,2022,20551.17705640155,9409.900272423432,-0.5421235364476453
E2_1x,E2,1.0,2023,9409.900272423432,6529.697187171152,-0.30608221148665915
E2_2x,E2,2.0,2019,100000.0,44260.95556726025,-0.5573904443273975
E2_2x,E2,2.0,2020,44260.95556726025,7897.083990078599,-0.821578999168286
E2_2x,E2,2.0,2021,7897.083990078599,2543.770079579073,-0.677884889818203
E2_2x,E2,2.0,2022,2543.770079579073,565.0835577693656,-0.7778558831610787
E2_2x,E2,2.0,2023,565.0835577693656,146.15089859052196,-0.7413640928300159
