run_id,universe_id,cost_multiplier,removed_year,removed_net_pnl,remaining_net_pnl
C2_1x,C2,1.0,2019,-31697.919501943907,-61455.14276066206
C2_1x,C2,1.0,2020,-38117.06369793821,-55035.99856466775
C2_1x,C2,1.0,2021,-9520.785863841982,-83632.27639876398
C2_1x,C2,1.0,2022,-11207.296613863171,-81945.76564874279
C2_1x,C2,1.0,2023,-2609.9965850186886,-90543.06567758728
C2_2x,C2,2.0,2019,-55739.04443273996,-44107.573813640774
C2_2x,C2,2.0,2020,-36367.80934149141,-63478.80890488932
C2_2x,C2,2.0,2021,-5338.578964585572,-94508.03928179517
C2_2x,C2,2.0,2022,-1987.652918641781,-97858.96532773896
C2_2x,C2,2.0,2023,-413.53258892200574,-99433.08565745872
D2_1x,D2,1.0,2019,-34824.7760868543,-58001.64461220165
D2_1x,D2,1.0,2020,-34696.23794867401,-58130.18275038194
D2_1x,D2,1.0,2021,-7849.413618326942,-84977.007080729
D2_1x,D2,1.0,2022,-12273.204374758723,-80553.21632429722
D2_1x,D2,1.0,2023,-3182.788670441961,-89643.63202861398
D2_2x,D2,2.0,2019,-58400.93123455572,-41441.941362498015
D2_2x,D2,2.0,2020,-33757.76957182913,-66085.10302522461
D2_2x,D2,2.0,2021,-5071.14863367734,-94771.7239633764
D2_2x,D2,2.0,2022,-2155.3935686889827,-97687.47902836475
D2_2x,D2,2.0,2023,-457.62958830257975,-99385.24300875116
E2_1x,E2,1.0,2019,-31697.919501943907,-61772.383310884805
E2_1x,E2,1.0,2020,-38117.06369793821,-55353.2391148905
E2_1x,E2,1.0,2021,-9633.839743716204,-83836.4630691125
E2_1x,E2,1.0,2022,-11145.981563281039,-82324.32124954768
E2_1x,E2,1.0,2023,-2875.498305949336,-90594.80450687937
E2_2x,E2,2.0,2019,-55739.04443273996,-44114.804668669705
E2_2x,E2,2.0,2020,-36367.80934149141,-63486.039759918254
E2_2x,E2,2.0,2021,-5349.376146189733,-94504.47295521993
E2_2x,E2,2.0,2022,-1979.2518677652924,-97874.59723364437
E2_2x,E2,2.0,2023,-418.3673132232602,-99435.4817881864
