run_id,universe_id,cost_multiplier,timestamp,equity,cash,gross_market_value,position_count,drawdown,active
C2_1x,C2,1.0,2019-04-01 00:00:00+00:00,100303.71870975512,94203.7813234253,6099.937386329827,2,-0.0001092392359659522,True
C2_1x,C2,1.0,2019-04-02 00:00:00+00:00,100474.84603975892,95803.05917645781,4671.786863301109,4,-0.0004356819128202849,True
C2_1x,C2,1.0,2019-04-03 00:00:00+00:00,99984.16804471264,99617.50513615455,366.6629085580992,3,-0.013882351968450335,True
C2_1x,C2,1.0,2019-04-04 00:00:00+00:00,99275.666916645,98149.17154275143,1126.4953738935699,1,-0.020870112928018658,True
C2_1x,C2,1.0,2019-04-05 00:00:00+00:00,99447.59481523826,76114.18633045789,23333.408484780368,5,-0.01917443311883149,True
C2_1x,C2,1.0,2019-04-06 00:00:00+00:00,99164.42438960508,98946.32509764742,218.09929195764892,1,-0.021967268820505925,True
C2_1x,C2,1.0,2019-04-07 00:00:00+00:00,99503.30655804733,86191.30936048452,13311.997197562818,3,-0.01862496279906989,True
C2_1x,C2,1.0,2019-04-08 00:00:00+00:00,99155.92457071901,76989.55776806457,22166.36680265445,2,-0.0220511003067555,True
C2_1x,C2,1.0,2019-04-09 00:00:00+00:00,98542.76304199021,84216.81685766386,14325.946184326354,1,-0.028098551782303915,True
C2_1x,C2,1.0,2019-04-10 00:00:00+00:00,98633.64800711666,84901.40496542632,13732.243041690332,1,-0.02720217718815976,True
C2_1x,C2,1.0,2019-04-11 00:00:00+00:00,98211.96642156168,98211.96642156168,0.0,0,-0.031361112162542226,True
C2_1x,C2,1.0,2019-04-12 00:00:00+00:00,98211.96642156168,98211.96642156168,0.0,0,-0.031361112162542226,False
C2_1x,C2,1.0,2019-04-13 00:00:00+00:00,98211.96642156168,98211.96642156168,0.0,0,-0.031361112162542226,False
C2_1x,C2,1.0,2019-04-14 00:00:00+00:00,98211.96642156168,98211.96642156168,0.0,0,-0.031361112162542226,False
C2_1x,C2,1.0,2019-04-15 00:00:00+00:00,98073.71623611465,98073.71623611465,0.0,0,-0.032724637512395516,True
C2_1x,C2,1.0,2019-04-16 00:00:00+00:00,98300.46904053896,83443.33209205908,14857.13694847988,4,-0.030488234024160565,True
C2_1x,C2,1.0,2019-04-17 00:00:00+00:00,98412.82520524408,83343.98031923993,15068.844886004159,5,-0.02938009461521629,True
C2_1x,C2,1.0,2019-04-18 00:00:00+00:00,98860.95006199047,85508.94040072778,13352.009661262691,4,-0.024960356586675503,True
C2_1x,C2,1.0,2019-04-19 00:00:00+00:00,98592.54830221976,93871.7483138489,4720.799988370855,2,-0.02760753280715733,True
C2_1x,C2,1.0,2019-04-20 00:00:00+00:00,98897.10589093044,98897.10589093044,0.0,0,-0.02460376112067164,True
C2_1x,C2,1.0,2019-04-21 00:00:00+00:00,98836.4315260208,98836.4315260208,0.0,0,-0.025202176481729066,True
C2_1x,C2,1.0,2019-04-22 00:00:00+00:00,98960.15107274619,93376.5187870626,5583.6322856835895,1,-0.02398196301375466,True
C2_1x,C2,1.0,2019-04-23 00:00:00+00:00,99121.76202117314,93376.5187870626,5745.243234110541,1,-0.02238803658044508,True
C2_1x,C2,1.0,2019-04-24 00:00:00+00:00,99005.07151140561,99005.07151140561,0.0,0,-0.02353892449890138,True
C2_1x,C2,1.0,2019-04-25 00:00:00+00:00,97996.31978594064,89174.86696455108,8821.452821389557,1,-0.03348797841830231,True
C2_1x,C2,1.0,2019-04-26 00:00:00+00:00,97867.34270279786,97867.34270279786,0.0,0,-0.03476004559019541,True
