run_id,universe_id,cost_multiplier,removed_asset,removed_net_pnl,remaining_net_pnl
C2_2x,C2,2.0,KCS-USDT,-35701.03512594908,-64145.58312043166
C2_2x,C2,2.0,LINK-USDT,-1.549800013772293,-99845.06844636696
C2_2x,C2,2.0,LTC-USDT,-17533.87604353014,-82312.7422028506
C2_2x,C2,2.0,LUNC-USDT,-45.60840056853535,-99801.0098458122
C2_2x,C2,2.0,MANA-USDT,-93.41549680925789,-99753.20274957147
C2_2x,C2,2.0,NEAR-USDT,7.936175713401169,-99854.55442209414
C2_2x,C2,2.0,NEO-USDT,-716.2643201202236,-99130.3539262605
C2_2x,C2,2.0,OP-USDT,-16.526695333077882,-99830.09155104766
C2_2x,C2,2.0,SAND-USDT,-96.41946006009684,-99750.19878632063
C2_2x,C2,2.0,SHIB-USDT,180.31119849511077,-100026.92944487584
C2_2x,C2,2.0,SOL-USDT,-159.1570514003983,-99687.46119498034
C2_2x,C2,2.0,TRX-USDT,-1811.29520183391,-98035.32304454682
C2_2x,C2,2.0,VET-USDT,-290.6544469709952,-99555.96379940974
C2_2x,C2,2.0,XMR-USDT,-48.89081826042111,-99797.72742812031
C2_2x,C2,2.0,XRP-USDT,-10916.603841710914,-88930.01440466983
C2_2x,C2,2.0,XTZ-USDT,-1773.1492204040308,-98073.46902597671
D2_1x,D2,1.0,ADA-USDT,-2222.7723128712732,-90603.64838618468
D2_1x,D2,1.0,ATOM-USDT,-3227.6634059393555,-89598.75729311659
D2_1x,D2,1.0,AVAX-USDT,-1201.2269977497663,-91625.19370130618
D2_1x,D2,1.0,BNB-USDT,-28.8593169791934,-92797.56138207675
D2_1x,D2,1.0,BTC-USDT,-5113.858452257011,-87712.56224679893
D2_1x,D2,1.0,DOGE-USDT,-2764.3515774389493,-90062.069121617
D2_1x,D2,1.0,DOT-USDT,-2174.985326627676,-90651.43537242827
D2_1x,D2,1.0,ETH-USDT,-7633.586160517123,-85192.83453853882
D2_1x,D2,1.0,INJ-USDT,-243.60502750558055,-92582.81567155037
D2_1x,D2,1.0,JASMY-USDT,-352.1174279504175,-92474.30327110553
D2_1x,D2,1.0,KCS-USDT,-31575.71674437775,-61250.703954678196
D2_1x,D2,1.0,LINK-USDT,8.232558112131114,-92834.65325716807
D2_1x,D2,1.0,LTC-USDT,-17552.161632119554,-75274.25906693639
D2_1x,D2,1.0,LUNC-USDT,-498.89124400121204,-92327.52945505474
D2_1x,D2,1.0,NEAR-USDT,202.38361107556344,-93028.80431013151
D2_1x,D2,1.0,OP-USDT,-298.344765894944,-92528.075933161
D2_1x,D2,1.0,SAND-USDT,-928.8250202112002,-91897.59567884475
D2_1x,D2,1.0,SHIB-USDT,1582.9636225107395,-94409.38432156669
D2_1x,D2,1.0,SOL-USDT,-13.194608414332777,-92813.22609064162
D2_1x,D2,1.0,TRX-USDT,-8011.617775177241,-84814.80292387871
D2_1x,D2,1.0,XMR-USDT,-1291.700376618916,-91534.72032243703
D2_1x,D2,1.0,XRP-USDT,-8815.850041702563,-84010.57065735338
D2_1x,D2,1.0,XTZ-USDT,-670.6722764003066,-92155.74842265564
D2_2x,D2,2.0,ADA-USDT,-1631.1742778931164,-98211.69831916061
D2_2x,D2,2.0,ATOM-USDT,-896.9969599564033,-98945.87563709733
D2_2x,D2,2.0,AVAX-USDT,-258.4921032873074,-99584.38049376642
D2_2x,D2,2.0,BNB-USDT,-274.84007816010114,-99568.03251889364
D2_2x,D2,2.0,BTC-USDT,-11281.708753958845,-88561.1638430949
D2_2x,D2,2.0,DOGE-USDT,-585.3215039017022,-99257.55109315203
D2_2x,D2,2.0,DOT-USDT,-410.7646902351887,-99432.10790681855
D2_2x,D2,2.0,ETH-USDT,-13626.259204810121,-86216.61339224361
D2_2x,D2,2.0,INJ-USDT,-13.80986508541344,-99829.06273196833
D2_2x,D2,2.0,JASMY-USDT,-41.215396369471065,-99801.65720068426
D2_2x,D2,2.0,KCS-USDT,-33014.0714142265,-66828.80118282724
D2_2x,D2,2.0,LINK-USDT,-1.3686530593144641,-99841.50394399442
D2_2x,D2,2.0,LTC-USDT,-17353.19640939329,-82489.67618766044
D2_2x,D2,2.0,LUNC-USDT,-49.45735361623713,-99793.4152434375
D2_2x,D2,2.0,NEAR-USDT,8.605920043796827,-99851.47851709754
D2_2x,D2,2.0,OP-USDT,-17.921404938715142,-99824.95119211503
D2_2x,D2,2.0,SAND-USDT,-155.71360700075283,-99687.15899005298
D2_2x,D2,2.0,SHIB-USDT,194.7112658246749,-100037.58386287841
D2_2x,D2,2.0,SOL-USDT,-176.1564163657863,-99666.71618068794
D2_2x,D2,2.0,TRX-USDT,-9734.586254008675,-90108.28634304507
D2_2x,D2,2.0,XMR-USDT,-60.85010921457455,-99782.02248783916
D2_2x,D2,2.0,XRP-USDT,-10095.285403655873,-89747.58719339786
D2_2x,D2,2.0,XTZ-USDT,-366.9999237848368,-99475.8726732689
