universe_id,gate_id,passed
C2,BASE_NET_RETURN_POSITIVE,False
C2,STRESS_2X_NET_RETURN_POSITIVE,False
C2,STRESS_2X_PF_AT_LEAST_1_05,False
C2,STRESS_2X_DRAWDOWN_AT_MOST_20PCT,False
C2,STRESS_2X_TRADES_AT_LEAST_75,True
C2,STRESS_2X_POSITIVE_YEARS_AT_LEAST_3,False
C2,CASH_FEASIBLE_BASE_AND_2X,True
C2,PF1_BREAK_EVEN_COST_MULTIPLIER_AT_LEAST_2X,False
C2,LARGEST_WINNER_REMOVAL_REMAINS_POSITIVE_2X,False
C2,LEAVE_ONE_ASSET_OUT_REMAINS_POSITIVE_2X,False
C2,LEAVE_ONE_YEAR_OUT_REMAINS_POSITIVE_2X,False
D2,BASE_NET_RETURN_POSITIVE,False
D2,STRESS_2X_NET_RETURN_POSITIVE,False
D2,STRESS_2X_PF_AT_LEAST_1_05,False
D2,STRESS_2X_DRAWDOWN_AT_MOST_20PCT,False
D2,STRESS_2X_TRADES_AT_LEAST_75,True
D2,STRESS_2X_POSITIVE_YEARS_AT_LEAST_3,False
D2,CASH_FEASIBLE_BASE_AND_2X,True
D2,PF1_BREAK_EVEN_COST_MULTIPLIER_AT_LEAST_2X,False
D2,LARGEST_WINNER_REMOVAL_REMAINS_POSITIVE_2X,False
D2,LEAVE_ONE_ASSET_OUT_REMAINS_POSITIVE_2X,False
D2,LEAVE_ONE_YEAR_OUT_REMAINS_POSITIVE_2X,False
E2,BASE_NET_RETURN_POSITIVE,False
E2,STRESS_2X_NET_RETURN_POSITIVE,False
E2,STRESS_2X_PF_AT_LEAST_1_05,False
E2,STRESS_2X_DRAWDOWN_AT_MOST_20PCT,False
E2,STRESS_2X_TRADES_AT_LEAST_75,True
E2,STRESS_2X_POSITIVE_YEARS_AT_LEAST_3,False
E2,CASH_FEASIBLE_BASE_AND_2X,True
E2,PF1_BREAK_EVEN_COST_MULTIPLIER_AT_LEAST_2X,False
E2,LARGEST_WINNER_REMOVAL_REMAINS_POSITIVE_2X,False
E2,LEAVE_ONE_ASSET_OUT_REMAINS_POSITIVE_2X,False
E2,LEAVE_ONE_YEAR_OUT_REMAINS_POSITIVE_2X,False
