family_id,holding_bucket,trade_count,net_pnl,return_on_initial_equity,win_rate,profit_factor,average_r
MTF_TREND_BREAKOUT,01_06_BARS,384,-154001.67629972415,-1.5400167629972414,0.13802083333333334,0.05358870780488183,-0.8020920640610633
MTF_TREND_BREAKOUT,07_12_BARS,191,-49402.766229115216,-0.49402766229115214,0.3403141361256545,0.1886190563811807,-0.5173064526608923
MTF_TREND_BREAKOUT,13_24_BARS,179,-18266.58394945342,-0.1826658394945342,0.5642458100558659,0.520722829507327,-0.2040959100497589
MTF_TREND_BREAKOUT,25_36_BARS,70,2249.716827373519,0.022497168273735192,0.6571428571428571,1.1722505806965229,0.06427762363924343
MTF_TREND_BREAKOUT,37_48_BARS,144,251436.7806170306,2.514367806170306,0.9305555555555556,82.95911256272029,3.4921775085698696
MTF_PULLBACK_RECLAIM,01_06_BARS,745,-292223.07040098717,-2.9222307040098716,0.09395973154362416,0.030282468866706408,-0.784491464163724
MTF_PULLBACK_RECLAIM,07_12_BARS,429,-94635.78099269312,-0.9463578099269312,0.34498834498834496,0.2234974362002291,-0.4411924521803875
MTF_PULLBACK_RECLAIM,13_24_BARS,296,-24825.541079667513,-0.24825541079667512,0.5371621621621622,0.5910809555140109,-0.16774014243018592
MTF_PULLBACK_RECLAIM,25_36_BARS,123,6228.0650990609965,0.06228065099060996,0.6747967479674797,1.379952683560343,0.10126935120424387
MTF_PULLBACK_RECLAIM,37_48_BARS,246,424263.9370761301,4.242639370761301,0.9471544715447154,85.0954896378145,3.449300301431952
MTF_COMPRESSION_EXPANSION,01_06_BARS,519,-199700.61732463926,-1.9970061732463926,0.08477842003853564,0.025927974735403366,-0.7695592189774153
MTF_COMPRESSION_EXPANSION,07_12_BARS,274,-73344.96848645768,-0.7334496848645768,0.291970802919708,0.14705496571253032,-0.5353647334777933
MTF_COMPRESSION_EXPANSION,13_24_BARS,247,-23697.73860076232,-0.23697738600762322,0.4979757085020243,0.501533412740182,-0.19188452308309573
MTF_COMPRESSION_EXPANSION,25_36_BARS,74,-1117.459365328698,-0.011174593653286978,0.6486486486486487,0.9113774010826435,-0.030201604468343177
MTF_COMPRESSION_EXPANSION,37_48_BARS,218,335759.32745038037,3.3575932745038037,0.9403669724770642,85.51592421254342,3.0803608022970668
MTF_RANGE_RECLAIM,01_06_BARS,1360,-558081.8186632688,-5.580818186632688,0.06397058823529411,0.01685140036831578,-0.8207085568577484
MTF_RANGE_RECLAIM,07_12_BARS,566,-145858.05708557653,-1.4585805708557653,0.3286219081272085,0.1449303535013429,-0.5153994950020371
MTF_RANGE_RECLAIM,13_24_BARS,448,-52623.131566102005,-0.5262313156610201,0.5133928571428571,0.4364189354658886,-0.2349246944915268
MTF_RANGE_RECLAIM,25_36_BARS,168,19491.97809968084,0.1949197809968084,0.8035714285714286,2.4169398481426967,0.23204735832953385
MTF_RANGE_RECLAIM,37_48_BARS,395,568067.3529349638,5.6806735293496375,0.9493670886075949,124.65166361226196,2.8762903946074116
