family_id,period,start_equity,end_equity,return,trade_count
MTF_TREND_BREAKOUT,2019,100000.0,98969.4387296781,-0.010305612703218947,7
MTF_TREND_BREAKOUT,2020,98969.4387296781,118602.86498133885,0.19837867632337325,177
MTF_TREND_BREAKOUT,2021,118602.86498133885,130642.04241065831,0.10150831880168942,207
MTF_TREND_BREAKOUT,2022,130642.04241065831,126505.80060033384,-0.031660878335954545,17
MTF_TREND_BREAKOUT,2023,126505.80060033384,157610.5744319281,0.24587626562565856,244
MTF_TREND_BREAKOUT,2024,157610.5744319281,132015.47096611073,-0.16239458271165608,316
MTF_TREND_BREAKOUT,2025,132015.47096611073,132015.47096611073,0.0,0
MTF_PULLBACK_RECLAIM,2019,100000.0,87613.85657774415,-0.12386143422255846,51
MTF_PULLBACK_RECLAIM,2020,87613.85657774415,108666.40750774229,0.24028791508928893,304
MTF_PULLBACK_RECLAIM,2021,108666.40750774229,148451.1256401242,0.3661179111819568,397
MTF_PULLBACK_RECLAIM,2022,148451.1256401242,137823.55355718802,-0.07158970359510497,57
MTF_PULLBACK_RECLAIM,2023,137823.55355718802,152271.281994984,0.10482771677920111,425
MTF_PULLBACK_RECLAIM,2024,152271.281994984,118807.60970184338,-0.21976351584301335,605
MTF_PULLBACK_RECLAIM,2025,118807.60970184338,118807.60970184338,0.0,0
MTF_COMPRESSION_EXPANSION,2019,100000.0,90795.07158385751,-0.09204928416142488,39
MTF_COMPRESSION_EXPANSION,2020,90795.07158385751,124735.43503883237,0.37381283876876337,209
MTF_COMPRESSION_EXPANSION,2021,124735.43503883237,156318.16586844076,0.2531977446487128,253
MTF_COMPRESSION_EXPANSION,2022,156318.16586844076,157736.64235377524,0.009074290741923674,50
MTF_COMPRESSION_EXPANSION,2023,157736.64235377524,151607.48388732385,-0.03885690968814193,337
MTF_COMPRESSION_EXPANSION,2024,151607.48388732385,137898.54367319058,-0.09042390166122594,444
MTF_COMPRESSION_EXPANSION,2025,137898.54367319058,137898.54367319058,0.0,0
MTF_RANGE_RECLAIM,2019,100000.0,79102.07469027517,-0.2089792530972483,134
MTF_RANGE_RECLAIM,2020,79102.07469027517,79777.8783740274,0.008543438163895578,349
MTF_RANGE_RECLAIM,2021,79777.8783740274,94726.55020091428,0.18737865848979007,587
MTF_RANGE_RECLAIM,2022,94726.55020091428,73625.97137193014,-0.22275253119880312,216
MTF_RANGE_RECLAIM,2023,73625.97137193014,53060.101232288274,-0.27932901605808336,594
MTF_RANGE_RECLAIM,2024,53060.101232288274,-69083.98518717235,-2.3019949751835975,1057
MTF_RANGE_RECLAIM,2025,-69083.98518717235,-69003.6762802991,-0.0011624822548332858,0
