family_id,admission_reason,candidate_count,hypothetical_net_pnl,hypothetical_return_on_initial_equity,hypothetical_win_rate,hypothetical_profit_factor,hypothetical_average_r
MTF_TREND_BREAKOUT,ADMITTED,968,32015.470966111305,0.32015470966111303,0.4121900826446281,1.115225604881833,0.06614766728535397
MTF_TREND_BREAKOUT,REJECTED_MAX_POSITIONS,127,-4410.815245604479,-0.04410815245604479,0.3937007874015748,0.8829695800389691,-0.06946165741109413
MTF_TREND_BREAKOUT,REJECTED_SAME_ASSET,899,-70420.14852025594,-0.7042014852025594,0.37374860956618466,0.7527393048975864,-0.15666328925529688
MTF_PULLBACK_RECLAIM,ADMITTED,1839,18807.60970184336,0.1880760970184336,0.3768352365415987,1.0372155304980042,0.020454170420710543
MTF_PULLBACK_RECLAIM,REJECTED_MAX_POSITIONS,353,-48445.94224108182,-0.48445942241081824,0.3087818696883853,0.5842373396073589,-0.274481259156271
MTF_PULLBACK_RECLAIM,REJECTED_SAME_ASSET,1519,6270.598909483117,0.06270598909483116,0.37656352863726134,1.0155710555311128,0.008256219762321394
MTF_COMPRESSION_EXPANSION,ADMITTED,1332,37898.54367319237,0.3789854367319237,0.37537537537537535,1.1067174588631394,0.056904720230018566
MTF_COMPRESSION_EXPANSION,REJECTED_MAX_POSITIONS,204,-1379.5486480138716,-0.013795486480138716,0.4215686274509804,0.9755575635185549,-0.013524986745234089
MTF_COMPRESSION_EXPANSION,REJECTED_SAME_ASSET,1077,-18093.376541646434,-0.18093376541646433,0.39090064995357476,0.9394571887677592,-0.03359958503555512
MTF_RANGE_RECLAIM,ADMITTED,2937,-169003.6762803027,-1.6900367628030268,0.34490977187606403,0.8011606978391307,-0.11508592187967498
MTF_RANGE_RECLAIM,REJECTED_MAX_POSITIONS,364,-54136.409631052644,-0.5413640963105264,0.32967032967032966,0.5548552217758761,-0.297452800170619
MTF_RANGE_RECLAIM,REJECTED_SAME_ASSET,480,-3837.9851733972555,-0.038379851733972556,0.3375,0.9724411875906902,-0.015991604889155252
