family_id,peak_time,trough_time,recovery_time,drawdown,hours_to_trough,hours_to_recovery,recovered
MTF_TREND_BREAKOUT,2024-02-29T09:00:00+00:00,2024-12-17T16:00:00+00:00,,0.19422541339874222,7015,,False
MTF_TREND_BREAKOUT,2021-11-09T06:00:00+00:00,2023-04-10T17:00:00+00:00,2023-11-09T07:00:00+00:00,0.15500260380728315,12419,5102,True
MTF_TREND_BREAKOUT,2020-04-30T06:00:00+00:00,2020-07-21T09:00:00+00:00,2020-07-27T23:00:00+00:00,0.09850966936588013,1971,158,True
MTF_TREND_BREAKOUT,2020-08-02T04:00:00+00:00,2020-11-16T09:00:00+00:00,2020-12-17T08:00:00+00:00,0.08325704250443677,2549,743,True
MTF_TREND_BREAKOUT,2019-08-06T10:00:00+00:00,2020-01-30T17:00:00+00:00,2020-02-06T13:00:00+00:00,0.05844842043644294,4255,164,True
MTF_TREND_BREAKOUT,2021-02-04T02:00:00+00:00,2021-04-08T22:00:00+00:00,2021-11-08T03:00:00+00:00,0.05841537665673968,1532,5117,True
MTF_TREND_BREAKOUT,2020-02-12T14:00:00+00:00,2020-03-07T07:00:00+00:00,2020-04-29T15:00:00+00:00,0.05489913242404587,569,1280,True
MTF_TREND_BREAKOUT,2023-11-16T07:00:00+00:00,2023-11-30T19:00:00+00:00,2023-12-05T23:00:00+00:00,0.05069610089834209,348,124,True
MTF_TREND_BREAKOUT,2023-12-09T08:00:00+00:00,2023-12-20T02:00:00+00:00,2023-12-21T13:00:00+00:00,0.048610406478515444,258,35,True
MTF_TREND_BREAKOUT,2023-11-09T15:00:00+00:00,2023-11-09T22:00:00+00:00,2023-11-12T07:00:00+00:00,0.043283432180697634,7,57,True
MTF_PULLBACK_RECLAIM,2024-03-14T11:00:00+00:00,2024-10-23T17:00:00+00:00,,0.2950237619760041,5358,,False
MTF_PULLBACK_RECLAIM,2021-12-01T08:00:00+00:00,2023-10-21T03:00:00+00:00,2023-12-09T08:00:00+00:00,0.22097545980589828,16531,1181,True
MTF_PULLBACK_RECLAIM,2019-08-06T10:00:00+00:00,2020-01-13T18:00:00+00:00,2020-02-12T17:00:00+00:00,0.14045943571459418,3848,719,True
MTF_PULLBACK_RECLAIM,2023-12-24T04:00:00+00:00,2024-02-07T12:00:00+00:00,2024-03-14T03:00:00+00:00,0.1344920475860505,1088,855,True
MTF_PULLBACK_RECLAIM,2020-05-08T22:00:00+00:00,2020-07-21T06:00:00+00:00,2020-07-26T11:00:00+00:00,0.09276523296627381,1760,125,True
MTF_PULLBACK_RECLAIM,2020-09-01T16:00:00+00:00,2020-12-14T18:00:00+00:00,2020-12-17T11:00:00+00:00,0.08596125588899906,2498,65,True
MTF_PULLBACK_RECLAIM,2021-08-16T12:00:00+00:00,2021-10-13T15:00:00+00:00,2021-10-26T20:00:00+00:00,0.07731673144981244,1395,317,True
MTF_PULLBACK_RECLAIM,2020-12-19T22:00:00+00:00,2020-12-29T17:00:00+00:00,2021-01-02T17:00:00+00:00,0.0548842100542728,235,96,True
MTF_PULLBACK_RECLAIM,2023-12-09T08:00:00+00:00,2023-12-20T02:00:00+00:00,2023-12-21T17:00:00+00:00,0.05414853727307034,258,39,True
MTF_PULLBACK_RECLAIM,2021-01-08T15:00:00+00:00,2021-02-08T03:00:00+00:00,2021-02-09T00:00:00+00:00,0.053588125132657316,732,21,True
MTF_COMPRESSION_EXPANSION,2024-03-26T07:00:00+00:00,2024-12-31T18:00:00+00:00,,0.18251693469484898,6731,,False
MTF_COMPRESSION_EXPANSION,2021-11-15T03:00:00+00:00,2023-10-20T01:00:00+00:00,2024-03-25T10:00:00+00:00,0.14389283285357757,16894,3777,True
MTF_COMPRESSION_EXPANSION,2019-08-20T00:00:00+00:00,2020-01-26T09:00:00+00:00,2020-03-05T20:00:00+00:00,0.10443062618112764,3825,947,True
MTF_COMPRESSION_EXPANSION,2020-04-30T06:00:00+00:00,2020-05-27T08:00:00+00:00,2020-10-22T11:00:00+00:00,0.09215668949389644,650,3555,True
MTF_COMPRESSION_EXPANSION,2020-11-30T15:00:00+00:00,2020-12-12T15:00:00+00:00,2020-12-17T03:00:00+00:00,0.06575384361289405,288,108,True
MTF_COMPRESSION_EXPANSION,2021-05-02T00:00:00+00:00,2021-09-01T11:00:00+00:00,2021-09-16T03:00:00+00:00,0.05229522985031565,2939,352,True
MTF_COMPRESSION_EXPANSION,2021-03-13T21:00:00+00:00,2021-03-29T08:00:00+00:00,2021-04-28T02:00:00+00:00,0.05016930052154145,371,714,True
MTF_COMPRESSION_EXPANSION,2021-01-05T02:00:00+00:00,2021-02-01T22:00:00+00:00,2021-02-04T01:00:00+00:00,0.048201414058780756,668,51,True
MTF_COMPRESSION_EXPANSION,2021-10-21T11:00:00+00:00,2021-11-02T08:00:00+00:00,2021-11-03T19:00:00+00:00,0.04042201406510426,285,35,True
MTF_COMPRESSION_EXPANSION,2020-10-28T03:00:00+00:00,2020-11-16T06:00:00+00:00,2020-11-17T17:00:00+00:00,0.03764357612616176,459,35,True
MTF_RANGE_RECLAIM,2019-08-09T00:00:00+00:00,2024-12-30T00:00:00+00:00,,1.6943677207226329,47280,,False
MTF_RANGE_RECLAIM,2019-08-08T14:00:00+00:00,2019-08-08T20:00:00+00:00,2019-08-08T23:00:00+00:00,0.00821283456490518,6,3,True
