family_id,cost_multiplier,final_equity,net_return,cagr,monthly_geometric_return,maximum_drawdown,profit_factor,win_rate,total_fees,minimum_cash,minimum_equity,capital_feasible
MTF_TREND_BREAKOUT,1.0,132015.47096611073,0.32015470966110726,0.04736952811920592,0.003864264554893193,0.19422541339874222,1.115225604881833,0.4121900826446281,52127.07984831239,15189.985892661949,97037.17997060705,True
MTF_TREND_BREAKOUT,1.5,105951.93104195545,0.059519310419554605,0.009680427713391726,0.0008031450634937709,0.26979780157581745,1.0202811360749173,0.38326446280991733,78190.61977246858,1892.8458417814254,96464.79417014694,True
MTF_TREND_BREAKOUT,2.0,79888.39111779766,-0.20111608882202348,-0.036724138453295474,-0.0031130981976547067,0.37203560902700716,0.9351384218527707,0.3481404958677686,104254.15969662477,-11404.29420909979,79888.39111779766,False
MTF_TREND_BREAKOUT,3.0,27761.311269486534,-0.7223868873051347,-0.19228268704569385,-0.017637861196480364,0.745417544125341,0.7913626652025219,0.2975206611570248,156381.23954493715,-54604.62854079935,27761.311269486534,False
MTF_PULLBACK_RECLAIM,1.0,118807.60970184338,0.18807609701843386,0.029132834912672934,0.002395910599730655,0.2950237619760041,1.0372155304980042,0.3768352365415987,104854.30763816243,18973.14445167214,87201.56738992788,True
MTF_PULLBACK_RECLAIM,1.5,66380.45588276321,-0.3361954411723679,-0.06600136768695253,-0.005673867889398276,0.5170233492484602,0.9376128993103198,0.3485589994562262,157281.46145724365,-29077.346349088162,66380.45588276321,False
MTF_PULLBACK_RECLAIM,2.0,13953.302063678548,-0.8604669793632145,-0.2797620953390918,-0.026977242630610743,0.8847338688112241,0.8502010262997635,0.31158238172920066,209708.61527632485,-77197.33371946967,13953.302063678548,False
MTF_PULLBACK_RECLAIM,3.0,-90901.00557448171,-1.909010055744817,,,1.8965942920225514,0.7063399730994115,0.26753670473083196,314562.9229144873,-174262.6522821286,-90901.00557448171,False
MTF_COMPRESSION_EXPANSION,1.0,137898.54367319058,0.3789854367319059,0.05500637280346332,0.004472204547611769,0.18251693469484898,1.1067174588631394,0.37537537537537535,79522.31410496852,23662.370134264725,90295.73676763137,True
MTF_COMPRESSION_EXPANSION,1.5,98137.38662071011,-0.018626133792898902,-0.0031280729143536856,-0.00026104721799347086,0.3503651357372912,0.9951069910753165,0.33783783783783783,119283.47115745279,9798.400167512977,88637.1594092563,True
MTF_COMPRESSION_EXPANSION,2.0,58376.22956822125,-0.4162377043177875,-0.08578680179012366,-0.007446426649936444,0.5752338549345835,0.8979618008821967,0.3003003003003003,159044.62820993704,-29299.540060433756,58376.22956822125,False
MTF_COMPRESSION_EXPANSION,3.0,-21146.08453674504,-1.2114608453674505,,,1.1916248217501177,0.7399729977261356,0.2545045045045045,238566.94231490558,-107495.420516316,-21146.08453674504,False
MTF_RANGE_RECLAIM,1.0,-69003.6762802991,-1.690036762802991,,,1.6943677207226329,0.8011606978391308,0.34490977187606403,171665.17202798353,-169834.6625934186,-69934.56269331867,False
MTF_RANGE_RECLAIM,1.5,-154836.26229429198,-2.54836262294292,,,2.5459364928012445,0.7193391903798063,0.30813755532856657,257497.7580419753,-255499.42561560136,-155599.32571550144,False
MTF_RANGE_RECLAIM,2.0,-240668.84830829373,-3.406688483082937,,,3.398629051332692,0.6488172374355173,0.2662580864828056,343330.34405596706,-341164.1886377929,-241264.08873769297,False
MTF_RANGE_RECLAIM,3.0,-412334.0203362621,-5.123340203362622,,,5.107394437648985,0.5350785724826067,0.22131426625808648,514995.5160839506,-512493.714682141,-412593.6147820411,False
