family_id,net_r_p05,net_r_p10,net_r_p25,net_r_p50,net_r_p75,net_r_p90,net_r_p95,net_r_skew,tail_ratio,mfe_r_median,mfe_r_p90,mae_r_median,mae_r_p10,holding_bars_p50,holding_bars_p90
MTF_TREND_BREAKOUT,-1.1196811641155333,-1.107412933788202,-1.0810581255999947,-0.7814543901602373,0.35659084453140893,0.9611225294419287,4.495100790934368,3.9069315194235075,4.014625712209038,1.1313968498958338,4.721026939987127,-1.0734275232507944,-1.6899768387518312,9.0,48.0
MTF_PULLBACK_RECLAIM,-1.116791570400912,-1.103942889220076,-1.0612225991394562,-0.6629711648862905,0.1996835035923397,0.9426953556223595,3.5795483062286015,5.856026604893515,3.205207131840721,1.0425788821036184,4.579317029005249,-1.0825373836476513,-1.8228740011227444,9.0,48.0
MTF_COMPRESSION_EXPANSION,-1.1165070018998788,-1.104183563608201,-1.056957901701516,-0.6391823357014508,0.18715941452961726,1.7624510250012155,3.775427371110125,3.9573226795311944,3.3814632283413846,1.0151212121859292,4.944579631306589,-1.0624475219810656,-1.7089248810798137,9.0,48.0
MTF_RANGE_RECLAIM,-1.1203580886737823,-1.1067695436700762,-1.0665127996304677,-0.7144149964437039,0.14521364767863917,0.9290046746979341,3.300941421600784,3.461478172817181,2.9463271207407047,0.8635204177532011,4.04799947403897,-1.1284883972253643,-1.962450997523297,7.0,48.0
