family_id,classification,strengths,weaknesses
MTF_TREND_BREAKOUT,FRAGILE_POSITIVE_BASELINE,Positive fixed-baseline net return: 32.02%. | Maximum drawdown remains within 30%: 19.42%. | Top-three trade concentration is controlled: 7.44%. | Positive contribution is distributed across 4 assets.,Profit factor is positive but below the 1.20 baseline gate: 1.115. | The edge disappears at 2x cost: -20.11%. | The geometric monthly return is far below the 24% research objective: 0.39%. | Weakest exit bucket is HARD_STOP with -277214.91 net PnL.
MTF_PULLBACK_RECLAIM,FRAGILE_POSITIVE_BASELINE,Positive fixed-baseline net return: 18.81%. | Maximum drawdown remains within 30%: 29.50%. | Top-three trade concentration is controlled: 7.07%. | Positive contribution is distributed across 4 assets.,Profit factor is positive but below the 1.20 baseline gate: 1.037. | The edge disappears at 2x cost: -86.05%. | The geometric monthly return is far below the 24% research objective: 0.24%. | Negative contribution in market regimes: TRANSITION. | Weakest exit bucket is HARD_STOP with -504527.74 net PnL.
MTF_COMPRESSION_EXPANSION,FRAGILE_POSITIVE_BASELINE,Positive fixed-baseline net return: 37.90%. | Maximum drawdown remains within 30%: 18.25%. | Top-three trade concentration is controlled: 6.09%. | Positive contribution is distributed across 5 assets.,"Profit factor is positive but below the 1.20 baseline gate: 1.107. | The edge disappears at 2x cost: -41.62%. | The geometric monthly return is far below the 24% research objective: 0.45%. | Negative contribution in market regimes: BULL, TRANSITION. | Weakest exit bucket is HARD_STOP with -353539.19 net PnL."
MTF_RANGE_RECLAIM,CAPITAL_INFEASIBLE,Top-three trade concentration is controlled: 3.21%.,"The frozen sizing path becomes capital-infeasible; the ledger continues beyond available capital. | The full-period fixed baseline loses capital: -169.00%. | Profit factor is below break-even: 0.8011606978391308. | The edge disappears at 2x cost: -340.67%. | Maximum drawdown exceeds 30%: 169.44%. | Fewer than half of active calendar years are profitable. | The geometric monthly return is far below the 24% research objective. | Negative contribution in market regimes: BEAR, BULL, STRONG_BULL."
