family_id,window_days,observation_count,minimum_return,p10_return,median_return,mean_return,p90_return,maximum_return,positive_fraction
MTF_TREND_BREAKOUT,90,2103,-0.10367657813473174,-0.039045829187139725,0.0,0.016517780760434496,0.09434269352638396,0.36369042188095113,0.4403233475986686
MTF_TREND_BREAKOUT,180,2013,-0.10480062656202116,-0.06980092743896339,0.003644627339684403,0.03699324619881684,0.15941341744454327,0.38080745923104,0.5226030799801291
MTF_TREND_BREAKOUT,365,1828,-0.17041139916251158,-0.06681416218733793,0.058307926840977076,0.08843562495092554,0.26594398031466615,0.3536917460667037,0.6340262582056893
MTF_PULLBACK_RECLAIM,90,2103,-0.15647254925762566,-0.07847100650961032,0.0,0.012505226211582574,0.13694710735139637,0.3602541532929462,0.38659058487874465
MTF_PULLBACK_RECLAIM,180,2013,-0.24537989648845338,-0.11081066839592044,0.0,0.029545178044351257,0.23466004069753635,0.3566211807110393,0.4674615002483855
MTF_PULLBACK_RECLAIM,365,1828,-0.2676098434849671,-0.0926190365384183,0.03587782013275609,0.08643079244006154,0.3558814919237288,0.5002751107240657,0.6427789934354485
MTF_COMPRESSION_EXPANSION,90,2103,-0.10426222812168473,-0.04622424867911534,0.0,0.01914530549164789,0.106990103462962,0.2744573809309132,0.454113171659534
MTF_COMPRESSION_EXPANSION,180,2013,-0.10699187778776764,-0.0539143197901992,0.01654849750880505,0.04260043956572657,0.15763005366766766,0.373674331021145,0.5772478887232986
MTF_COMPRESSION_EXPANSION,365,1828,-0.10555862414881634,-0.05507910966887086,0.06004686718389607,0.10563204985538938,0.38080989175145463,0.4966227143531068,0.6849015317286652
MTF_RANGE_RECLAIM,90,2103,-2785.9406240021194,-0.2367798985257735,-0.0275215292117168,-1.8129302407845267,0.15461907554877125,205.64206421254136,0.2819781264859724
MTF_RANGE_RECLAIM,180,2013,-3715.7965472992164,-0.8792378332893462,-0.07198900390977692,-2.626650258247197,0.07490344327543048,287.0773111008008,0.20367610531544958
MTF_RANGE_RECLAIM,365,1828,-2.3442490181080755,-1.1632978446301192,-0.13958469522512107,-0.3113757145169711,0.050194554968046944,0.2553634758378478,0.15919037199124728
