direction,training_period,evaluation_period,universe_id,landmark_age_hours,model_fit_pass,rank,negative_event_count,nonnegative_event_count,auc_adverse_score,median_predicted_rcv_negative_events,median_predicted_rcv_nonnegative_events,class_support_pass,auc_gt_0_5,negative_event_median_pred_lt_nonnegative,all_lopo_auc_pass,classification_gate_pass
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,24,True,3,69,55,0.45006587615283267,0.0013142706588456824,-0.0007589195262971941,True,False,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,48,True,3,65,59,0.6870925684485006,-0.034376983337934375,-0.02490729327004016,True,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,72,True,3,30,30,0.515,-0.021561156515249837,-0.02122818743876282,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,96,True,3,31,29,0.4593993325917686,4.261390536904261e-05,-0.00019311651229440494,True,False,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,120,True,3,39,20,0.7032051282051283,-0.0025228924982598966,0.0050677879850219865,True,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,144,True,3,32,28,0.57421875,-0.015119073830341799,-0.014197372849047289,True,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,24,True,3,66,61,0.41815697963238946,0.012153257350231397,-0.003742028053034573,True,False,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,48,True,3,63,64,0.6281001984126984,-0.0338132145512709,-0.025189177663371906,True,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,72,True,3,25,35,0.48628571428571427,-0.021561156515249837,-0.021894125591736858,True,False,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,96,True,3,25,35,0.5428571428571428,0.00037316482280439937,0.00012525163472788188,True,True,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,120,True,3,30,29,0.6758620689655173,-0.0008308129439029012,0.004708582010706143,True,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,144,True,3,31,29,0.5906562847608454,-0.01727590649055323,-0.012962241170130367,True,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,24,True,3,68,58,0.4428245436105477,0.00307725501904233,-0.0007589195262971941,True,False,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,48,True,3,65,61,0.6740226986128626,-0.034376983337934375,-0.02490729327004016,True,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,72,True,3,28,32,0.47544642857142855,-0.02122818743876282,-0.020038869159429998,True,False,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,96,True,3,28,32,0.51171875,0.00020788936408672098,8.393277004846225e-05,True,True,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,120,True,3,34,25,0.658235294117647,-0.0008308129439029012,0.004708582010706143,True,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,144,True,3,32,28,0.5608258928571429,-0.015119073830341799,-0.013579807009588829,True,True,True,True,True
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,24,True,3,30,15,0.7577777777777778,0.013235344029634229,0.02362961499192785,True,True,True,True,True
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,48,True,3,32,13,0.6947115384615384,0.004081871292392556,0.049115134275211844,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,72,True,3,14,7,0.47959183673469385,0.0006765313185432983,-0.0030267830464664027,False,False,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,96,True,3,10,11,0.36363636363636365,0.013164297341126313,0.006287194554697393,True,False,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,120,True,3,9,12,0.6111111111111112,-0.01336009073634158,0.01039883263513253,False,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,144,True,3,12,9,0.5694444444444444,0.008025679503780995,0.011029659312150044,False,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,24,True,3,30,15,0.4222222222222222,0.02338738490035468,0.022384158846958435,True,False,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,48,True,3,32,13,0.6370192307692307,0.009128536992893425,0.041605637497459894,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,72,True,3,14,7,0.30612244897959184,0.03623584440102226,0.018153324156834676,False,False,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,96,True,3,10,11,0.6636363636363637,0.020278892898301766,0.036911367334393964,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,120,True,3,9,12,0.6296296296296297,0.0031206541822835425,0.03878876895146184,False,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,144,True,3,12,9,0.5185185185185185,0.031358803546711715,0.035737108924321165,False,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,24,True,3,30,15,0.5155555555555555,0.02579468692862145,0.02531660366500423,True,True,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,48,True,3,32,13,0.640625,0.005451852273690595,0.03847306806896665,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,72,True,3,14,7,0.3673469387755102,0.0170315315853193,0.010684102338263099,False,False,False,False,False
