direction,training_period,evaluation_period,universe_id,landmark_age_hours,model_fit_pass,rank,row_count,unique_position_count,unique_pair_count,unique_signal_day_count,support_pass,evaluation_row_count,evaluation_unique_position_count,evaluation_unique_pair_count,evaluation_unique_signal_day_count,evaluation_support_pass,spearman_predicted_vs_actual,predicted_bottom_half_actual_mean_rcv,predicted_top_half_actual_mean_rcv,spearman_gt_zero,top_half_mean_gt_bottom_half_mean,all_lopo_continuous_pass,continuous_gate_pass
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,24,True,3,45,45,8,22,True,124,124,12,69,True,0.026644633631835366,0.00015362025172573136,0.03897770505905543,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,48,True,3,45,45,8,22,True,124,124,12,69,True,0.2987598777258607,-0.002069203198191677,0.038740866539914175,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,72,True,3,21,21,7,12,True,60,60,10,38,True,-0.020653233206009956,0.011413020191732038,-0.0009044535568996711,False,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,96,True,3,21,21,7,12,True,60,60,10,38,True,-0.12403058757095077,0.0067833400807710805,0.00765080456852633,False,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,120,True,3,21,21,7,12,True,59,59,10,38,True,0.29122620859357096,-0.0101594042702834,0.006319640954399541,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,144,True,3,21,21,7,12,True,60,60,10,38,True,0.06717906161303565,-0.0010964888258017634,0.004634922812561388,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,24,True,3,45,45,8,22,True,127,127,12,69,True,-0.07374354813811444,0.02093135362075528,0.0343308019214643,False,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,48,True,3,45,45,8,22,True,127,127,12,69,True,0.19903173753360018,0.012060189353160033,0.03964911806502874,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,72,True,3,21,21,7,12,True,60,60,11,41,True,-0.14641131152915493,0.05456509515107489,0.01040157210654558,False,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,96,True,3,21,21,7,12,True,60,60,11,41,True,0.11238517214341558,0.030185409370591422,0.03048475469355153,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,120,True,3,21,21,7,12,True,59,59,11,41,True,0.31372706711537957,0.0009435100506143893,0.03246412304458733,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,144,True,3,21,21,7,12,True,60,60,11,41,True,0.08848335239956974,0.010296087281149495,0.012668295075548416,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,24,True,3,45,45,8,22,True,126,126,14,71,True,-0.0235537304522547,0.014962639934244158,0.03394756183136318,False,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,48,True,3,45,45,8,22,True,126,126,14,71,True,0.27313527530342535,0.004494082659661138,0.038393207618351265,True,True,True,True
