universe_id,landmark_age_hours,direction,training_period,evaluation_period,removed_pair,training_row_count,evaluation_row_count,training_pair_count,evaluation_pair_count,structural_support_pass,model_fit_pass,continuous_lopo_pass,classification_auc_lopo_pass,subset_required_lopo_pass,spearman_predicted_vs_actual,auc_adverse_score,subset_row_count,subset_actual_mean_rcv,subset_actual_negative_fraction
C2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ADA-USDT,40,124,7,12,True,True,True,False,True,0.03724647477549696,0.4544137022397892,56,-0.0029147492363600087,0.5714285714285714
C2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ATOM-USDT,42,124,7,12,True,True,True,False,False,0.050859381913192246,0.46679841897233204,62,0.00015362025172572973,0.5483870967741935
C2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,AVAX-USDT,40,124,7,12,True,True,False,False,True,-0.0261732316728913,0.40974967061923584,57,-0.0006055765472920159,0.5263157894736842
C2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,BTC-USDT,38,100,7,11,True,True,True,False,True,0.0491462871248152,0.4519074675324675,52,-0.00015623037185583973,0.5576923076923077
C2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,DOGE-USDT,45,119,8,11,True,True,True,False,True,0.01948783910078135,0.44374282433983925,60,-0.0006620452196346489,0.55
C2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ETH-USDT,33,104,7,11,True,True,True,False,True,0.038934465498776244,0.4503787878787879,44,-0.0038656175396178665,0.5227272727272727
C2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,GRAM-USDT,45,123,8,11,True,True,True,False,False,0.016657314277077603,0.4449197860962567,62,0.0012721030710866267,0.532258064516129
C2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,KAS-USDT,45,121,8,11,True,True,False,False,False,-0.014526237547045075,0.43388429752066116,60,0.003874834451362996,0.5166666666666667
C2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,LINK-USDT,45,119,8,11,True,True,True,False,False,0.0331736680482869,0.45411663807890223,61,0.0003689891033662895,0.5409836065573771
C2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,LTC-USDT,45,117,8,11,True,True,True,False,False,0.028152442566312455,0.45251479289940827,58,0.0035516519103379234,0.5344827586206896
C2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,LUNC-USDT,43,124,7,12,True,True,True,False,False,0.038668555719680746,0.45691699604743086,62,0.00015362025172572973,0.5483870967741935
C2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,OP-USDT,45,120,8,11,True,True,True,False,False,0.017372097212333085,0.4325196408529742,61,0.0014576036424122393,0.5245901639344263
C2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,SHIB-USDT,45,115,8,11,True,True,True,False,False,0.0405927725820931,0.45787545787545786,58,0.00016122397017997422,0.5344827586206896
C2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,SOL-USDT,38,101,7,11,True,True,True,False,False,0.040059300238167825,0.45374800637958534,57,0.002579284104985475,0.5263157894736842
C2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,XMR-USDT,45,117,8,11,True,True,True,False,False,0.04085142800318038,0.4596153846153846,61,0.0009439533039034317,0.5409836065573771
C2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,XRP-USDT,41,108,7,11,True,True,True,False,True,0.036843899204377334,0.47065972222222224,54,-0.001095340030501672,0.5370370370370371
C2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ADA-USDT,40,124,7,12,True,True,True,True,False,0.30792813759173626,0.6915254237288135,106,0.0025745386461734653,0.5849056603773585
C2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ATOM-USDT,42,124,7,12,True,True,True,True,False,0.30858063985042955,0.6923076923076923,102,0.0031706648645509184,0.5882352941176471
C2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,AVAX-USDT,40,124,7,12,True,True,True,True,False,0.3265545749762653,0.6975228161668839,111,0.011515797299382135,0.5585585585585585
C2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,BTC-USDT,38,100,7,11,True,True,True,True,False,0.3271318604984898,0.6842948717948718,87,0.008763875884762821,0.5747126436781609
C2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,DOGE-USDT,45,119,8,11,True,True,True,True,False,0.2995979413692715,0.6826542161856254,102,0.0025037612495481423,0.5784313725490197
C2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ETH-USDT,33,104,7,11,True,True,True,True,False,0.3141169677397118,0.7092764378478664,92,0.0036255989528162333,0.5760869565217391
C2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,GRAM-USDT,45,123,8,11,True,True,True,True,False,0.2888378656918323,0.682468220338983,105,0.0030001341195671316,0.580952380952381
C2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,KAS-USDT,45,121,8,11,True,True,True,True,False,0.29129065308064217,0.6806998359759432,103,0.004332318533771165,0.5728155339805825
C2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,LINK-USDT,45,119,8,11,True,True,True,True,False,0.30206942495749745,0.6916193181818182,102,0.0011186770322975331,0.5980392156862745
C2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,LTC-USDT,45,117,8,11,True,True,True,True,False,0.35236568221463305,0.714766081871345,100,0.004066915216843825,0.58
C2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,LUNC-USDT,43,124,7,12,True,True,True,True,False,0.30426530771753374,0.6887874837027379,104,0.0026197511725654684,0.5865384615384616
C2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,OP-USDT,45,120,8,11,True,True,True,True,False,0.3056181676356904,0.689640768588137,102,0.0027342025494479093,0.5882352941176471
C2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,SHIB-USDT,45,115,8,11,True,True,True,True,False,0.3126012374189662,0.6925287356321839,97,0.003757050761412356,0.5670103092783505
C2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,SOL-USDT,38,101,7,11,True,True,True,True,True,0.26057777369399154,0.6751379038613081,86,-0.0015997377001330472,0.5930232558139535
C2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,XMR-USDT,45,117,8,11,True,True,True,True,False,0.299283942988147,0.6862170087976539,100,0.0028958652694967522,0.59
C2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,XRP-USDT,41,108,7,11,True,True,True,True,False,0.2135864076591357,0.6466620546523694,92,0.002468092482715996,0.5978260869565217
C2,72,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ADA-USDT,19,60,6,10,True,True,False,False,False,-0.04033356848172335,0.495,60,0.005254283317416185,0.5
C2,72,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ATOM-USDT,19,60,6,10,True,True,False,False,False,-0.05196431123373314,0.48055555555555557,60,0.005254283317416185,0.5
C2,72,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,AVAX-USDT,17,60,6,10,True,True,False,True,False,-0.028273172445202627,0.5094444444444445,42,0.003214485208694991,0.5238095238095238
C2,72,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,BTC-USDT,18,47,6,9,True,True,False,False,False,-0.033266807097008196,0.4601449275362319,42,0.009103272807680628,0.47619047619047616
C2,72,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,DOGE-USDT,21,57,7,9,True,True,False,True,False,-0.015368903989293092,0.520320197044335,57,0.00511375563880186,0.5087719298245614
C2,72,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ETH-USDT,17,50,6,9,True,True,False,False,True,-0.060970052788015844,0.44155844155844154,50,-0.0003212143533301686,0.56
C2,72,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,KAS-USDT,21,59,7,9,True,True,False,True,False,-0.05911417027996176,0.5005747126436781,59,0.006702541789076155,0.4915254237288136
C2,72,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,LINK-USDT,21,58,7,9,True,True,False,True,False,-0.0012925265562336438,0.5202380952380953,58,0.004150026075191566,0.5172413793103449
C2,72,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,LTC-USDT,21,57,7,9,True,True,False,False,False,-0.06435298876683244,0.49382716049382713,57,0.009507248948257573,0.47368421052631576
C2,72,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,SHIB-USDT,21,55,7,9,True,True,False,True,False,0.01129637755716577,0.54,55,0.00924918002541928,0.45454545454545453
C2,72,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,SOL-USDT,17,49,6,9,True,True,True,False,False,0.07525401157156808,0.4975,49,0.00047183710159036136,0.5102040816326531
C2,72,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,XMR-USDT,21,56,7,9,True,True,False,True,False,-0.014600538629281871,0.5466155810983397,56,0.00579421336745907,0.48214285714285715
C2,72,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,XRP-USDT,19,52,6,9,True,True,False,True,False,-0.039043987570804316,0.5162721893491125,52,0.004880122374907066,0.5
C2,96,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ADA-USDT,19,60,6,10,True,True,False,False,False,-0.12492704255468438,0.45050055617352613,37,0.005553994244466803,0.4864864864864865
C2,96,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ATOM-USDT,19,60,6,10,True,True,False,False,False,-0.22317981484810032,0.42491657397107896,22,0.011624255457896243,0.45454545454545453
C2,96,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,AVAX-USDT,17,60,6,10,True,True,False,True,False,-2.7798243295468726e-05,0.5105672969966629,23,0.016476499973003916,0.5217391304347826
