direction,training_period,evaluation_period,universe_id,landmark_age_hours,model_fit_pass,rank,subset_row_count,subset_unique_pair_count,subset_unique_signal_day_count,subset_actual_mean_rcv,subset_actual_median_rcv,subset_actual_negative_fraction,complement_actual_mean_rcv,subset_support_pass,subset_mean_lt_zero,subset_median_lt_zero,subset_negative_fraction_gt_0_5,subset_mean_lt_complement_mean,all_lopo_subset_required_pass,negative_subset_gate_pass
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,24,True,3,63,12,46,0.0005998294665365101,-0.0049355634768306,0.5396825396825397,0.03915332644060053,True,False,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,48,True,3,106,12,63,0.0025745386461734653,-0.0056126799614002,0.5849056603773585,0.11115233503846711,True,False,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,72,True,3,60,10,38,0.005254283317416185,0.00095717589628775,0.5,,True,False,False,False,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,96,True,3,32,9,22,0.014192224598339418,0.00496608785943925,0.46875,-0.0007545302738549647,True,False,False,False,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,120,True,3,32,10,22,-0.00999399560828611,-0.00948118566674625,0.8125,0.007954606083663815,True,True,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,144,True,3,46,9,33,-0.00048810834839617444,-0.0039989870630054,0.5652173913043478,0.00918614311635805,True,True,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,24,True,3,61,12,45,0.021048067346663188,0.005444033520729,0.45901639344262296,0.033816886256588526,True,False,False,False,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,48,True,3,104,12,61,0.015512620310006019,-0.004047151278578151,0.5480769230769231,0.07321839013783894,True,False,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,72,True,3,60,11,41,0.032483333628810236,0.01630566433571995,0.4166666666666667,,True,False,False,False,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,96,True,3,25,7,18,0.021879289994625656,0.0290601160166377,0.44,0.036374933487389925,True,False,False,False,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,120,True,3,28,7,21,0.0010573013285266318,-0.0075187646325436,0.6785714285714286,0.03134454985828038,True,False,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,144,True,3,47,10,35,0.00922224760171719,-0.0031259034403008,0.5531914893617021,0.01965275641694072,True,False,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,24,True,3,63,13,46,0.014962639934244161,-0.0021564166128976,0.5079365079365079,0.03394756183136318,True,False,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,48,True,3,104,14,63,0.009126746405741522,-0.00533062177153085,0.5769230769230769,0.07966898460534837,True,False,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,72,True,3,60,11,39,0.017324413382627836,0.0082784576404283,0.4666666666666667,,True,False,False,False,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,96,True,3,28,8,20,0.01104237654256616,0.01217190479295675,0.4642857142857143,0.022682752739931224,True,False,False,False,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,120,True,3,29,9,20,-0.0068101590982235375,-0.0088147649716426,0.7241379310344828,0.015790537411008065,True,True,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,144,True,3,47,11,35,0.002850193034721573,-0.0037375415282392,0.5531914893617021,0.010065919145709914,True,False,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,24,True,3,0,0,0,,,,-0.022309768673962557,False,False,False,False,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,48,True,3,17,8,14,-0.05744848706325935,-0.031117641062773,0.8235294117647058,-0.0007155156527598343,True,True,True,True,True,True,True
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,72,True,3,11,6,7,-0.007836645219758919,-0.0277021233671258,0.6363636363636364,-0.04355137965809461,False,True,True,True,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,96,True,3,6,5,4,0.0168562651266012,0.022155691966432897,0.16666666666666666,-0.009546740646386036,False,False,False,False,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,120,True,3,9,6,8,-0.006311286676065178,-0.0201172451604739,0.5555555555555556,0.012391698874172222,False,True,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,144,True,3,5,5,5,-0.05195310750690928,-0.0770107658328239,0.6,0.0008028468321261192,False,True,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,24,True,3,0,0,0,,,,-0.022309768673962557,False,False,False,False,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,48,True,3,11,7,8,-0.06662717945970964,-0.0334217946591474,0.8181818181818182,-0.007757639538114071,False,True,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,72,True,3,1,1,1,-0.2228221661105602,-0.2228221661105602,1.0,-0.014944736394386699,False,True,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,96,True,3,0,0,0,,,,-0.0020030247112468274,False,False,False,False,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,120,True,3,6,4,5,-0.01881845906165452,-0.020518483169527098,0.6666666666666666,0.013653970718360477,False,True,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,144,True,3,4,4,4,-0.05121557599714271,-0.03037872242087795,0.5,-0.0024739814254092747,False,True,True,False,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,24,True,3,0,0,0,,,,-0.022309768673962557,False,False,False,False,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,48,True,3,12,7,9,-0.06280050143183899,-0.0322697178609602,0.8333333333333334,-0.007365233368806564,False,True,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,72,True,3,1,1,1,-0.2228221661105602,-0.2228221661105602,1.0,-0.014944736394386699,False,True,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,96,True,3,0,0,0,,,,-0.0020030247112468274,False,False,False,False,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,120,True,3,7,5,6,-0.029948130913953295,-0.0209197211785803,0.7142857142857143,0.021538265914510944,False,True,True,True,True,False,False
