scope,variant_id,window_id,start,end,days,portfolio_return,equal_weight_return,capture_ratio,high_opportunity_window,strategic_bull_adequacy
STANDALONE,BREADTH_THRUST_LEADER_BREAKOUT,1,2019-05-01T00:00:00+00:00,2019-09-20T00:00:00+00:00,143,0.0049571831855053095,0.6437975137033425,0.007699910422129318,False,
STANDALONE,BREADTH_THRUST_LEADER_BREAKOUT,2,2020-05-27T00:00:00+00:00,2021-05-15T00:00:00+00:00,354,-0.1377182379105698,8.977084241529303,-0.01534108784158058,True,False
STANDALONE,BREADTH_THRUST_LEADER_BREAKOUT,3,2021-08-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,38,0.044461412664990485,0.33154791649728477,0.1341025247110989,False,
STANDALONE,BREADTH_THRUST_LEADER_BREAKOUT,4,2021-10-01T00:00:00+00:00,2021-12-04T00:00:00+00:00,65,-0.04279748681832307,0.37052437252117865,-0.1155051866820902,False,
STANDALONE,BREADTH_THRUST_LEADER_BREAKOUT,5,2023-03-13T00:00:00+00:00,2023-06-14T00:00:00+00:00,94,-0.057289045828208485,-0.15141585105211164,,False,
STANDALONE,BREADTH_THRUST_LEADER_BREAKOUT,6,2023-10-23T00:00:00+00:00,2024-06-02T00:00:00+00:00,224,-0.04425430681074127,2.667291938689029,-0.016591474734667485,True,False
STANDALONE,BREADTH_THRUST_LEADER_BREAKOUT,7,2024-10-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,66,-0.08286351067449738,0.37373514866458524,-0.22171719992240976,False,
OVERLAY,BREADTH_THRUST_LEADER_BREAKOUT,1,2019-05-01T00:00:00+00:00,2019-09-20T00:00:00+00:00,143,-0.009061812152943993,0.6437975137033425,-0.014075562517813039,False,
OVERLAY,BREADTH_THRUST_LEADER_BREAKOUT,2,2020-05-27T00:00:00+00:00,2021-05-15T00:00:00+00:00,354,0.3747029121772585,8.977084241529303,0.04173993493832085,True,False
OVERLAY,BREADTH_THRUST_LEADER_BREAKOUT,3,2021-08-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,38,-0.05226151984458083,0.33154791649728477,-0.15762885919088207,False,
OVERLAY,BREADTH_THRUST_LEADER_BREAKOUT,4,2021-10-01T00:00:00+00:00,2021-12-04T00:00:00+00:00,65,-0.046818498010345655,0.37052437252117865,-0.12635740448536775,False,
OVERLAY,BREADTH_THRUST_LEADER_BREAKOUT,5,2023-03-13T00:00:00+00:00,2023-06-14T00:00:00+00:00,94,-0.031024408870141795,-0.15141585105211164,,False,
OVERLAY,BREADTH_THRUST_LEADER_BREAKOUT,6,2023-10-23T00:00:00+00:00,2024-06-02T00:00:00+00:00,224,0.11968023423506846,2.667291938689029,0.04486956695632319,True,False
OVERLAY,BREADTH_THRUST_LEADER_BREAKOUT,7,2024-10-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,66,-0.12149671114255534,0.37373514866458524,-0.32508773011230624,False,
