domain_id,symbol,candidate_count,next_bar_violations,future_4h_context_violations,future_1d_context_violations,future_1w_context_violations,sealed_cutoff_violations
BREADTH_THRUST_LEADER_BREAKOUT,AVAX/USDT,38,0,0,0,0,0
BREADTH_THRUST_LEADER_BREAKOUT,BTC/USDT,120,0,0,0,0,0
BREADTH_THRUST_LEADER_BREAKOUT,ETH/USDT,113,0,0,0,0,0
BREADTH_THRUST_LEADER_BREAKOUT,LINK/USDT,41,0,0,0,0,0
BREADTH_THRUST_LEADER_BREAKOUT,NEAR/USDT,36,0,0,0,0,0
BREADTH_THRUST_LEADER_BREAKOUT,SOL/USDT,51,0,0,0,0,0
BTC_TO_ALT_ROTATION_BREAKOUT,AVAX/USDT,4,0,0,0,0,0
BTC_TO_ALT_ROTATION_BREAKOUT,ETH/USDT,14,0,0,0,0,0
BTC_TO_ALT_ROTATION_BREAKOUT,LINK/USDT,3,0,0,0,0,0
BTC_TO_ALT_ROTATION_BREAKOUT,NEAR/USDT,2,0,0,0,0,0
BTC_TO_ALT_ROTATION_BREAKOUT,SOL/USDT,5,0,0,0,0,0
DISPERSION_EXPANSION_LEADER,AVAX/USDT,32,0,0,0,0,0
DISPERSION_EXPANSION_LEADER,BTC/USDT,35,0,0,0,0,0
DISPERSION_EXPANSION_LEADER,ETH/USDT,68,0,0,0,0,0
DISPERSION_EXPANSION_LEADER,LINK/USDT,28,0,0,0,0,0
DISPERSION_EXPANSION_LEADER,NEAR/USDT,33,0,0,0,0,0
DISPERSION_EXPANSION_LEADER,SOL/USDT,19,0,0,0,0,0
VOLUME_BREADTH_THRUST,AVAX/USDT,55,0,0,0,0,0
VOLUME_BREADTH_THRUST,BTC/USDT,59,0,0,0,0,0
VOLUME_BREADTH_THRUST,ETH/USDT,52,0,0,0,0,0
VOLUME_BREADTH_THRUST,LINK/USDT,48,0,0,0,0,0
VOLUME_BREADTH_THRUST,NEAR/USDT,38,0,0,0,0,0
VOLUME_BREADTH_THRUST,SOL/USDT,61,0,0,0,0,0
CORRELATION_RELEASE_ROTATION,ETH/USDT,1,0,0,0,0,0
