transport_direction,evaluation_period,market_context,landmark_age_hours,universe_id,feature_id,tail_unique_control_position_count,tail_unique_pair_count,tail_unique_signal_day_count,tail_support_pass,tail_row_count,tail_mean_rcv,tail_median_rcv,training_feature_q25,lopo_complete,lopo_pair_count,lopo_minimum_tail_mean_rcv,lopo_maximum_tail_mean_rcv,cell_outcome
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,24,C2,ENTRY_MARGIN,19,9,14,True,19,0.010865455347986946,-0.0171129578331794,-0.009987271630852099,True,11,-0.015560419748962379,0.023541636137691037,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,24,C2,RECENT_12H_RETURN,16,9,12,True,16,-0.011189501379162444,-0.0228608879814961,-0.009849571354306851,True,11,-0.03979304303933345,-0.00388480593448411,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,24,C2,PATH_POSITION,25,9,19,True,25,-0.006250642432242615,-0.0200984607883636,0.35807165908622135,True,11,-0.015916856448261858,0.0003836858021042864,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,24,D2,ENTRY_MARGIN,20,9,14,True,20,0.021841695037782268,-0.01298562841353525,-0.009987271630852099,True,12,0.0008362915105613535,0.045439403772159936,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,24,D2,RECENT_12H_RETURN,18,9,13,True,18,0.0018917155271252974,-0.0161402367321613,-0.009849571354306851,True,12,-0.010914748236042875,0.015544477078248657,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,24,D2,PATH_POSITION,25,9,19,True,25,-0.008296041865216642,-0.0178683324827679,0.35807165908622135,True,12,-0.012069823094428311,-0.001839574451128346,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,24,E2,ENTRY_MARGIN,19,10,13,True,19,0.011421837063150907,-0.0158012624720016,-0.009987271630852099,True,12,-0.014805330278382685,0.0398230005366548,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,24,E2,RECENT_12H_RETURN,16,9,12,True,16,-0.011189501379162442,-0.022860887981496048,-0.009849571354306851,True,12,-0.03979304303933343,-0.00420020677720181,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,24,E2,PATH_POSITION,24,8,19,True,24,-0.0067988380978105745,-0.02045202666581955,0.35807165908622135,True,12,-0.017118062237190822,8.721454122772393e-05,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,48,C2,ENTRY_MARGIN,43,11,26,True,43,0.009282605959100344,-0.0053224890111531,-0.0022494452381675,True,11,0.0020707803923409075,0.014311994218133936,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,48,C2,RECENT_12H_RETURN,20,8,17,True,20,0.01669074751744696,0.00267948457329365,-0.0056683356443743,True,11,0.0044919923120735755,0.02709724000010497,REVERSED_DIRECTION
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,48,C2,PATH_POSITION,40,10,26,True,40,0.004104630367092914,-0.0056126799614002,0.4658613445378145,True,11,0.00026085984619005477,0.013528428809413384,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,48,D2,ENTRY_MARGIN,39,10,23,True,39,0.0034850816933306196,-0.0053387545319089,-0.0022494452381675,True,12,-0.005440880590953058,0.006760200985636242,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,48,D2,RECENT_12H_RETURN,18,9,15,True,18,0.011687364449850472,-0.0007942664276481,-0.0056683356443743,True,12,-0.0001155740930391877,0.021326580812486617,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,48,D2,PATH_POSITION,37,11,23,True,37,0.006807739114546124,-0.0077620630503021,0.4658613445378145,True,12,0.0009779148200200355,0.01912900930999896,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,48,E2,ENTRY_MARGIN,40,12,23,True,40,0.00213718664500591,-0.0053342128799291,-0.0022494452381675,True,13,-0.0066905983589726605,0.005246250753257004,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,48,E2,RECENT_12H_RETURN,19,9,16,True,19,0.01220079849109756,0.0009664681571752,-0.0056683356443743,True,13,0.0011525544555834183,0.02133550622949112,REVERSED_DIRECTION
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,48,E2,PATH_POSITION,37,12,22,True,37,-0.004039983128577364,-0.0077620630503021,0.4658613445378145,True,13,-0.008678626179595913,0.0014226571915336255,NO_DIRECTIONAL_EDGE
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,24,C2,ENTRY_MARGIN,9,7,7,False,9,0.005045224619927759,-0.0039328883276203,-0.0107921588100888,True,8,-0.011161864016605436,0.018399218307007217,INSUFFICIENT_SUPPORT
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,24,C2,RECENT_12H_RETURN,9,7,6,False,9,-0.003082928081124578,-0.0039687759838171,-0.00923008482531235,True,8,-0.02030603580528931,0.007547581902450112,INSUFFICIENT_SUPPORT
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,24,C2,PATH_POSITION,6,6,5,False,6,0.01973685415684102,0.0086266226191022,0.2964897733554452,True,8,-0.0032561617542294407,0.034694440652227404,INSUFFICIENT_SUPPORT
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,24,D2,ENTRY_MARGIN,9,7,7,False,9,0.005045224619927759,-0.0039328883276203,-0.0112094611654028,True,8,-0.011161864016605436,0.018399218307007217,INSUFFICIENT_SUPPORT
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,24,D2,RECENT_12H_RETURN,9,7,6,False,9,-0.003082928081124578,-0.0039687759838171,-0.00984550115299045,True,8,-0.02030603580528931,0.007547581902450112,INSUFFICIENT_SUPPORT
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,24,D2,PATH_POSITION,6,6,5,False,6,0.01973685415684102,0.0086266226191022,0.3007505773672061,True,8,-0.0032561617542294407,0.034694440652227404,INSUFFICIENT_SUPPORT
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,24,E2,ENTRY_MARGIN,9,7,7,False,9,0.005045224619927759,-0.0039328883276203,-0.0107921588100888,True,8,-0.011161864016605436,0.018399218307007217,INSUFFICIENT_SUPPORT
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,24,E2,RECENT_12H_RETURN,9,7,6,False,9,-0.003082928081124578,-0.0039687759838171,-0.00873205869287225,True,8,-0.02030603580528931,0.007547581902450112,INSUFFICIENT_SUPPORT
