transport_direction,evaluation_period,market_context,landmark_age_hours,universe_id,feature_id,decision_row_count,unique_control_position_count,unique_pair_count,unique_signal_day_count,support_pass,negative_event_count,nonnegative_nonevent_count,auc,event_median_adverse_score,nonevent_median_adverse_score,event_minus_nonevent_median_adverse_score_spread,event_support_pass,classification_support_pass,lopo_complete,lopo_pair_count,lopo_minimum_auc,lopo_maximum_auc,cell_outcome
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,24,C2,ENTRY_MARGIN,71,71,11,40,True,44,27,0.4882154882154882,0.6857142857142857,0.6857142857142857,0.0,True,True,True,11,0.4679313459801265,0.5058823529411764,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,24,C2,RECENT_12H_RETURN,71,71,11,40,True,44,27,0.5492424242424242,0.4428571428571429,0.4571428571428572,-0.01428571428571429,True,True,True,11,0.5211069418386491,0.6035805626598465,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,24,C2,PATH_POSITION,71,71,11,40,True,44,27,0.51010101010101,0.5571428571428572,0.6,-0.042857142857142816,True,True,True,11,0.47946859903381644,0.5562659846547314,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,24,D2,ENTRY_MARGIN,72,72,12,39,True,42,30,0.444047619047619,0.6857142857142857,0.6857142857142857,0.0,True,True,True,12,0.4201631701631702,0.5036057692307693,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,24,D2,RECENT_12H_RETURN,72,72,12,39,True,42,30,0.5031746031746032,0.4571428571428572,0.48571428571428577,-0.02857142857142858,True,True,True,12,0.46875,0.578125,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,24,D2,PATH_POSITION,72,72,12,39,True,42,30,0.46150793650793653,0.5571428571428572,0.6142857142857143,-0.05714285714285716,True,True,True,12,0.418997668997669,0.5114182692307693,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,24,E2,ENTRY_MARGIN,71,71,12,40,True,43,28,0.48172757475083056,0.6857142857142857,0.6857142857142857,0.0,True,True,True,12,0.45913461538461536,0.5106837606837606,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,24,E2,RECENT_12H_RETURN,71,71,12,40,True,43,28,0.5606312292358804,0.4571428571428572,0.4428571428571429,0.01428571428571429,True,True,True,12,0.5290806754221389,0.6035353535353535,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,24,E2,PATH_POSITION,71,71,12,40,True,43,28,0.5103820598006644,0.6285714285714286,0.6,0.02857142857142858,True,True,True,12,0.4724264705882353,0.55239898989899,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,48,C2,ENTRY_MARGIN,81,81,11,45,True,42,39,0.5671550671550671,0.7931034482758621,0.7241379310344828,0.06896551724137934,True,True,True,11,0.5267281105990783,0.5891447368421052,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,48,C2,RECENT_12H_RETURN,81,81,11,45,True,42,39,0.4526862026862027,0.5344827586206896,0.5517241379310345,-0.017241379310344862,True,True,True,11,0.41524767801857587,0.4963133640552995,REVERSED_DIRECTION
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,48,C2,PATH_POSITION,81,81,11,45,True,42,39,0.5726495726495726,0.7586206896551724,0.5517241379310345,0.2068965517241379,True,True,True,11,0.5313364055299539,0.596728307254623,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,48,D2,ENTRY_MARGIN,80,80,12,44,True,40,40,0.6109375,0.7931034482758621,0.49999999999999994,0.29310344827586216,True,True,True,12,0.572265625,0.6311355311355311,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,48,D2,RECENT_12H_RETURN,80,80,12,44,True,40,40,0.4975,0.5344827586206896,0.5172413793103448,0.017241379310344862,True,True,True,12,0.4658730158730159,0.5419921875,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,48,D2,PATH_POSITION,80,80,12,44,True,40,40,0.62625,0.7586206896551724,0.5344827586206896,0.22413793103448276,True,True,True,12,0.6015625,0.6510416666666666,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,48,E2,ENTRY_MARGIN,81,81,13,44,True,42,39,0.6172161172161172,0.7931034482758621,0.5172413793103448,0.27586206896551735,True,True,True,13,0.5830170777988615,0.6383265856950068,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,48,E2,RECENT_12H_RETURN,81,81,13,44,True,42,39,0.4838217338217338,0.5344827586206896,0.5172413793103448,0.017241379310344862,True,True,True,13,0.44930340557275544,0.5260910815939279,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,48,E2,PATH_POSITION,81,81,13,44,True,42,39,0.6205738705738706,0.7586206896551724,0.5172413793103448,0.24137931034482762,True,True,True,13,0.5981973434535104,0.6428049671292915,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,24,C2,ENTRY_MARGIN,35,35,8,16,True,25,10,0.39,0.323943661971831,0.36619718309859156,-0.04225352112676056,True,True,True,8,0.31547619047619047,0.4468599033816425,REVERSED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,24,C2,RECENT_12H_RETURN,35,35,8,16,True,25,10,0.42,0.5352112676056338,0.619718309859155,-0.08450704225352124,True,True,True,8,0.3392857142857143,0.5244565217391305,NO_DIRECTIONAL_EDGE
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,24,C2,PATH_POSITION,35,35,8,16,True,25,10,0.36,0.43661971830985913,0.5985915492957746,-0.1619718309859155,True,True,True,8,0.29545454545454547,0.44345238095238093,REVERSED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,24,D2,ENTRY_MARGIN,35,35,8,16,True,25,10,0.388,0.3194444444444444,0.3541666666666667,-0.034722222222222265,True,True,True,8,0.30952380952380953,0.4444444444444444,REVERSED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,24,D2,RECENT_12H_RETURN,35,35,8,16,True,25,10,0.418,0.5,0.5972222222222222,-0.09722222222222221,True,True,True,8,0.33630952380952384,0.5217391304347826,NO_DIRECTIONAL_EDGE
