transport_direction,evaluation_period,market_context,landmark_age_hours,universe_id,feature_id,decision_row_count,unique_control_position_count,unique_pair_count,unique_signal_day_count,support_pass,spearman_rho,lower_score_count,upper_score_count,lower_score_mean_rcv,upper_score_mean_rcv,upper_minus_lower_mean_rcv_spread,lopo_complete,lopo_pair_count,lopo_minimum_rcv_spread,lopo_maximum_rcv_spread,cell_outcome
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,48,C2,RECENT_12H_RETURN,81,81,11,45,True,-0.1476443912681237,47,34,0.019253334855900913,0.016605856534808415,-0.002647478321092498,True,11,-0.029965445981765006,0.002068030285818343,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,48,C2,PATH_POSITION,81,81,11,45,True,0.05857925810034891,56,25,0.0037874943132302605,0.050296247154797386,0.04650875284156712,True,11,0.028834352779233945,0.05563610089468362,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,48,D2,ENTRY_MARGIN,80,80,12,44,True,0.186131381962027,51,29,0.0035263719270340922,0.0680393725835915,0.0645130006565574,True,12,0.032248850265807615,0.0738939911887023,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,48,D2,RECENT_12H_RETURN,80,80,12,44,True,-0.05728186226276667,45,35,0.021446875966401442,0.0339393529918522,0.012492477025450754,True,12,-0.008818059763752974,0.018867000569352085,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,48,D2,PATH_POSITION,80,80,12,44,True,0.17761058477423766,54,26,0.01085284887346377,0.06026665130907109,0.04941380243560732,True,12,0.026770854965407563,0.05948048435883605,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,48,E2,ENTRY_MARGIN,81,81,13,44,True,0.19361209098675294,52,29,0.0024887355392130732,0.056596348312235104,0.05410761277302203,True,13,0.0320281463543307,0.062193436429117246,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,48,E2,RECENT_12H_RETURN,81,81,13,44,True,-0.08495513134689446,46,35,0.021465965246578872,0.02237925565003628,0.000913290403457407,True,13,-0.02364999870472266,0.0061347382136198,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,ROBUSTNESS_2023,SUPPORTIVE,48,E2,PATH_POSITION,81,81,13,44,True,0.17221230173756238,55,26,0.0030921689622970413,0.06156304062182927,0.05847087165953223,True,13,0.030236513430103706,0.07069258385554585,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,24,C2,ENTRY_MARGIN,35,35,8,16,True,-0.3476981982160208,11,24,-0.0062002108815146974,-0.04176489685799809,-0.03556468597648339,True,8,-0.06048058485579727,-0.01953789061410577,REVERSED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,24,C2,RECENT_12H_RETURN,35,35,8,16,True,-0.19417398027495028,19,16,-0.019086312797347113,-0.0442449938211888,-0.025158681023841688,True,8,-0.037771785900074926,-0.010517267833495672,REVERSED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,24,C2,PATH_POSITION,35,35,8,16,True,-0.3535606980575559,14,21,-0.005960561344844971,-0.04700533264098982,-0.04104477129614485,True,8,-0.05312116133840392,-0.03093047379530624,REVERSED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,24,D2,ENTRY_MARGIN,35,35,8,16,True,-0.34867920885185805,11,24,-0.0062002108815146974,-0.04176489685799809,-0.03556468597648339,True,8,-0.06048058485579727,-0.01953789061410577,REVERSED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,24,D2,RECENT_12H_RETURN,35,35,8,16,True,-0.19400627603375017,18,17,-0.01814323380883509,-0.04376362563115202,-0.02562039182231693,True,8,-0.03780049466298423,-0.011921643533416317,REVERSED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,24,D2,PATH_POSITION,35,35,8,16,True,-0.3483874394264902,13,22,0.00035993454783788596,-0.04887449970047766,-0.04923443424831554,True,8,-0.06355785900217686,-0.03994759983586124,REVERSED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,24,E2,ENTRY_MARGIN,35,35,8,16,True,-0.34867920885185805,11,24,-0.0062002108815146974,-0.04176489685799809,-0.03556468597648339,True,8,-0.06048058485579727,-0.01953789061410577,REVERSED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,24,E2,RECENT_12H_RETURN,35,35,8,16,True,-0.19177367547413982,19,16,-0.019086312797347113,-0.0442449938211888,-0.025158681023841688,True,8,-0.037771785900074926,-0.010517267833495672,REVERSED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,24,E2,PATH_POSITION,35,35,8,16,True,-0.3545520356585729,14,21,-0.005960561344844971,-0.04700533264098982,-0.04104477129614485,True,8,-0.05312116133840392,-0.03093047379530624,REVERSED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,48,C2,ENTRY_MARGIN,29,29,8,12,True,-0.5091902439052348,6,23,0.005179502258734436,-0.03983823623111431,-0.045017738489848746,True,8,-0.05273799787342511,-0.03393120262939822,REVERSED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,48,C2,RECENT_12H_RETURN,29,29,8,12,True,-0.34298388445823996,13,16,-0.010538638217678864,-0.04676250768333732,-0.036223869465658455,True,8,-0.04905601498079522,-0.005808089424673715,REVERSED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,48,C2,PATH_POSITION,29,29,8,12,True,-0.22389844114328483,9,20,-0.011204551254799253,-0.039218072923501456,-0.028013521668702204,True,8,-0.04582348114612188,-0.016810081054195916,REVERSED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,48,D2,ENTRY_MARGIN,29,29,8,12,True,-0.504684663568418,8,21,0.016837082343853324,-0.04856662278638328,-0.0654037051302366,True,8,-0.0768649064588909,-0.05236919679393684,REVERSED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,48,D2,RECENT_12H_RETURN,29,29,8,12,True,-0.34446226327055995,14,15,-0.01288922668564479,-0.0469835497442797,-0.03409432305863491,True,8,-0.04667332209018529,-0.006918644621571934,REVERSED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,48,D2,PATH_POSITION,29,29,8,12,True,-0.23652753295058626,9,20,-0.011204551254799253,-0.039218072923501456,-0.028013521668702204,True,8,-0.0338759766575495,-0.015307554197896402,REVERSED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,48,E2,ENTRY_MARGIN,29,29,8,12,True,-0.504684663568418,8,21,0.016837082343853324,-0.04856662278638328,-0.0654037051302366,True,8,-0.0768649064588909,-0.03571382287923562,REVERSED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,48,E2,RECENT_12H_RETURN,29,29,8,12,True,-0.34446226327055995,14,15,-0.01288922668564479,-0.0469835497442797,-0.03409432305863491,True,8,-0.04667332209018529,-0.005808089424673715,REVERSED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,ROBUSTNESS_2022,SUPPORTIVE,48,E2,PATH_POSITION,29,29,8,12,True,-0.22389844114328483,10,19,-0.02249767689456689,-0.034748718464081764,-0.012251041569514873,True,8,-0.0338759766575495,-0.008457398023711593,REVERSED_DIRECTION
