variant_id,period,strategy_return,benchmark_return,trade_count
RD12_BASELINE,2020-03-31 00:00:00+00:00,0.0,-0.2660084221122998,0
RD12_BASELINE,2020-06-30 00:00:00+00:00,0.02624121850377792,0.9567293584011323,2
RD12_BASELINE,2020-09-30 00:00:00+00:00,0.14501324108493385,0.3267059041259459,4
RD12_BASELINE,2020-12-31 00:00:00+00:00,0.13286123167337727,1.101823686364145,4
RD12_BASELINE,2021-03-31 00:00:00+00:00,0.036807203610040196,2.8689661697590125,2
RD12_BASELINE,2021-06-30 00:00:00+00:00,0.03479485312340791,0.06763078610859985,2
RD12_BASELINE,2021-09-30 00:00:00+00:00,-0.010230079975959039,0.4028603395918764,1
RD12_BASELINE,2021-12-31 00:00:00+00:00,0.014998507417995022,-0.182674016973149,3
RD12_BASELINE,2022-03-31 00:00:00+00:00,0.0,-0.07621289341850856,0
RD12_BASELINE,2022-06-30 00:00:00+00:00,0.0,-0.6159782730542098,0
RD12_BASELINE,2022-09-30 00:00:00+00:00,0.0,0.051885073413245664,0
RD12_BASELINE,2022-12-31 00:00:00+00:00,0.0,-0.27218321218970687,0
RD12_BASELINE,2023-03-31 00:00:00+00:00,0.020189888607578643,0.5362949735550675,0
RD12_BASELINE,2023-06-30 00:00:00+00:00,0.031207594723088983,-0.10692457859027338,2
RD12_BASELINE,2023-09-30 00:00:00+00:00,-0.012528256462260523,-0.13238217003759567,2
RD12_BASELINE,2023-12-31 00:00:00+00:00,0.011063847453046671,0.7159619471281011,2
RD12_BASELINE,2024-03-31 00:00:00+00:00,0.026835416919917865,0.3564980092722472,5
RD12_BASELINE,2024-06-30 00:00:00+00:00,0.0057009519233715,-0.20011714287819016,2
RD12_BASELINE,2024-09-30 00:00:00+00:00,-0.008547578224543773,-0.11393348550697147,2
RD12_BASELINE,2024-12-31 00:00:00+00:00,0.039300230769050204,0.6152605463349536,4
RD12_E01_NO_LONG_TERM_TREND,2020-03-31 00:00:00+00:00,0.0,-0.2660084221122998,0
