variant_id,signal_count,entry_signal_count,closed_trades,final_equity,net_return,expectancy,profit_factor,maximum_drawdown,sharpe,sortino,fees,slippage,exposure,benchmark_net_return,delta_net_return,delta_expectancy,delta_profit_factor,delta_maximum_drawdown,largest_contribution_asset,largest_asset_to_net_profit,pnl_contribution_by_asset
RD12_BASELINE,64,41,37,159918.61021521856,0.5991861021521856,1619.4218977086102,3.6746111222531668,0.05347337882661115,1.3535560575243988,1.0136017687944865,1324.1503927669778,662.090672596309,0.26618705035971224,16.039678671031243,0.0,0.0,0.0,0.0,BTC/USDT,0.5763449750758879,"{""ADA/USDT"": 10334.269251501402, ""BTC/USDT"": 34533.78991107198, ""ETH/USDT"": 15050.551052645196}"
RD12_E01_NO_LONG_TERM_TREND,64,41,37,159918.61021521856,0.5991861021521856,1619.4218977086102,3.6746111222531668,0.05347337882661115,1.3535560575243988,1.0136017687944865,1324.1503927669778,662.090672596309,0.26618705035971224,16.039678671031243,0.0,0.0,0.0,0.0,BTC/USDT,0.5763449750758879,"{""ADA/USDT"": 10334.269251501402, ""BTC/USDT"": 34533.78991107198, ""ETH/USDT"": 15050.551052645196}"
RD12_E02_NO_MEDIUM_TERM_ALIGNMENT,76,50,43,182364.89881758406,0.8236489881758406,1915.4627631996284,4.098292722647374,0.05347337882661131,1.504805657111411,1.2602568588382501,1492.7609091949055,746.4016056127858,0.3076923076923077,16.039678671031243,0.22446288602365505,296.04086549101817,0.423681600394207,1.5959455978986625e-16,ADA/USDT,0.4335355993042361,"{""ADA/USDT"": 35708.11577051407, ""BTC/USDT"": 32009.065866565124, ""ETH/USDT"": 14647.71718050482}"
RD12_E03_NO_RSI_ENTRY_FILTER,96,67,48,183180.48898791513,0.8318048898791512,1732.9268539148982,3.5579247336886506,0.05875597305902306,1.4876233085256,1.2249303464736112,1802.1326841921848,901.0878130234637,0.32706142778085223,16.039678671031243,0.23261878772696565,113.50495620628794,-0.11668638856451619,0.005282594232411911,BTC/USDT,0.5769081460221809,"{""ADA/USDT"": 23234.53894727882, ""BTC/USDT"": 47987.50168723655, ""ETH/USDT"": 11958.448353399743}"
RD12_E04_NO_VOLUME_CONFIRMATION,78,49,44,172721.34677361045,0.7272134677361044,1652.7578812184177,3.8131937814806687,0.059650232395482984,1.3510950958735728,1.0321289980118924,1633.0234233987976,816.5305044245741,0.29385722191477587,16.039678671031243,0.1280273655839188,33.33598350980742,0.1385826592275019,0.0061768535688718346,BTC/USDT,0.6004235402394213,"{""ADA/USDT"": 12523.712670684301, ""BTC/USDT"": 43663.60848078981, ""ETH/USDT"": 16534.025622136272}"
RD12_E05_NO_VOLATILITY_SANITY,73,47,41,174581.8848252305,0.7458188482523049,1819.0703615909867,3.911314088054944,0.05347337882661115,1.4700885493704816,1.1254636914318477,1478.8199309132215,739.4291654900911,0.2910902047592695,16.039678671031243,0.14663274610011934,199.64846388237652,0.2367029658017774,0.0,BTC/USDT,0.4825367550284049,"{""ADA/USDT"": 22992.14624283432, ""BTC/USDT"": 35988.50068746895, ""ETH/USDT"": 15601.237894927184}"
RD12_X01_NO_TRAILING_STOP,64,41,37,160783.53155213717,0.6078353155213716,1642.79815005776,3.7091288816081986,0.05347337882661115,1.3596518563164435,1.0292214965116522,1326.7161029162194,663.3737448634597,0.26784726065301606,16.039678671031243,0.008649213369186004,23.37625234914981,0.034517759355031874,0.0,BTC/USDT,0.5825066762202477,"{""ADA/USDT"": 10334.269251501402, ""BTC/USDT"": 35406.81293336397, ""ETH/USDT"": 15042.449367271749}"
RD12_X02_NO_EMA50_EXIT,64,41,37,159896.58968314674,0.5989658968314675,1618.826748193158,3.6711704930970335,0.05347337882661115,1.3531635223787994,1.0141931162853572,1324.11129419734,662.0711177916937,0.2672938572219148,16.039678671031243,-0.00022020532071809207,-0.595149515452249,-0.0034406291561333013,0.0,BTC/USDT,0.5761853849261895,"{""ADA/USDT"": 10334.269251501402, ""BTC/USDT"": 34511.539582349935, ""ETH/USDT"": 15050.780849295508}"
RD12_X03_NO_RSI_EXIT,63,42,37,153778.67228291012,0.5377867228291011,1453.477629267841,3.181625476961717,0.06004494796568593,1.2718647553209024,0.9772291740310821,1263.8473360496725,631.9375866391377,0.2805755395683453,16.039678671031243,-0.06139937932308448,-165.9442684407693,-0.4929856452914496,0.006571569139074779,BTC/USDT,0.4824883719684596,"{""ADA/USDT"": 11719.362328025845, ""BTC/USDT"": 25947.584036406628, ""ETH/USDT"": 16111.725918477643}"
RD12_X04_NO_TIME_STOP,61,39,35,179846.08518175373,0.7984608518175373,2281.316719478678,4.473781243303167,0.11897898617333696,1.13707575977036,0.777524641920618,1409.1162627576825,704.5786213238578,0.2955174322080797,16.039678671031243,0.19927474966535175,661.8948217700677,0.79917012105,0.06550560734672581,BTC/USDT,0.775820371489183,"{""ADA/USDT"": 8743.98382373586, ""BTC/USDT"": 61946.219467665134, ""ETH/USDT"": 9155.88189035272}"
RD12_G01_BREAKOUT_CORE_ONLY,227,170,92,208791.95076387742,1.0879195076387744,1182.5212039551893,2.5691542218436103,0.12742889706153174,1.4402170596637167,1.4050398550635215,3383.497832786921,1691.7773831999557,0.44106253458771444,16.039678671031243,0.48873340548658883,-436.9006937534209,-1.1054569004095565,0.07395551823492058,BTC/USDT,0.5119850394187038,"{""ADA/USDT"": 32338.347539824066, ""BTC/USDT"": 55699.85120028147, ""ETH/USDT"": 20753.75202377187}"
RD12_G02_INITIAL_STOP_AND_TIME_EXIT_ONLY,61,42,37,158419.40779672365,0.5841940779672365,1578.9029134249627,3.2541806399238293,0.056060477290776574,1.3363223150487855,1.0652702454277898,1276.5032453940871,638.2667062414806,0.29883785279468733,16.039678671031243,-0.014992024184949049,-40.51898428364757,-0.42043048232933744,0.0025870984641654243,BTC/USDT,0.531621107506314,"{""ADA/USDT"": 11730.79812864382, ""BTC/USDT"": 31056.990272757223, ""ETH/USDT"": 15631.619395322585}"
