criterion,value
baseline_closed_trades,37
minimum_sample_pass,true
expanded_sample_pass,false
asset_trade_counts,"{""ADA/USDT"": 5, ""BTC/USDT"": 19, ""ETH/USDT"": 16}"
cross_asset_sample_pass,false
regime_trade_counts,"{""BEAR"": 0, ""BULL"": 36, ""SIDEWAYS_TRANSITION"": 1}"
regime_sample_pass,false
