cohort_id,assets,common_start,evaluation_start,end_exclusive,execution_mode
RD12_REFERENCE_COHORT,BTC/USDT|ETH/USDT|ADA/USDT|AVAX/USDT|DOT/USDT,2022-06-17T00:00:00+00:00,2023-01-03T00:00:00+00:00,2025-01-01T00:00:00+00:00,REFERENCE_EXISTING_RD12_OUTPUTS
RD13_LONG_HISTORY_COHORT,BTC/USDT|ETH/USDT|ADA/USDT,2019-07-05T00:00:00+00:00,2020-01-21T00:00:00+00:00,2025-01-01T00:00:00+00:00,FULL_12_CONFIGURATION_REPLAY
