year,start_equity,end_equity,return,run_id,universe_id,horizon_hours,cost_multiplier
2019,100000.0,84914.97086155738,-0.15085029138442618,C2_H24_1x,C2,24,1.0
2020,84914.97086155738,91070.67339867796,0.07249254724654675,C2_H24_1x,C2,24,1.0
2021,91070.67339867796,80591.82375544963,-0.11506283254715066,C2_H24_1x,C2,24,1.0
2019,100000.0,69023.82580169827,-0.3097617419830173,C2_H24_2x,C2,24,2.0
2020,69023.82580169827,51128.76950807976,-0.2592591193804592,C2_H24_2x,C2,24,2.0
2021,51128.76950807976,30540.3421579303,-0.4026779354996196,C2_H24_2x,C2,24,2.0
2019,100000.0,83475.7655394102,-0.16524234460589793,D2_H24_1x,D2,24,1.0
2020,83475.7655394102,93588.91241330159,0.12115069336041984,D2_H24_1x,D2,24,1.0
2021,93588.91241330159,87946.68526351846,-0.06028734605725805,D2_H24_1x,D2,24,1.0
2019,100000.0,67164.32957737579,-0.3283567042262422,D2_H24_2x,D2,24,2.0
2020,67164.32957737579,52228.09715848275,-0.22238340668145795,D2_H24_2x,D2,24,2.0
2021,52228.09715848275,33065.59474669636,-0.36690025971344553,D2_H24_2x,D2,24,2.0
2019,100000.0,84914.97086155738,-0.15085029138442618,E2_H24_1x,E2,24,1.0
2020,84914.97086155738,91070.67339867796,0.07249254724654675,E2_H24_1x,E2,24,1.0
2021,91070.67339867796,77646.9957603175,-0.14739846689829494,E2_H24_1x,E2,24,1.0
2019,100000.0,69023.82580169827,-0.3097617419830173,E2_H24_2x,E2,24,2.0
2020,69023.82580169827,51128.76950807976,-0.2592591193804592,E2_H24_2x,E2,24,2.0
2021,51128.76950807976,29402.861310774555,-0.4249253092991395,E2_H24_2x,E2,24,2.0
2019,100000.0,98480.65287870073,-0.015193471212992748,C2_H72_1x,C2,72,1.0
2020,98480.65287870073,137732.32235929838,0.39857239298508906,C2_H72_1x,C2,72,1.0
2021,137732.32235929838,149297.36897367393,0.08396755689783642,C2_H72_1x,C2,72,1.0
2019,100000.0,87072.602866469,-0.12927397133531005,C2_H72_2x,C2,72,2.0
2020,87072.602866469,98891.2122711331,0.13573281394595083,C2_H72_2x,C2,72,2.0
2021,98891.2122711331,85510.50539624947,-0.13530733993023902,C2_H72_2x,C2,72,2.0
2019,100000.0,98442.68483566382,-0.015573151643361816,D2_H72_1x,D2,72,1.0
2020,98442.68483566382,141331.7313356836,0.4356753025541411,D2_H72_1x,D2,72,1.0
2021,141331.7313356836,164969.92426762043,0.16725326088161085,D2_H72_1x,D2,72,1.0
2019,100000.0,87408.29429017736,-0.12591705709822631,D2_H72_2x,D2,72,2.0
2020,87408.29429017736,102495.38309292185,0.17260477309691558,D2_H72_2x,D2,72,2.0
2021,102495.38309292185,93387.521283752,-0.08886119095640355,D2_H72_2x,D2,72,2.0
2019,100000.0,98480.65287870073,-0.015193471212992748,E2_H72_1x,E2,72,1.0
2020,98480.65287870073,137732.32235929838,0.39857239298508906,E2_H72_1x,E2,72,1.0
2021,137732.32235929838,146640.1942689095,0.06467524657264834,E2_H72_1x,E2,72,1.0
2019,100000.0,87072.602866469,-0.12927397133531005,E2_H72_2x,E2,72,2.0
2020,87072.602866469,98891.2122711331,0.13573281394595083,E2_H72_2x,E2,72,2.0
2021,98891.2122711331,83910.72492352186,-0.15148451519169137,E2_H72_2x,E2,72,2.0
2019,100000.0,89964.32732573165,-0.10035672674268348,C2_H168_1x,C2,168,1.0
2020,89964.32732573165,167722.37421778354,0.8643208836599781,C2_H168_1x,C2,168,1.0
2021,167722.37421778354,214178.79160570598,0.27698401960134356,C2_H168_1x,C2,168,1.0
2019,100000.0,82030.56430668781,-0.17969435693312186,C2_H168_2x,C2,168,2.0
2020,82030.56430668781,138901.39636067525,0.693288319233845,C2_H168_2x,C2,168,2.0
2021,138901.39636067525,155945.19631646937,0.12270430969273849,C2_H168_2x,C2,168,2.0
2019,100000.0,87914.85494809649,-0.12085145051903512,D2_H168_1x,D2,168,1.0
2020,87914.85494809649,169244.23154833587,0.9250925415079732,D2_H168_1x,D2,168,1.0
2021,169244.23154833587,223718.52919871433,0.32186797240897813,D2_H168_1x,D2,168,1.0
2019,100000.0,80205.33730589705,-0.1979466269410295,D2_H168_2x,D2,168,2.0
2020,80205.33730589705,140147.58935969975,0.7473598898435838,D2_H168_2x,D2,168,2.0
2021,140147.58935969975,160886.73938126783,0.14798078308960028,D2_H168_2x,D2,168,2.0
2019,100000.0,89964.32732573165,-0.10035672674268348,E2_H168_1x,E2,168,1.0
2020,89964.32732573165,167722.37421778354,0.8643208836599781,E2_H168_1x,E2,168,1.0
2021,167722.37421778354,209345.77212432932,0.24816842774058756,E2_H168_1x,E2,168,1.0
2019,100000.0,82030.56430668781,-0.17969435693312186,E2_H168_2x,E2,168,2.0
2020,82030.56430668781,138901.39636067525,0.693288319233845,E2_H168_2x,E2,168,2.0
2021,138901.39636067525,152366.65713084678,0.09694114762681916,E2_H168_2x,E2,168,2.0
