total_net_pnl,positive_net_pnl_pool,largest_winner_net_pnl,largest_winner_positive_pnl_share,net_pnl_without_largest_winner,top_asset,top_asset_positive_contribution_share,top_month,top_month_positive_contribution_share,top_year,top_year_positive_contribution_share,minimum_loao_remaining_net_pnl,minimum_loyo_remaining_net_pnl,cross_venue_trade_review_triggered,run_id,universe_id,horizon_hours,cost_multiplier
-19408.176244550363,503669.21229002485,7783.173269018043,0.015452946257386694,-27191.349513568406,BTC-USDT,0.3232110828265127,2021-02,0.3196658302140293,2020,1.0,-33948.625843365626,-24926.227941648136,False,C2_H24_1x,C2,24,1.0
-69459.65784206979,299132.2654469976,4157.963421361689,0.013900083346570405,-73617.62126343149,SHIB-USDT,0.3932793093288439,2021-02,0.34736207395521373,2020,,-70550.37097655484,-51174.85477574538,False,C2_H24_2x,C2,24,2.0
-12053.31473648169,523005.87545056024,7998.897865158984,0.015294087964629607,-20052.212601640676,BTC-USDT,0.34766974161206604,2021-02,0.3356956550624855,2020,1.0,-27205.07524802013,-21511.17878012622,False,D2_H24_1x,D2,24,1.0
-66934.40525330354,305807.38514385594,4247.364441617901,0.013889018538973098,-71181.76969492144,SHIB-USDT,0.6833706299698559,2021-02,0.3672399618947096,2020,,-68163.2048600735,-51600.046055535575,False,D2_H24_2x,D2,24,2.0
-22353.004239682472,501626.5391437049,7783.173269018043,0.01551587219110099,-30136.177508700515,XRP-USDT,0.3222851880879491,2021-02,0.3196658302140293,2020,1.0,-36618.84883886407,-27871.055936780245,False,E2_H24_1x,E2,24,1.0
-70597.13868922554,298391.51709934074,4157.963421361689,0.013934589903162082,-74755.10211058724,SHIB-USDT,0.40328539367622046,2021-02,0.34736207395521373,2020,,-71679.06808455802,-52312.335622901126,False,E2_H24_2x,E2,24,2.0
49297.368973673525,690069.1583554591,14695.38169611496,0.021295520192695344,34601.98727755857,ETH-USDT,0.3355063250387146,2021-04,0.22840119712214174,2020,0.820496457164855,14889.079544371933,7659.832268348895,False,C2_H72_1x,C2,72,1.0
-14489.494603750323,500705.8664874576,9915.399083068116,0.01980284184131182,-24404.89368681844,ETH-USDT,0.5084204346799035,2021-04,0.22165444778210966,2020,1.0,-32695.889140308507,-27834.17550847558,False,C2_H72_2x,C2,72,2.0
64969.924267620176,719527.6555172412,15092.578495289406,0.020975675333062663,49877.345772330766,ETH-USDT,0.33060909661411203,2021-04,0.21744373725867408,2020,0.6823860727012062,33409.22172554052,19620.399761485394,False,D2_H72_1x,D2,72,1.0
-6612.478716248164,519129.8097573734,10282.821837168736,0.019807804606664058,-16895.3005534169,ETH-USDT,0.5229919369281428,2021-02,0.2225257077892133,2020,1.0,-22998.57858487095,-23298.480989558986,False,D2_H72_2x,D2,72,2.0
46640.19426890906,688684.217499533,14695.38169611496,0.021338345387775532,31944.812572794097,ETH-USDT,0.33121705676876934,2021-04,0.22840119712214174,2020,0.8658327274355286,13029.990980121693,5002.657563584427,False,E2_H72_1x,E2,72,1.0
-16089.275076477918,499930.1365628007,9915.399083068116,0.019833569448803483,-26004.674159546033,ETH-USDT,0.5009240131932431,2021-04,0.22165444778210966,2020,1.0,-33774.901374017376,-29433.955981203173,False,E2_H72_2x,E2,72,2.0
114178.79160570631,783951.6652451578,65086.96267891802,0.08302420361408887,49091.828926788294,KCS-USDT,0.605146457256956,2021-02,0.20151606072518025,2020,0.6625008636762988,-7821.535913133208,31496.361075524313,False,C2_H168_1x,C2,168,1.0
55945.196316469024,668172.230852708,64889.25904310202,0.09711457023631714,-8944.062726632998,KCS-USDT,0.7895547354162885,2021-02,0.22871155936085727,2020,0.8166176106168684,-52807.576768032784,-4926.519848084863,False,C2_H168_2x,C2,168,2.0
123718.52919871485,799826.6282508627,65086.96267891802,0.08137633879639192,58631.566519796834,KCS-USDT,0.6480812520315538,2021-02,0.19926785079746653,2020,0.6327600091853033,-1770.5048106328322,37414.67297365927,False,D2_H168_1x,D2,168,1.0
60886.739381267755,676556.0361216262,64889.25904310202,0.09591113755348525,-4002.519661834267,KCS-USDT,0.8727272164289647,2021-02,0.22931665105862967,2020,0.7868089858109701,-51033.054639197675,-3087.1594395019274,False,D2_H168_2x,D2,168,2.0
109345.77212432971,780720.0281907019,65086.96267891802,0.08336786598104233,44258.809445411694,KCS-USDT,0.6049463461129685,2021-02,0.20151606072518025,2020,0.6891897575273784,-12654.555394509807,26663.341594147714,False,E2_H168_1x,E2,168,1.0
52366.657130846375,665838.874391836,64889.25904310202,0.09745489718119955,-12522.601912255646,KCS-USDT,0.789176189463178,2021-02,0.22871155936085727,2020,0.8577983538953728,-56386.11595365543,-8505.059033707512,False,E2_H168_2x,E2,168,2.0
