removed_asset,removed_net_pnl,remaining_net_pnl,run_id,universe_id,horizon_hours,cost_multiplier
ADA-USDT,-14615.066058703462,-4793.110185846901,C2_H24_1x,C2,24,1.0
ATOM-USDT,-1223.7783028597391,-18184.397941690622,C2_H24_1x,C2,24,1.0
AVAX-USDT,-417.87106024605714,-18990.305184304307,C2_H24_1x,C2,24,1.0
BNB-USDT,-865.682596036358,-18542.493648514006,C2_H24_1x,C2,24,1.0
BTC-USDT,14540.449598815261,-33948.625843365626,C2_H24_1x,C2,24,1.0
DOGE-USDT,-5973.827832636365,-13434.348411913998,C2_H24_1x,C2,24,1.0
DOT-USDT,-8482.388606406956,-10925.787638143407,C2_H24_1x,C2,24,1.0
ETH-USDT,10198.60880299767,-29606.785047548034,C2_H24_1x,C2,24,1.0
KCS-USDT,-17850.682118506775,-1557.494126043588,C2_H24_1x,C2,24,1.0
LTC-USDT,-5608.59905417857,-13799.577190371792,C2_H24_1x,C2,24,1.0
MANA-USDT,-200.31707963715405,-19207.85916491321,C2_H24_1x,C2,24,1.0
NEO-USDT,-767.361733138008,-18640.814511412354,C2_H24_1x,C2,24,1.0
SAND-USDT,1982.4450053773094,-21390.621249927673,C2_H24_1x,C2,24,1.0
SHIB-USDT,3459.5600947126604,-22867.73633926302,C2_H24_1x,C2,24,1.0
TRX-USDT,563.7627886035524,-19971.939033153914,C2_H24_1x,C2,24,1.0
VET-USDT,-5248.5384605520485,-14159.637783998314,C2_H24_1x,C2,24,1.0
XRP-USDT,14242.645895340636,-33650.822139890995,C2_H24_1x,C2,24,1.0
XTZ-USDT,-3141.535527495947,-16266.640717054415,C2_H24_1x,C2,24,1.0
ADA-USDT,-10355.956336093897,-59103.70150597589,C2_H24_2x,C2,24,2.0
ATOM-USDT,-718.0924175487421,-68741.56542452105,C2_H24_2x,C2,24,2.0
AVAX-USDT,-163.23770629876458,-69296.42013577103,C2_H24_2x,C2,24,2.0
BNB-USDT,-361.65634131110573,-69098.00150075869,C2_H24_2x,C2,24,2.0
BTC-USDT,-2357.261794646419,-67102.39604742338,C2_H24_2x,C2,24,2.0
DOGE-USDT,-3851.8470394342185,-65607.81080263558,C2_H24_2x,C2,24,2.0
DOT-USDT,-4461.231720031227,-64998.42612203857,C2_H24_2x,C2,24,2.0
ETH-USDT,-3692.875804696357,-65766.78203737343,C2_H24_2x,C2,24,2.0
KCS-USDT,-29298.73916225733,-40160.91867981246,C2_H24_2x,C2,24,2.0
LTC-USDT,-9975.662346897374,-59483.99549517242,C2_H24_2x,C2,24,2.0
MANA-USDT,-193.3052663983358,-69266.35257567145,C2_H24_2x,C2,24,2.0
NEO-USDT,-1130.833047716228,-68328.82479435357,C2_H24_2x,C2,24,2.0
SAND-USDT,639.600334486212,-70099.258176556,C2_H24_2x,C2,24,2.0
SHIB-USDT,1090.7131344850502,-70550.37097655484,C2_H24_2x,C2,24,2.0
TRX-USDT,-89.23875687503408,-69370.41908519476,C2_H24_2x,C2,24,2.0
VET-USDT,-2947.8999352138117,-66511.75790685599,C2_H24_2x,C2,24,2.0
XRP-USDT,1043.0669469637169,-70502.72478903351,C2_H24_2x,C2,24,2.0
XTZ-USDT,-2635.2005825859223,-66824.45725948387,C2_H24_2x,C2,24,2.0
ADA-USDT,-13325.504381310377,1272.1896448286861,D2_H24_1x,D2,24,1.0
ATOM-USDT,936.8360142559745,-12990.150750737665,D2_H24_1x,D2,24,1.0
AVAX-USDT,-1218.8458212825028,-10834.468915199188,D2_H24_1x,D2,24,1.0
BNB-USDT,-5123.625375211646,-6929.689361270044,D2_H24_1x,D2,24,1.0
BTC-USDT,15151.76051153844,-27205.07524802013,D2_H24_1x,D2,24,1.0
DOGE-USDT,-6855.4852861587,-5197.829450322991,D2_H24_1x,D2,24,1.0
DOT-USDT,-3598.0705414473177,-8455.244195034373,D2_H24_1x,D2,24,1.0
ETH-USDT,11117.60494525694,-23170.919681738633,D2_H24_1x,D2,24,1.0
KCS-USDT,-14366.379951983392,2313.0652155017015,D2_H24_1x,D2,24,1.0
LTC-USDT,-5029.129288925056,-7024.185447556634,D2_H24_1x,D2,24,1.0
SAND-USDT,549.5779014986439,-12602.892637980334,D2_H24_1x,D2,24,1.0
SHIB-USDT,3915.056558169223,-15968.371294650913,D2_H24_1x,D2,24,1.0
TRX-USDT,-5767.618965090286,-6285.695771391404,D2_H24_1x,D2,24,1.0
XRP-USDT,11910.064843915787,-23963.37958039748,D2_H24_1x,D2,24,1.0
XTZ-USDT,-349.55589970744023,-11703.75883677425,D2_H24_1x,D2,24,1.0
ADA-USDT,-9629.148346978802,-57305.25690632474,D2_H24_2x,D2,24,2.0
ATOM-USDT,476.8755738773519,-67411.28082718089,D2_H24_2x,D2,24,2.0
AVAX-USDT,-590.482340132115,-66343.92291317142,D2_H24_2x,D2,24,2.0
