run_id,universe_id,horizon_hours,cost_multiplier,signal_candidates,admitted_entries,already_open_rejections,position_slot_rejections,missing_entry_bar_rejections,invalid_stop_at_entry_rejections,liquidity_capacity_unavailable_rejections,liquidity_capacity_limited_entries,gross_capacity_limited_entries,cash_capacity_limited_entries,hard_stop_exits,stop_gap_exits,fixed_horizon_exits,boundary_exits,min_cash,final_cash,final_equity,maximum_drawdown,max_admission_gross_fraction,negative_cash_observed
C2_H24_1x,C2,24,1.0,4940,2472,2254,129,0,1,0,868,257,0,1243,1,1228,0,7434.3873516126805,80591.82375544963,80591.82375544963,0.4877030761799309,0.9000000000000001,False
C2_H24_2x,C2,24,2.0,4940,2459,2240,126,0,1,0,730,303,0,1235,1,1223,0,2841.5284175195147,30540.3421579303,30540.3421579303,0.7292495618953604,0.9000000000000001,False
D2_H24_1x,D2,24,1.0,4940,2459,2235,135,0,1,0,850,312,0,1227,1,1231,0,7945.579093671393,87946.68526351846,87946.68526351846,0.4426096149079587,0.9000000000000001,False
D2_H24_2x,D2,24,2.0,4940,2448,2227,132,0,1,0,711,350,0,1219,1,1228,0,3159.177462588561,33065.59474669636,33065.59474669636,0.6991943983277443,0.9000000000000001,False
E2_H24_1x,E2,24,1.0,4934,2471,2250,129,0,1,0,868,258,0,1244,1,1226,0,7357.649877973865,77646.9957603175,77646.9957603175,0.4871037205053592,0.9000000000000001,False
E2_H24_2x,E2,24,2.0,4934,2458,2236,126,0,1,0,730,304,0,1236,1,1221,0,2809.2298807931375,29402.861310774555,29402.861310774555,0.7295069706135158,0.9000000000000001,False
C2_H72_1x,C2,72,1.0,4940,1600,3031,218,0,1,0,626,218,0,1106,0,494,0,9273.011605096894,149297.36897367393,149297.36897367393,0.46382984358924606,0.9000000000000001,False
C2_H72_2x,C2,72,2.0,4940,1595,3027,216,0,1,0,557,241,0,1102,0,493,0,7559.202047165803,85510.50539624947,85510.50539624947,0.5171099791653828,0.9000000000000001,False
D2_H72_1x,D2,72,1.0,4940,1582,3029,239,0,1,0,627,217,0,1088,1,493,0,9320.263285067638,164969.92426762043,164969.92426762043,0.44831254701095524,0.9000000000000001,False
D2_H72_2x,D2,72,2.0,4940,1572,3014,235,0,1,0,552,259,0,1081,1,490,0,7584.666647845941,93387.521283752,93387.521283752,0.5028565828977187,0.9000000000000001,False
E2_H72_1x,E2,72,1.0,4934,1599,3025,218,0,1,0,626,219,0,1107,0,492,0,9273.011605096894,146640.1942689095,146640.1942689095,0.46382984358924606,0.9000000000000001,False
E2_H72_2x,E2,72,2.0,4934,1594,3021,216,0,1,0,557,242,0,1103,0,491,0,7559.202047165803,83910.72492352186,83910.72492352186,0.5171099791653828,0.9000000000000001,False
C2_H168_1x,C2,168,1.0,4940,1129,3443,305,0,0,0,447,148,0,888,0,241,0,9215.180523409788,214178.79160570598,214178.79160570598,0.44689957151299853,0.9000000000000001,False
C2_H168_2x,C2,168,2.0,4940,1129,3442,305,0,0,0,419,155,0,888,0,241,0,8371.14738847384,155945.19631646937,155945.19631646937,0.5184356841120752,0.9000000000000001,False
D2_H168_1x,D2,168,1.0,4940,1122,3425,323,0,0,0,455,158,0,876,2,244,0,8995.449704027234,223718.52919871433,223718.52919871433,0.4224865407053453,0.9000000000000001,False
D2_H168_2x,D2,168,2.0,4940,1121,3425,323,0,0,0,421,166,0,875,2,244,0,8185.080667255397,160886.73938126783,160886.73938126783,0.5029536246968891,0.9000000000000001,False
E2_H168_1x,E2,168,1.0,4934,1130,3441,305,0,0,0,447,144,0,890,0,240,0,9215.180523409788,209345.77212432932,209345.77212432932,0.4511609515157261,0.9000000000000001,False
E2_H168_2x,E2,168,2.0,4934,1130,3440,305,0,0,0,419,151,0,890,0,240,0,8371.14738847384,152366.65713084678,152366.65713084678,0.5253071935508506,0.9000000000000001,False
