run_id,universe_id,cost_multiplier,initial_equity,final_equity,net_return,trade_count,winning_trade_count,losing_trade_count,profit_factor,maximum_drawdown,min_cash,negative_cash_observed,one_way_turnover_initial_equity,positive_year_count,year_count,largest_winner_positive_pnl_share,net_pnl_without_largest_winner,minimum_loao_remaining_net_pnl,minimum_loyo_remaining_net_pnl,top_asset_positive_contribution_share,top_month_positive_contribution_share,top_year_positive_contribution_share,cross_venue_trade_review_triggered,mean_mfe_return,mean_mae_return,median_exit_capture_ratio,positive_calendar_day_share,median_daily_return,worst_daily_return,daily_cvar_5pct,active_day_share,rolling_30d_median_return,rolling_30d_worst_return,rolling_30d_best_return,rolling_60d_median_return,rolling_60d_worst_return,rolling_60d_best_return,rolling_90d_median_return,rolling_90d_worst_return,rolling_90d_best_return,horizon_hours
C2_H24_1x,C2,1.0,100000.0,80591.82375544963,-0.19408176244550368,2472,872,1600,0.9628961666668038,0.4877030761799309,7434.3873516126805,False,388.497949770557,1,3,0.015452946257386694,-27191.349513568406,-33948.625843365626,-24926.227941648136,0.3232110828265127,0.3196658302140293,1.0,False,0.0326239559688494,-0.020640122747687305,-0.6020507823250634,0.36779324055666,0.0,-0.04445933262883606,-0.02682905370354061,0.8608349900596421,-0.016609685638514227,-0.18749317814921163,0.390473638605503,-0.026391665726708258,-0.26596599958884093,0.48223752823586485,-0.04370441079697501,-0.37486115142839194,0.5752187533711433,24
C2_H24_2x,C2,2.0,100000.0,30540.3421579303,-0.694596578420697,2459,812,1647,0.8115540426869413,0.7292495618953604,2841.5284175195147,False,253.2480717418407,0,3,0.013900083346570405,-73617.62126343149,-70550.37097655484,-51174.85477574538,0.3932793093288439,0.34736207395521373,,False,0.0326202858985047,-0.02064948345084379,-0.6044538706256618,0.3389662027833002,-0.0003020722171263035,-0.04927554238033416,-0.02968005116296637,0.8608349900596421,-0.04094889102905652,-0.22489000143903903,0.3487459886160351,-0.0790945691786119,-0.32593389709339515,0.3948790270407665,-0.12507675633554366,-0.44586819563947877,0.49085598563979116,24
D2_H24_1x,D2,1.0,100000.0,87946.68526351846,-0.12053314736481535,2459,872,1587,0.977472932046512,0.4426096149079587,7945.579093671393,False,404.16226333297936,1,3,0.015294087964629607,-20052.212601640676,-27205.07524802013,-21511.17878012622,0.34766974161206604,0.3356956550624855,1.0,False,0.03223828026725673,-0.019953402334576882,-0.5775220712230944,0.3648111332007952,0.0,-0.04514403563948621,-0.026501514452318155,0.8558648111332008,-0.01650466752851143,-0.17280631350816145,0.39047363860550277,-0.023380474312349075,-0.26039386200670944,0.48230609405856684,-0.03088728013989428,-0.34298037244206925,0.5789362095146082,24
D2_H24_2x,D2,2.0,100000.0,33065.59474669636,-0.6693440525330363,2448,815,1633,0.820426882690067,0.6991943983277443,3159.177462588561,False,259.1696382283846,0,3,0.013889018538973098,-71181.76969492144,-68163.2048600735,-51600.046055535575,0.6833706299698559,0.3672399618947096,,False,0.03224459132956548,-0.019946419137605524,-0.5776883712516896,0.32803180914512925,-0.0003650670806031875,-0.04855983209692294,-0.0295022475697932,0.8558648111332008,-0.039648587013122405,-0.20660411101808263,0.3487459886160349,-0.0731802633734584,-0.3090364551931958,0.3944089999862719,-0.11030219725615392,-0.4175639821626218,0.4957975010507327,24
E2_H24_1x,E2,1.0,100000.0,77646.9957603175,-0.22353004239682506,2471,869,1602,0.9573399295412434,0.4871037205053592,7357.649877973865,False,388.6459294842824,1,3,0.01551587219110099,-30136.177508700515,-36618.84883886407,-27871.055936780245,0.3222851880879491,0.3196658302140293,1.0,False,0.03254594424629087,-0.020641281548982864,-0.6044538706256618,0.3667992047713718,0.0,-0.04445933262883606,-0.02682905370354061,0.8608349900596421,-0.017339478369736705,-0.18749317814921163,0.390473638605503,-0.026391665726708258,-0.26596599958884093,0.48223752823586485,-0.04370441079697501,-0.37486115142839194,0.5752187533711433,24
E2_H24_2x,E2,2.0,100000.0,29402.861310774555,-0.7059713868922545,2458,809,1649,0.8086739589910907,0.7295069706135158,2809.2298807931375,False,253.30411155914467,0,3,0.013934589903162082,-74755.10211058724,-71679.06808455802,-52312.335622901126,0.40328539367622046,0.34736207395521373,,False,0.03254186009032224,-0.02065065218912877,-0.6054068351502546,0.3359840954274354,-0.0003542086133110356,-0.04927554238033416,-0.02968005116296637,0.8608349900596421,-0.041825692486292754,-0.22489000143903903,0.3487459886160351,-0.0790945691786119,-0.32593389709339515,0.3948790270407665,-0.12507675633554366,-0.44586819563947877,0.49085598563979116,24
C2_H72_1x,C2,1.0,100000.0,149297.36897367393,0.4929736897367394,1600,428,1172,1.0769343622652854,0.46382984358924606,9273.011605096894,False,333.8511237473133,2,3,0.021295520192695344,34601.98727755857,14889.079544371933,7659.832268348895,0.3355063250387146,0.22840119712214174,0.820496457164855,False,0.055453069536139085,-0.02610500830751701,-0.8679585398828294,0.40159045725646125,0.0,-0.06086180178009615,-0.03246155968239053,0.8727634194831014,-0.00721897992620929,-0.20536831656368726,0.4699925030999581,0.010149017387416914,-0.3303585807157442,0.6822857903499375,0.029166683113308056,-0.38505967089109494,0.9473722407534242,72
C2_H72_2x,C2,2.0,100000.0,85510.50539624947,-0.1448949460375053,1595,416,1179,0.9718757277374143,0.5171099791653828,7559.202047165803,False,250.14792694723428,1,3,0.01980284184131182,-24404.89368681844,-32695.889140308507,-27834.17550847558,0.5084204346799035,0.22165444778210966,1.0,False,0.0555506401638458,-0.02612762943232659,-0.8810198300283295,0.38767395626242546,0.0,-0.06315448539629986,-0.03453183917285425,0.8727634194831014,-0.021547294421478624,-0.22608436615133598,0.4600975878078488,-0.01662720863571454,-0.36381699407780155,0.6474434214686098,-0.014403160162659245,-0.42973213766471596,0.8715474094278699,72
D2_H72_1x,D2,1.0,100000.0,164969.92426762043,0.6496992426762043,1582,426,1156,1.0992577448341887,0.44831254701095524,9320.263285067638,False,348.57566575909925,2,3,0.020975675333062663,49877.345772330766,33409.22172554052,19620.399761485394,0.33060909661411203,0.21744373725867408,0.6823860727012062,False,0.05611723867159296,-0.025485069321440672,-0.8447647460204941,0.4095427435387674,0.0,-0.06265521665288964,-0.0323632429364223,0.8717693836978131,-0.004997795719293097,-0.20536831656368737,0.4694277160914355,0.010230859978457074,-0.31842744533232137,0.6897836269643596,0.03858114668766022,-0.37924615567627973,0.9599588290267249,72
D2_H72_2x,D2,2.0,100000.0,93387.521283752,-0.06612478716248005,1572,413,1159,0.9874225854354496,0.5028565828977187,7584.666647845941,False,260.27391121970425,1,3,0.019807804606664058,-16895.3005534169,-22998.57858487095,-23298.480989558986,0.5229919369281428,0.2225257077892133,1.0,False,0.05623377141763932,-0.025485559153347038,-0.8447647460204941,0.3926441351888668,0.0,-0.06395571249174226,-0.034117630198286376,0.8717693836978131,-0.019338457162085265,-0.22608436615133554,0.45579849304013975,-0.01739840636524026,-0.3522489702153119,0.6588049860089513,-0.0037947007770720576,-0.4231238672485905,0.9094162630853901,72
