removed_year,removed_net_pnl,remaining_net_pnl,run_id,universe_id,horizon_hours,cost_multiplier
2019,-15085.029138442591,-4323.147106107772,C2_H24_1x,C2,24,1.0
2020,5518.051697097774,-24926.227941648136,C2_H24_1x,C2,24,1.0
2021,-9841.19880320553,-9566.977441344832,C2_H24_1x,C2,24,1.0
2019,-30976.174198301927,-38483.48364376786,C2_H24_2x,C2,24,2.0
2020,-18284.803066324414,-51174.85477574538,C2_H24_2x,C2,24,2.0
2021,-20198.680577443447,-49260.977264626345,C2_H24_2x,C2,24,2.0
2019,-16524.234460589818,4470.919724108127,D2_H24_1x,D2,24,1.0
2020,9457.864043644531,-21511.17878012622,D2_H24_1x,D2,24,1.0
2021,-4986.944319536415,-7066.370416945276,D2_H24_1x,D2,24,1.0
2019,-32835.67042262443,-34098.73483067911,D2_H24_2x,D2,24,2.0
2020,-15334.359197767968,-51600.046055535575,D2_H24_2x,D2,24,2.0
2021,-18764.375632911146,-48170.02962039239,D2_H24_2x,D2,24,2.0
2019,-15085.029138442591,-7267.975101239881,E2_H24_1x,E2,24,1.0
2020,5518.051697097774,-27871.055936780245,E2_H24_1x,E2,24,1.0
2021,-12786.02679833764,-9566.977441344832,E2_H24_1x,E2,24,1.0
2019,-30976.174198301927,-39620.96449092361,E2_H24_2x,E2,24,2.0
2020,-18284.803066324414,-52312.335622901126,E2_H24_2x,E2,24,2.0
2021,-21336.16142459919,-49260.977264626345,E2_H24_2x,E2,24,2.0
2019,-1449.390919963389,50746.75989363692,C2_H72_1x,C2,72,1.0
2020,41637.53670532463,7659.832268348895,C2_H72_1x,C2,72,1.0
2021,9109.223188312288,40188.14578536124,C2_H72_1x,C2,72,1.0
2019,-12864.609480478295,-1624.885123272028,C2_H72_2x,C2,72,2.0
2020,13344.680904725254,-27834.17550847558,C2_H72_2x,C2,72,2.0
2021,-14969.566027997273,480.0714242469494,C2_H72_2x,C2,72,2.0
2019,-1487.3589630002093,66457.28323062038,D2_H72_1x,D2,72,1.0
2020,45349.52450613478,19620.399761485394,D2_H72_1x,D2,72,1.0
2021,21107.75872448561,43862.165543134564,D2_H72_1x,D2,72,1.0
2019,-12528.918056769813,5916.439340521649,D2_H72_2x,D2,72,2.0
2020,16686.00227331082,-23298.480989558986,D2_H72_2x,D2,72,2.0
2021,-10769.562932789173,4157.084216541009,D2_H72_2x,D2,72,2.0
2019,-1449.390919963389,48089.58518887244,E2_H72_1x,E2,72,1.0
2020,41637.53670532463,5002.657563584427,E2_H72_1x,E2,72,1.0
2021,6452.048483547827,40188.14578536123,E2_H72_1x,E2,72,1.0
2019,-12864.609480478295,-3224.6655959996224,E2_H72_2x,E2,72,2.0
2020,13344.680904725254,-29433.955981203173,E2_H72_2x,E2,72,2.0
2021,-16569.34650072489,480.0714242469712,E2_H72_2x,E2,72,2.0
2019,-10624.714417466312,124803.50602317262,C2_H168_1x,C2,168,1.0
2020,82682.430530182,31496.361075524313,C2_H168_1x,C2,168,1.0
2021,42121.07549299061,72057.7161127157,C2_H168_1x,C2,168,1.0
2019,-18596.076579387005,74541.27289585603,C2_H168_2x,C2,168,2.0
2020,60871.71616455389,-4926.519848084863,C2_H168_2x,C2,168,2.0
2021,13669.556731302124,42275.6395851669,C2_H168_2x,C2,168,2.0
2019,-12674.186795101296,136392.71599381615,D2_H168_1x,D2,168,1.0
2020,86303.85622505558,37414.67297365927,D2_H168_1x,D2,168,1.0
2021,50088.859768760594,73629.66942995426,D2_H168_1x,D2,168,1.0
2019,-20421.303580177726,81308.04296144548,D2_H168_2x,D2,168,2.0
2020,63973.89882076968,-3087.1594395019274,D2_H168_2x,D2,168,2.0
2021,17334.14414067576,43552.595240591996,D2_H168_2x,D2,168,2.0
2019,-10624.714417466312,119970.48654179602,E2_H168_1x,E2,168,1.0
2020,82682.430530182,26663.341594147714,E2_H168_1x,E2,168,1.0
2021,37288.056011614026,72057.71611271569,E2_H168_1x,E2,168,1.0
2019,-18596.076579387005,70962.73371023338,E2_H168_2x,E2,168,2.0
2020,60871.71616455389,-8505.059033707512,E2_H168_2x,E2,168,2.0
2021,10091.01754567949,42275.639585166886,E2_H168_2x,E2,168,2.0
