canonical_id,resolved_symbol,timeframe,failure_stage,attempts,error_type,error_message
DOGE,DOGE/USDT,1h,DOWNLOAD_OR_VERIFY,3,DataIntegrityError,No complete candles returned for DOGE/USDT 1h.
DOGE,DOGE/USDT,4h,DOWNLOAD_OR_VERIFY,3,DataIntegrityError,No complete candles returned for DOGE/USDT 4h.
DOT,DOT/USDT,1h,DOWNLOAD_OR_VERIFY,3,DataIntegrityError,No complete candles returned for DOT/USDT 1h.
DOT,DOT/USDT,4h,DOWNLOAD_OR_VERIFY,3,DataIntegrityError,No complete candles returned for DOT/USDT 4h.
AAVE,AAVE/USDT,1h,DOWNLOAD_OR_VERIFY,3,DataIntegrityError,No complete candles returned for AAVE/USDT 1h.
AAVE,AAVE/USDT,4h,DOWNLOAD_OR_VERIFY,3,DataIntegrityError,No complete candles returned for AAVE/USDT 4h.
INJ,INJ/USDT,1h,DOWNLOAD_OR_VERIFY,3,DataIntegrityError,No complete candles returned for INJ/USDT 1h.
INJ,INJ/USDT,4h,DOWNLOAD_OR_VERIFY,3,DataIntegrityError,No complete candles returned for INJ/USDT 4h.
AR,AR/USDT,1h,DOWNLOAD_OR_VERIFY,3,DataIntegrityError,No complete candles returned for AR/USDT 1h.
AR,AR/USDT,4h,DOWNLOAD_OR_VERIFY,3,DataIntegrityError,No complete candles returned for AR/USDT 4h.
FET,FET/USDT,1h,DOWNLOAD_OR_VERIFY,3,DataIntegrityError,No complete candles returned for FET/USDT 1h.
FET,FET/USDT,4h,DOWNLOAD_OR_VERIFY,3,DataIntegrityError,No complete candles returned for FET/USDT 4h.
FET,FET/USDT,1d,DOWNLOAD_OR_VERIFY,3,DataIntegrityError,No complete candles returned for FET/USDT 1d.
RENDER,RENDER/USDT,1h,DOWNLOAD_OR_VERIFY,3,DataIntegrityError,No complete candles returned for RENDER/USDT 1h.
RENDER,RENDER/USDT,4h,DOWNLOAD_OR_VERIFY,3,DataIntegrityError,No complete candles returned for RENDER/USDT 4h.
RENDER,RENDER/USDT,1d,DOWNLOAD_OR_VERIFY,3,DataIntegrityError,No complete candles returned for RENDER/USDT 1d.
AKT,AKT/USDT,1h,DOWNLOAD_OR_VERIFY,3,DataIntegrityError,No complete candles returned for AKT/USDT 1h.
AKT,AKT/USDT,4h,DOWNLOAD_OR_VERIFY,3,DataIntegrityError,No complete candles returned for AKT/USDT 4h.
