canonical_id,resolved_symbol,category,core,available_timeframe_count,hourly_rows,four_hour_rows,daily_rows,weekly_rows,first_hourly_timestamp,last_hourly_timestamp,history_days,median_daily_quote_volume,sealed_cutoff_respected,eligible,eligibility_failures,liquidity_rank,liquidity_tier,tier_decision
BTC,BTC/USDT,MEGA_CAP,True,4,52608,13152,2192,312,2019-01-01T01:00:00+00:00,2025-01-01T00:00:00+00:00,2191.9583333333335,161530212.10043153,True,True,,1,A,ELIGIBLE_TIER_A
ETH,ETH/USDT,MEGA_CAP,True,4,52608,13152,2192,312,2019-01-01T01:00:00+00:00,2025-01-01T00:00:00+00:00,2191.9583333333335,130099431.71595417,True,True,,2,A,ELIGIBLE_TIER_A
SOL,SOL/USDT,LARGE_CAP_GROWTH,True,4,28848,7212,1202,171,2021-09-17T01:00:00+00:00,2025-01-01T00:00:00+00:00,1201.9583333333333,44298470.583735496,True,True,,3,A,ELIGIBLE_TIER_A
XRP,XRP/USDT,LARGE_CAP,False,4,43848,10962,1827,260,2020-01-01T01:00:00+00:00,2025-01-01T00:00:00+00:00,1826.9583333333333,14558846.33166529,True,True,,4,A,ELIGIBLE_TIER_A
NEAR,NEAR/USDT,LARGE_CAP_GROWTH,True,4,28848,7212,1202,171,2021-09-17T01:00:00+00:00,2025-01-01T00:00:00+00:00,1201.9583333333333,6181639.469058106,True,True,,5,A,ELIGIBLE_TIER_A
AVAX,AVAX/USDT,LARGE_CAP_GROWTH,True,4,33168,8292,1382,197,2021-03-21T01:00:00+00:00,2025-01-01T00:00:00+00:00,1381.9583333333333,5098319.499965258,True,True,,6,A,ELIGIBLE_TIER_A
ADA,ADA/USDT,LARGE_CAP,False,4,43848,10962,1827,260,2020-01-01T01:00:00+00:00,2025-01-01T00:00:00+00:00,1826.9583333333333,3893842.7683368116,True,True,,7,B,ELIGIBLE_TIER_B
LTC,LTC/USDT,LEGACY_LIQUID,False,4,43848,10962,1827,260,2020-01-01T01:00:00+00:00,2025-01-01T00:00:00+00:00,1826.9583333333333,3510275.6944558006,True,True,,8,B,ELIGIBLE_TIER_B
LINK,LINK/USDT,INFRASTRUCTURE,True,4,37488,9372,1562,222,2020-09-22T01:00:00+00:00,2025-01-01T00:00:00+00:00,1561.9583333333333,3404770.5891930996,True,True,,9,B,ELIGIBLE_TIER_B
ATOM,ATOM/USDT,LARGE_CAP,False,4,43848,10962,1827,260,2020-01-01T01:00:00+00:00,2025-01-01T00:00:00+00:00,1826.9583333333333,1301269.26363322,True,True,,10,B,ELIGIBLE_TIER_B
AAVE,AAVE/USDT,DEFI,False,2,0,0,1532,218,,,,1476792.9067896546,True,False,missing_1h; missing_4h,,,INELIGIBLE_DATA_COVERAGE
AKT,AKT/USDT,DECENTRALIZED_COMPUTE,False,2,0,0,970,138,,,,863487.62715382,True,False,missing_1h; missing_4h,,,INELIGIBLE_DATA_COVERAGE
AR,AR/USDT,DECENTRALIZED_STORAGE,False,2,0,0,1163,166,,,,1453635.141552,True,False,missing_1h; missing_4h,,,INELIGIBLE_DATA_COVERAGE
DOGE,DOGE/USDT,LARGE_CAP_HIGH_BETA,False,2,0,0,1422,203,,,,10674346.469052937,True,False,missing_1h; missing_4h,,,INELIGIBLE_DATA_COVERAGE
DOT,DOT/USDT,LARGE_CAP,False,2,0,0,1594,227,,,,2376730.70181564,True,False,missing_1h; missing_4h,,,INELIGIBLE_DATA_COVERAGE
FET,FET/USDT,AI_DATA,False,1,0,0,0,97,,,,,True,False,missing_1h; missing_4h; missing_1d,,,INELIGIBLE_DATA_COVERAGE
INJ,INJ/USDT,GROWTH_INFRASTRUCTURE,False,2,0,0,1169,167,,,,3960631.6746282005,True,False,missing_1h; missing_4h,,,INELIGIBLE_DATA_COVERAGE
RENDER,RENDER/USDT,AI_COMPUTE,False,1,0,0,0,19,,,,,True,False,missing_1h; missing_4h; missing_1d; insufficient_1w_rows,,,INELIGIBLE_DATA_COVERAGE
