variant_id,signal_count,entry_signal_count,accepted_signals,rejected_signals,closed_trades,initial_equity,final_equity,net_return,cagr,gross_profit,gross_loss,fees,slippage,win_rate,average_win,average_loss,expectancy,profit_factor,maximum_drawdown,sharpe,sortino,exposure,turnover,average_holding_period,time_in_cash,best_trade,worst_trade,longest_losing_streak,delta_net_return,delta_final_equity,delta_expectancy,delta_profit_factor,delta_maximum_drawdown,delta_sharpe,delta_sortino,delta_exposure,delta_trade_count,delta_fees,delta_slippage,delta_btc_contribution_concentration
RD12_BASELINE,43,29,48,5,24,100000.0,107347.24297635004,0.07347242976350032,0.03621128184405609,20394.910174519617,-12388.486950407183,659.1802477623776,329.59220788504683,0.375,2235.671618672316,-851.5867727800526,306.1351240145857,1.575180608811366,0.0561397198639449,0.5595827599145806,0.44449832628742797,0.3278463648834019,6.5918024776237765,13.5,0.6721536351165981,6864.928357309633,-1120.2289197981042,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
RD12_E01_NO_LONG_TERM_TREND,43,29,48,5,24,100000.0,107347.24297635004,0.07347242976350032,0.03621128184405609,20394.910174519617,-12388.486950407183,659.1802477623776,329.59220788504683,0.375,2235.671618672316,-851.5867727800526,306.1351240145857,1.575180608811366,0.0561397198639449,0.5595827599145806,0.44449832628742797,0.3278463648834019,6.5918024776237765,13.5,0.6721536351165981,6864.928357309633,-1120.2289197981042,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
RD12_E02_NO_MEDIUM_TERM_ALIGNMENT,59,42,60,12,30,100000.0,130205.0416406345,0.3020504164063451,0.14159148325497206,47583.17641201915,-16498.83475592278,879.3000154618536,439.657888730813,0.4,3932.2604369704695,-943.4490890561735,1006.8347213544838,2.7786416759412726,0.06292981599766839,1.43730074194362,1.5135749976005775,0.40877914951989025,8.793000154618536,13.966666666666667,0.5912208504801097,20078.07100677004,-1363.6322571995113,4,0.2285779866428448,22857.798664284463,700.6995973398981,1.2034610671299066,0.006790096133723493,0.8777179820290393,1.0690766713131494,0.08093278463648834,6,220.11976769947603,110.06568084576617,-0.42916837122983786
RD12_E03_NO_RSI_ENTRY_FILTER,81,64,58,35,29,100000.0,111548.0918258421,0.1154809182584211,0.056361505442323434,27914.03573026163,-15568.52444740562,797.4194570138724,398.71291456298553,0.3448275862068966,2760.2390682013815,-844.9630976932463,398.2100629600737,1.719314616558465,0.05062976560574625,0.794710665839601,0.718354084297963,0.43209876543209874,7.974194570138724,14.586206896551724,0.5679012345679013,9580.475167322393,-1143.8575856092152,4,0.04200848849492078,4200.84884949206,92.07493894548799,0.14413400774709895,-0.005509954258198647,0.23512790592502042,0.273855758010535,0.10425240054869683,5,138.2392092514948,69.1207066779387,0.2110804962166215
RD12_E04_NO_VOLUME_CONFIRMATION,51,34,56,6,28,100000.0,105336.10215512833,0.053361021551283416,0.026425393278992404,20134.973946343594,-14027.964749900586,770.9070413146039,385.455143773387,0.35714285714285715,1983.731657800648,-805.6230234932267,190.5750769688715,1.367976225957311,0.07224287988508388,0.40031312717279616,0.33854669092253414,0.37448559670781895,7.70907041314604,13.607142857142858,0.6255144032921811,6674.225387794074,-1100.4459156160256,5,-0.020111408212216908,-2011.1408212217066,-115.56004704571419,-0.20720438285405507,0.016103160021138978,-0.15926963274178446,-0.10595163536489383,0.04663923182441704,4,111.72679355222635,55.86293588834019,0.19529620937445347
RD12_E05_NO_VOLATILITY_SANITY,46,31,52,5,26,100000.0,106773.20450188831,0.06773204501888297,0.03342748822855213,20809.40436136694,-13356.177646919365,680.0222125592531,340.01305458956887,0.38461538461538464,2052.416124684165,-859.4347965595829,260.50786545724316,1.4925624178386079,0.0657407076511134,0.49630118691585706,0.3839781830896073,0.35802469135802467,6.800222125592532,13.615384615384615,0.6419753086419753,6828.218210944837,-1114.2385051182368,5,-0.005740384744617355,-574.0384744617331,-45.62725855734254,-0.08261819097275813,0.009600987787168495,-0.06328157299872356,-0.060520143197820675,0.030178326474622763,2,20.841964796875573,10.420846704522035,0.09174395224477716
RD12_X01_NO_TRAILING_STOP,42,29,48,5,24,100000.0,107250.98273946947,0.07250982739469469,0.03574498738889087,20894.713381597892,-12986.697288611036,657.0333535173452,328.5187358923798,0.375,2291.244075673139,-891.3475961059157,302.12428081122965,1.5423236136046379,0.06205895975741415,0.5424432323473041,0.4431846137827274,0.3319615912208505,6.570333535173451,13.625,0.6680384087791496,6858.772450445881,-1119.2243900291935,4,-0.0009626023688056318,-96.26023688056739,-4.010843203356046,-0.032856995206728135,0.00591923989346925,-0.017139527567276547,-0.0013137125047005815,0.0041152263374485964,0,-2.1468942450323993,-1.0734719926670095,0.08932408975180905
RD12_X02_NO_EMA50_EXIT,42,29,48,5,24,100000.0,106664.86712679108,0.06664867126791085,0.03290127142288446,20294.007207050105,-12973.601951349656,655.538128909356,327.7709764987361,0.375,2224.6181535918267,-890.4464170356897,277.7027969496289,1.4989906934530317,0.062010411201646666,0.5093896523233725,0.4100198535418955,0.33607681755829905,6.555381289093561,13.75,0.6639231824417009,6821.289962972736,-1113.1079436122866,4,-0.0068237584955894715,-682.3758495589573,-28.43232706495678,-0.0761899153583343,0.005870691337701767,-0.0501931075912081,-0.03447847274553245,0.008230452674897137,0,-3.642118853021543,-1.8212313863107283,0.10717027415950997
RD12_X03_NO_RSI_EXIT,42,29,48,5,24,100000.0,105399.36938977569,0.05399369389775699,0.026734652650080237,19490.484433041627,-13437.844829921878,653.2702133440174,326.63670149108486,0.3333333333333333,2405.482686197712,-865.2807562378728,224.97372457398885,1.3900012619351638,0.06327242329194248,0.40038619379138507,0.3169180606238927,0.35665294924554186,6.532702133440174,15.208333333333334,0.6433470507544581,6740.360531903305,-1099.9017622178,4,-0.019478735865743335,-1947.873586574351,-81.16139944059685,-0.1851793468762022,0.007132703427997579,-0.15919656612319555,-0.12758026566353525,0.028806584362139953,0,-5.910034418360169,-2.9555063939619686,0.2827342352875346
RD12_X04_NO_TIME_STOP,42,29,42,8,21,100000.0,106113.23684702106,0.06113236847021053,0.030217750293717316,16477.840948971385,-9791.482008429144,573.122093521136,286.56278999100067,0.42857142857142855,1801.1893831399748,-841.4556334365558,291.1065165248145,1.6054227741489544,0.0695292538187392,0.44209889363333604,0.3551636833586342,0.35802469135802467,5.7312209352113594,17.0,0.6419753086419753,6553.058013161642,-1108.6767640065468,4,-0.012340061293289795,-1234.0061293289764,-15.028607489771218,0.03024216533758839,0.013389533954794301,-0.11748386628124458,-0.08933464292879378,0.030178326474622763,-3,-86.0581542412416,-43.02941789404616,0.14355706915744637
RD12_G01_BREAKOUT_CORE_ONLY,190,160,88,116,44,100000.0,137951.75339888697,0.37951753398886967,0.17517766459717765,61878.58775740486,-22598.674724943463,1328.1596335744628,664.0898027879401,0.38636363636363635,3604.8189444687887,-864.0803206326844,862.539849974703,2.6267243480627687,0.09252753140991696,1.5527118584871828,1.8482939404297676,0.4869684499314129,13.281596335744627,13.295454545454545,0.5130315500685871,21130.132772610883,-1247.2452019340299,7,0.30604510422536935,30604.51042253693,556.4047259601173,1.0515437392514027,0.03638781154597206,0.9931290985726022,1.4037956141423396,0.159122085048011,20,668.9793858120852,334.4975949028933,-0.614130159706875
RD12_G02_INITIAL_STOP_AND_TIME_EXIT_ONLY,38,29,48,5,24,100000.0,106994.06770444184,0.06994067704441842,0.03449944260038951,23047.370495888077,-15400.19196338868,653.1108280575514,326.5574074627607,0.3333333333333333,2849.7317122519107,-987.73662459834,291.4194876850769,1.4425564676265523,0.07493671992275382,0.48736562506863157,0.4181081098061788,0.40329218106995884,6.5311082805755145,16.75,0.5967078189300412,6842.342561233274,-1116.5433369887135,4,-0.0035317527190819042,-353.17527190819965,-14.715636329508811,-0.1326241411848137,0.018797000058808917,-0.07221713484594905,-0.026390216481249174,0.07544581618655694,0,-6.069419704826146,-3.034800422286139,0.43974268746194034
