variant_id,period,strategy_return,benchmark_return,trade_count
RD12_BASELINE,2023-12-31 00:00:00+00:00,0.013664715281054729,1.4340711815507352,11
RD12_BASELINE,2024-12-31 00:00:00+00:00,0.059001476110237316,0.36161283458316396,13
RD12_E01_NO_LONG_TERM_TREND,2023-12-31 00:00:00+00:00,0.013664715281054729,1.4340711815507352,11
RD12_E01_NO_LONG_TERM_TREND,2024-12-31 00:00:00+00:00,0.059001476110237316,0.36161283458316396,13
RD12_E02_NO_MEDIUM_TERM_ALIGNMENT,2023-12-31 00:00:00+00:00,0.05462848814581123,1.4340711815507352,15
RD12_E02_NO_MEDIUM_TERM_ALIGNMENT,2024-12-31 00:00:00+00:00,0.23460576974886882,0.36161283458316396,15
RD12_E03_NO_RSI_ENTRY_FILTER,2023-12-31 00:00:00+00:00,0.012808635025382875,1.4340711815507352,14
RD12_E03_NO_RSI_ENTRY_FILTER,2024-12-31 00:00:00+00:00,0.10137382293394936,0.36161283458316396,15
RD12_E04_NO_VOLUME_CONFIRMATION,2023-12-31 00:00:00+00:00,0.0006519239388398379,1.4340711815507352,13
RD12_E04_NO_VOLUME_CONFIRMATION,2024-12-31 00:00:00+00:00,0.0526747576769413,0.36161283458316396,15
RD12_E05_NO_VOLATILITY_SANITY,2023-12-31 00:00:00+00:00,0.01306644511293742,1.4340711815507352,11
RD12_E05_NO_VOLATILITY_SANITY,2024-12-31 00:00:00+00:00,0.05500238092799847,0.36161283458316396,15
RD12_X01_NO_TRAILING_STOP,2023-12-31 00:00:00+00:00,0.007307710173870108,1.4340711815507352,11
RD12_X01_NO_TRAILING_STOP,2024-12-31 00:00:00+00:00,0.06472909574927233,0.36161283458316396,13
RD12_X02_NO_EMA50_EXIT,2023-12-31 00:00:00+00:00,0.007359849202277946,1.4340711815507352,11
RD12_X02_NO_EMA50_EXIT,2024-12-31 00:00:00+00:00,0.05885565333240472,0.36161283458316396,13
RD12_X03_NO_RSI_EXIT,2023-12-31 00:00:00+00:00,0.019339608226787597,1.4340711815507352,9
RD12_X03_NO_RSI_EXIT,2024-12-31 00:00:00+00:00,0.03401142820005676,0.36161283458316396,15
RD12_X04_NO_TIME_STOP,2023-12-31 00:00:00+00:00,0.005071903917557297,1.4340711815507352,9
RD12_X04_NO_TIME_STOP,2024-12-31 00:00:00+00:00,0.05577756609665574,0.36161283458316396,12
RD12_G01_BREAKOUT_CORE_ONLY,2023-12-31 00:00:00+00:00,0.11435738399706064,1.4340711815507352,23
RD12_G01_BREAKOUT_CORE_ONLY,2024-12-31 00:00:00+00:00,0.23794893254147298,0.36161283458316396,21
RD12_G02_INITIAL_STOP_AND_TIME_EXIT_ONLY,2023-12-31 00:00:00+00:00,0.0066466120414112595,1.4340711815507352,9
RD12_G02_INITIAL_STOP_AND_TIME_EXIT_ONLY,2024-12-31 00:00:00+00:00,0.06289138918262949,0.36161283458316396,15
