feature_id,landmark_age_hours,period_id,universe_id,decision_row_count,unique_control_position_count,unique_pair_count,unique_signal_day_count,support_pass,mean_rcv_return,median_rcv_return,spearman_rho,feature_median,lower_feature_half_count,upper_feature_half_count,lower_feature_half_mean_rcv,upper_feature_half_mean_rcv,feature_median_split_mean_rcv_spread,lopo_complete,lopo_evaluated_pair_count,lopo_minimum_mean_rcv_spread,lopo_maximum_mean_rcv_spread,cell_outcome
ENTRY_MARGIN,24,ROBUSTNESS_2022,C2,45,45,8,22,True,-0.022309768673962567,-0.034815915145414156,-0.25494071146245056,0.009479713603818718,23,22,-0.005687178614822732,-0.03968793100851785,-0.03400075239369511,True,8,-0.0428217595494447,-0.023329199541054967,REVERSED_DIRECTION
ENTRY_MARGIN,24,ROBUSTNESS_2022,D2,45,45,8,22,True,-0.022309768673962567,-0.034815915145414156,-0.25494071146245056,0.009479713603818718,23,22,-0.005687178614822732,-0.03968793100851785,-0.03400075239369511,True,8,-0.0428217595494447,-0.023329199541054967,REVERSED_DIRECTION
ENTRY_MARGIN,24,ROBUSTNESS_2022,E2,45,45,8,22,True,-0.022309768673962567,-0.034815915145414156,-0.25494071146245056,0.009479713603818718,23,22,-0.005687178614822732,-0.03968793100851785,-0.03400075239369511,True,8,-0.0428217595494447,-0.023329199541054967,REVERSED_DIRECTION
ENTRY_MARGIN,24,ROBUSTNESS_2023,C2,124,124,12,69,True,0.01956566265539058,-0.004777897244190532,-0.06349645948072383,-0.004581090824574474,62,62,0.02230299233740062,0.016828332973380534,-0.005474659364020085,True,12,-0.015516778720200292,0.00742711177985223,NO_DIRECTIONAL_EDGE
ENTRY_MARGIN,24,ROBUSTNESS_2023,D2,127,127,12,69,True,0.02768383150457715,-0.00260208426084807,-0.03135545556805399,-0.0044168000486253245,64,63,0.02667061866765929,0.028713127084938138,0.002042508417278849,True,12,-0.007367851970795886,0.014152028552110481,NO_DIRECTIONAL_EDGE
ENTRY_MARGIN,24,ROBUSTNESS_2023,E2,126,126,14,71,True,0.02445510088280366,-0.004423138604340904,-0.012955380577427822,-0.005306729467109861,63,63,0.02631177269835547,0.022598429067251864,-0.0037133436311036078,True,14,-0.01563666882543785,0.01708159408338263,NO_DIRECTIONAL_EDGE
ENTRY_MARGIN,48,ROBUSTNESS_2022,C2,45,45,8,22,True,-0.022147971518948553,-0.023556876061120557,-0.3566534914361001,0.0011117525504009684,23,22,0.002405442433804651,-0.047817449742281457,-0.05022289217608611,True,8,-0.06651121274457748,-0.033417509622081606,REVERSED_DIRECTION
ENTRY_MARGIN,48,ROBUSTNESS_2022,D2,45,45,8,22,True,-0.022147971518948553,-0.023556876061120557,-0.3566534914361001,0.0011117525504009684,23,22,0.002405442433804651,-0.047817449742281457,-0.05022289217608611,True,8,-0.06651121274457748,-0.033417509622081606,REVERSED_DIRECTION
ENTRY_MARGIN,48,ROBUSTNESS_2022,E2,45,45,8,22,True,-0.022147971518948553,-0.023556876061120557,-0.3566534914361001,0.0011117525504009684,23,22,0.002405442433804651,-0.047817449742281457,-0.05022289217608611,True,8,-0.06651121274457748,-0.033417509622081606,REVERSED_DIRECTION
ENTRY_MARGIN,48,ROBUSTNESS_2023,C2,124,124,12,69,True,0.018335831670861245,-0.0015772712270613054,0.009051140833988985,-0.007185874765770872,62,62,0.016439027762717967,0.020232635579004527,0.00379360781628656,True,12,-0.0027260843121007846,0.007840804124127555,NO_DIRECTIONAL_EDGE
