affected_decisions,cagr,candidate_rows,candidate_sha256,capacity_reduction_decisions,capital_feasible,cash_manifest_sha256,checks,cost_multiplier,evaluated_rows,expectancy_per_trade,final_equity,insufficient_cash_rejections,maximum_drawdown,maximum_open_notional_fraction_observed,maximum_open_risk_fraction_observed,maximum_positions_observed,membership_sha256,minimum_cash,monthly_geometric_return,named_omission,net_return,network_requests,omitted_value,positive_net_return,post_2024_accessed,production_authorized,profit_factor,profit_factor_at_least_one,replacement_decisions,router_decision_counts,run_type,schema_version,sensitivity_conclusion_passed,trade_count,trade_identity_sha256,universe_id,win_rate
301,0.09110775698038442,2087,edb89919349f4d355fd109d458ae55f2804447e845770770a443464cfa3cacb0,18,True,8836b397e594eaaa696523cf9c2dfc5b475ab3cbd81a2a7cf36e8b4a5c0bcca9,"{""cash_route_feasible"":true,""final_cash_equity_reconciled"":true,""maximum_open_risk_respected"":true,""maximum_positions_respected"":true,""metric_capital_feasible"":true,""metric_minimum_cash_nonnegative"":true,""route_minimum_cash_nonnegative"":true}",1.0,2087,54.350891614591696,165166.71904589614,98,0.2990355530307034,1.4985014985014986,0.0225,3,494ec9224859e1c91b8b83629d53bd97159df563879748b7d6245c6a7fc8a5c7,62.6962854433732,0.007292584903920707,False,0.6516671904589615,0,BTC-USDT,True,False,False,1.125336966176724,True,283,"{""ADMITTED"":1199,""REJECTED_ENGINE_CONFLICT"":133,""REJECTED_ENGINE_COOLDOWN"":65,""REJECTED_INSUFFICIENT_CASH"":98,""REJECTED_MAX_OPEN_RISK"":113,""REJECTED_SAME_SYMBOL_ACTIVE"":479}",LOAO,rd18-p3e-sensitivity-run-v1,True,1199,6950a073911d97733246ab5d52868e48e8ed518a762d986732020547da638c4e,C2,0.4011676396997498
301,-0.014294659861769365,2087,edb89919349f4d355fd109d458ae55f2804447e845770770a443464cfa3cacb0,18,True,8836b397e594eaaa696523cf9c2dfc5b475ab3cbd81a2a7cf36e8b4a5c0bcca9,"{""cash_route_feasible"":true,""final_cash_equity_reconciled"":true,""maximum_open_risk_respected"":true,""maximum_positions_respected"":true,""metric_capital_feasible"":true,""metric_minimum_cash_nonnegative"":true,""route_minimum_cash_nonnegative"":true}",2.0,2087,-7.653266867439136,92048.25572473054,391,0.5138346883774182,1.2656395676487588,0.0225,3,494ec9224859e1c91b8b83629d53bd97159df563879748b7d6245c6a7fc8a5c7,717.7343322566448,-0.0011990982327746424,False,-0.07951744275269468,0,BTC-USDT,False,False,False,0.9842276332764066,False,283,"{""ADMITTED"":1039,""REJECTED_ENGINE_CONFLICT"":133,""REJECTED_ENGINE_COOLDOWN"":59,""REJECTED_INSUFFICIENT_CASH"":391,""REJECTED_MAX_OPEN_RISK"":45,""REJECTED_SAME_SYMBOL_ACTIVE"":420}",LOAO,rd18-p3e-sensitivity-run-v1,False,1039,787b0cc48bb78887289b48f72cb85dcfdb00d3f8aa77f79ae350620e5e366110,C2,0.33589990375360923
52,0.12691418802840992,2216,a6943c76de9d8547377acf3d7f548e41cb91d7593edf3ebed4202323212ea951,0,True,8836b397e594eaaa696523cf9c2dfc5b475ab3cbd81a2a7cf36e8b4a5c0bcca9,"{""cash_route_feasible"":true,""final_cash_equity_reconciled"":true,""maximum_open_risk_respected"":true,""maximum_positions_respected"":true,""metric_capital_feasible"":true,""metric_minimum_cash_nonnegative"":true,""route_minimum_cash_nonnegative"":true}",1.0,2216,81.32815683067594,198895.03870610302,96,0.24771254390508568,1.4985014985014986,0.0225,4,18d05899f302212cf2666a71ecbf10ad5535959e33b459d963bbfa60ed286ffb,1061.285452441909,0.010006659286604602,False,0.9889503870610301,0,DOGE-USDT,True,False,False,1.2001683389792641,True,52,"{""ADMITTED"":1216,""REJECTED_ENGINE_CONFLICT"":148,""REJECTED_ENGINE_COOLDOWN"":53,""REJECTED_INSUFFICIENT_CASH"":96,""REJECTED_MAX_OPEN_RISK"":172,""REJECTED_SAME_SYMBOL_ACTIVE"":531}",LOAO,rd18-p3e-sensitivity-run-v1,True,1216,3efa83e34a1ac32d2db6655cca2488037a6bcaf23a49e8b6d9e5a9335060eaef,C2,0.3980263157894737
52,-0.002413314377957332,2216,a6943c76de9d8547377acf3d7f548e41cb91d7593edf3ebed4202323212ea951,0,True,8836b397e594eaaa696523cf9c2dfc5b475ab3cbd81a2a7cf36e8b4a5c0bcca9,"{""cash_route_feasible"":true,""final_cash_equity_reconciled"":true,""maximum_open_risk_respected"":true,""maximum_positions_respected"":true,""metric_capital_feasible"":true,""metric_minimum_cash_nonnegative"":true,""route_minimum_cash_nonnegative"":true}",2.0,2216,-1.3393612889115059,98619.11851113201,461,0.4893343888835445,1.4985014985014986,0.0225,3,18d05899f302212cf2666a71ecbf10ad5535959e33b459d963bbfa60ed286ffb,4.163164285935636,-0.00020133232282004698,False,-0.01380881488867991,0,DOGE-USDT,False,False,False,0.9971092243811828,False,52,"{""ADMITTED"":1031,""REJECTED_ENGINE_CONFLICT"":148,""REJECTED_ENGINE_COOLDOWN"":44,""REJECTED_INSUFFICIENT_CASH"":461,""REJECTED_MAX_OPEN_RISK"":79,""REJECTED_SAME_SYMBOL_ACTIVE"":453}",LOAO,rd18-p3e-sensitivity-run-v1,False,1031,9b9564661506f474023bd79ed79d401eb8ba3c489f8cbf15821133bc6d0dec76,C2,0.3326867119301649
20,0.13155565669446845,2182,748a3ef427e0f84e8c13c672f197b51b4ec0a3db2d0ae7e7de3a926ad2c7eedd,0,True,8836b397e594eaaa696523cf9c2dfc5b475ab3cbd81a2a7cf36e8b4a5c0bcca9,"{""cash_route_feasible"":true,""final_cash_equity_reconciled"":true,""maximum_open_risk_respected"":true,""maximum_positions_respected"":true,""metric_capital_feasible"":true,""metric_minimum_cash_nonnegative"":true,""route_minimum_cash_nonnegative"":true}",1.0,2182,86.5240372614053,203655.79663916465,96,0.20095673894455035,1.4985014985014986,0.0225,4,85986a6016550b7ca5e5c622e4914bfc62da5af245868be0f8d114a5be98665a,1061.285452441909,0.010352669648880708,False,1.0365579663916464,0,DOT-USDT,True,False,False,1.2131238402028157,True,20,"{""ADMITTED"":1198,""REJECTED_ENGINE_CONFLICT"":148,""REJECTED_ENGINE_COOLDOWN"":53,""REJECTED_INSUFFICIENT_CASH"":96,""REJECTED_MAX_OPEN_RISK"":165,""REJECTED_SAME_SYMBOL_ACTIVE"":522}",LOAO,rd18-p3e-sensitivity-run-v1,True,1198,8b715fb902761c02291d3686ae1587e195660b1f4131f47b8e5bd972ed9da6e1,C2,0.3973288814691152
20,-0.011783227338674318,2182,748a3ef427e0f84e8c13c672f197b51b4ec0a3db2d0ae7e7de3a926ad2c7eedd,0,True,8836b397e594eaaa696523cf9c2dfc5b475ab3cbd81a2a7cf36e8b4a5c0bcca9,"{""cash_route_feasible"":true,""final_cash_equity_reconciled"":true,""maximum_open_risk_respected"":true,""maximum_positions_respected"":true,""metric_capital_feasible"":true,""metric_minimum_cash_nonnegative"":true,""route_minimum_cash_nonnegative"":true}",2.0,2182,-6.426787997256336,93406.11551481478,446,0.5362764617549391,1.4985014985014986,0.0225,3,85986a6016550b7ca5e5c622e4914bfc62da5af245868be0f8d114a5be98665a,17.002869223018934,-0.0009872789668167181,False,-0.0659388448518522,0,DOT-USDT,False,False,False,0.9860056263068993,False,20,"{""ADMITTED"":1026,""REJECTED_ENGINE_CONFLICT"":148,""REJECTED_ENGINE_COOLDOWN"":42,""REJECTED_INSUFFICIENT_CASH"":446,""REJECTED_MAX_OPEN_RISK"":78,""REJECTED_SAME_SYMBOL_ACTIVE"":442}",LOAO,rd18-p3e-sensitivity-run-v1,False,1026,0c2a37bb0e40dcd42ec723a42cd04b556cd0e3e20c0ad2b5da2abad1ea28602c,C2,0.3333333333333333
301,0.0775556488422755,2109,9811b3e3bda5122343b0f1ff45b32178f19bc38d122ed78aa30c53791840ca58,18,True,8836b397e594eaaa696523cf9c2dfc5b475ab3cbd81a2a7cf36e8b4a5c0bcca9,"{""cash_route_feasible"":true,""final_cash_equity_reconciled"":true,""maximum_open_risk_respected"":true,""maximum_positions_respected"":true,""metric_capital_feasible"":true,""metric_minimum_cash_nonnegative"":true,""route_minimum_cash_nonnegative"":true}",1.0,2109,45.58926259377485,153704.15133546692,167,0.37540474166113946,1.4738113285750774,0.0225,3,4731b8d1fcd5f260815426d1aeeb0257bb433e9be9f6470af1225fbe27232e2b,192.65848770527373,0.0062440120682365485,False,0.5370415133546691,0,ETH-USDT,True,False,False,1.1061196813876988,True,283,"{""ADMITTED"":1178,""REJECTED_ENGINE_CONFLICT"":150,""REJECTED_ENGINE_COOLDOWN"":50,""REJECTED_INSUFFICIENT_CASH"":167,""REJECTED_MAX_OPEN_RISK"":100,""REJECTED_SAME_SYMBOL_ACTIVE"":464}",LOAO,rd18-p3e-sensitivity-run-v1,True,1178,f70a471c2f3acb7f411df677674e96491665097b722bd52a610810d95dc6f117,C2,0.3794567062818336
301,-0.03388289195071059,2109,9811b3e3bda5122343b0f1ff45b32178f19bc38d122ed78aa30c53791840ca58,18,True,8836b397e594eaaa696523cf9c2dfc5b475ab3cbd81a2a7cf36e8b4a5c0bcca9,"{""cash_route_feasible"":true,""final_cash_equity_reconciled"":true,""maximum_open_risk_respected"":true,""maximum_positions_respected"":true,""metric_capital_feasible"":true,""metric_minimum_cash_nonnegative"":true,""route_minimum_cash_nonnegative"":true}",2.0,2109,-18.398196822675473,82006.56350742326,541,0.6088479392452325,1.1170121375109638,0.0225,3,4731b8d1fcd5f260815426d1aeeb0257bb433e9be9f6470af1225fbe27232e2b,72.19182439197903,-0.002868396787259586,False,-0.17993436492576742,0,ETH-USDT,False,False,False,0.9621605684397158,False,283,"{""ADMITTED"":978,""REJECTED_ENGINE_CONFLICT"":150,""REJECTED_ENGINE_COOLDOWN"":50,""REJECTED_INSUFFICIENT_CASH"":541,""REJECTED_MAX_OPEN_RISK"":31,""REJECTED_SAME_SYMBOL_ACTIVE"":359}",LOAO,rd18-p3e-sensitivity-run-v1,False,978,d77b17e9a6e23f95f39271fdae193a84ac711f9c08ca974972c50fc602519630,C2,0.30777096114519426
5,0.13248764006342517,2186,2c884b975e337f215b8944a8f44096624d394862ea42ed0df38ef1d14dc6a942,0,True,8836b397e594eaaa696523cf9c2dfc5b475ab3cbd81a2a7cf36e8b4a5c0bcca9,"{""cash_route_feasible"":true,""final_cash_equity_reconciled"":true,""maximum_open_risk_respected"":true,""maximum_positions_respected"":true,""metric_capital_feasible"":true,""metric_minimum_cash_nonnegative"":true,""route_minimum_cash_nonnegative"":true}",1.0,2186,86.96840405259705,204622.9900752754,96,0.19608937060340748,1.4985014985014986,0.0225,4,bbf07fe287cd446fe25bba13c262cfbb1d32b5cc6ec8ab087478a42aa4f6523a,1061.285452441909,0.010421989895665229,False,1.046229900752754,0,ICP-USDT,True,False,False,1.2152372652773926,True,5,"{""ADMITTED"":1203,""REJECTED_ENGINE_CONFLICT"":149,""REJECTED_ENGINE_COOLDOWN"":50,""REJECTED_INSUFFICIENT_CASH"":96,""REJECTED_MAX_OPEN_RISK"":157,""REJECTED_SAME_SYMBOL_ACTIVE"":531}",LOAO,rd18-p3e-sensitivity-run-v1,True,1203,57d2fa7398053b11f73781ff53a3ea4289cd14d1b3f202c2b93bac52e435138a,C2,0.399833748960931
5,-0.01673001487661019,2186,2c884b975e337f215b8944a8f44096624d394862ea42ed0df38ef1d14dc6a942,0,True,8836b397e594eaaa696523cf9c2dfc5b475ab3cbd81a2a7cf36e8b4a5c0bcca9,"{""cash_route_feasible"":true,""final_cash_equity_reconciled"":true,""maximum_open_risk_respected"":true,""maximum_positions_respected"":true,""metric_capital_feasible"":true,""metric_minimum_cash_nonnegative"":true,""route_minimum_cash_nonnegative"":true}",2.0,2186,-9.215990380525344,90747.1456579524,484,0.5587773528136257,1.4985014985014986,0.0225,3,bbf07fe287cd446fe25bba13c262cfbb1d32b5cc6ec8ab087478a42aa4f6523a,176.64073792193085,-0.001404973956996125,False,-0.092528543420476,0,ICP-USDT,False,False,False,0.9800185993918495,False,5,"{""ADMITTED"":1004,""REJECTED_ENGINE_CONFLICT"":149,""REJECTED_ENGINE_COOLDOWN"":42,""REJECTED_INSUFFICIENT_CASH"":484,""REJECTED_MAX_OPEN_RISK"":66,""REJECTED_SAME_SYMBOL_ACTIVE"":441}",LOAO,rd18-p3e-sensitivity-run-v1,False,1004,7ff5f5d57007a2c3687d9427e4a21394c280de8eef6d200b2890f1c5ef0a1ede,C2,0.33067729083665337
8,0.1290657841314493,2174,e666a81c4836c293d558134678937bc743434ee09911af6fa0902597d6f278bf,0,True,8836b397e594eaaa696523cf9c2dfc5b475ab3cbd81a2a7cf36e8b4a5c0bcca9,"{""cash_route_feasible"":true,""final_cash_equity_reconciled"":true,""maximum_open_risk_respected"":true,""maximum_positions_respected"":true,""metric_capital_feasible"":true,""metric_minimum_cash_nonnegative"":true,""route_minimum_cash_nonnegative"":true}",1.0,2174,84.03189204545383,201090.36613068203,96,0.19948996409126551,1.4985014985014986,0.0225,4,29c71111d7ef446b1e86ce0a3ac9dc491f79d9d15e2ea0cfb72e652d35a0300d,1061.285452441909,0.01016721772845064,False,1.0109036613068203,0,INJ-USDT,True,False,False,1.2077033452032704,True,8,"{""ADMITTED"":1203,""REJECTED_ENGINE_CONFLICT"":148,""REJECTED_ENGINE_COOLDOWN"":53,""REJECTED_INSUFFICIENT_CASH"":96,""REJECTED_MAX_OPEN_RISK"":151,""REJECTED_SAME_SYMBOL_ACTIVE"":523}",LOAO,rd18-p3e-sensitivity-run-v1,True,1203,6a46b79be1dadad03bd70d9e78ba67d30805ee5f9eeca6328755b4f248c3545d,C2,0.39900249376558605
8,-0.01162236515743409,2174,e666a81c4836c293d558134678937bc743434ee09911af6fa0902597d6f278bf,0,True,8836b397e594eaaa696523cf9c2dfc5b475ab3cbd81a2a7cf36e8b4a5c0bcca9,"{""cash_route_feasible"":true,""final_cash_equity_reconciled"":true,""maximum_open_risk_respected"":true,""maximum_positions_respected"":true,""metric_capital_feasible"":true,""metric_minimum_cash_nonnegative"":true,""route_minimum_cash_nonnegative"":true}",2.0,2174,-6.46112218240596,93493.64996231707,468,0.5357137488256939,1.4985014985014986,0.0225,3,29c71111d7ef446b1e86ce0a3ac9dc491f79d9d15e2ea0cfb72e652d35a0300d,149.06595112656578,-0.0009737283487245563,False,-0.06506350037682929,0,INJ-USDT,False,False,False,0.9859417422924088,False,8,"{""ADMITTED"":1007,""REJECTED_ENGINE_CONFLICT"":148,""REJECTED_ENGINE_COOLDOWN"":42,""REJECTED_INSUFFICIENT_CASH"":468,""REJECTED_MAX_OPEN_RISK"":65,""REJECTED_SAME_SYMBOL_ACTIVE"":444}",LOAO,rd18-p3e-sensitivity-run-v1,False,1007,8efc28b46424e1df49131bd30ab8c9e59bfe7e84eaa5e191931b6a4cfd6165bc,C2,0.3336643495531281
