affected_decisions,cagr,candidate_rows,candidate_sha256,capacity_reduction_decisions,capital_feasible,cash_manifest_sha256,checks,cost_multiplier,evaluated_rows,expectancy_per_trade,final_equity,insufficient_cash_rejections,maximum_drawdown,maximum_open_notional_fraction_observed,maximum_open_risk_fraction_observed,maximum_positions_observed,membership_sha256,minimum_cash,monthly_geometric_return,named_omission,net_return,network_requests,omitted_value,positive_net_return,post_2024_accessed,production_authorized,profit_factor,profit_factor_at_least_one,replacement_decisions,router_decision_counts,run_type,schema_version,sensitivity_conclusion_passed,trade_count,trade_identity_sha256,universe_id,win_rate
84,0.1252317504253706,2182,027987b249d38fbd6e1762ad6f6685bd8f19f84abff14d0a81272b0e71dfd47c,0,True,8836b397e594eaaa696523cf9c2dfc5b475ab3cbd81a2a7cf36e8b4a5c0bcca9,"{""cash_route_feasible"":true,""final_cash_equity_reconciled"":true,""maximum_open_risk_respected"":true,""maximum_positions_respected"":true,""metric_capital_feasible"":true,""metric_minimum_cash_nonnegative"":true,""route_minimum_cash_nonnegative"":true}",1.0,2182,79.79658038722036,197192.23491163566,85,0.2543918105511854,1.4985014985014986,0.0225,4,cc320614dd38d2a482ff6804341ae95685bf0c3183da9e6d8948da32c60def6c,498.41737009681674,0.009880914939900398,False,0.9719223491163567,0,ADA-USDT,True,False,False,1.195239260649678,True,84,"{""ADMITTED"":1218,""REJECTED_ENGINE_CONFLICT"":147,""REJECTED_ENGINE_COOLDOWN"":54,""REJECTED_INSUFFICIENT_CASH"":85,""REJECTED_MAX_OPEN_RISK"":157,""REJECTED_SAME_SYMBOL_ACTIVE"":521}",LOAO,rd18-p3e-sensitivity-run-v1,True,1218,9857bda7fb9eaf67fea8cec7d8466cee14ffd69c45e084f9e97aba863eb0d623,C2,0.3957307060755337
84,-0.012224284510127026,2182,027987b249d38fbd6e1762ad6f6685bd8f19f84abff14d0a81272b0e71dfd47c,0,True,8836b397e594eaaa696523cf9c2dfc5b475ab3cbd81a2a7cf36e8b4a5c0bcca9,"{""cash_route_feasible"":true,""final_cash_equity_reconciled"":true,""maximum_open_risk_respected"":true,""maximum_positions_respected"":true,""metric_capital_feasible"":true,""metric_minimum_cash_nonnegative"":true,""route_minimum_cash_nonnegative"":true}",2.0,2182,-6.634506793917207,93166.45800226486,445,0.5585013377528416,1.3720743806982152,0.0225,3,cc320614dd38d2a482ff6804341ae95685bf0c3183da9e6d8948da32c60def6c,1.2957154861578601,-0.0010244428679272444,False,-0.06833541997735137,0,ADA-USDT,False,False,False,0.9856248145469761,False,84,"{""ADMITTED"":1030,""REJECTED_ENGINE_CONFLICT"":147,""REJECTED_ENGINE_COOLDOWN"":46,""REJECTED_INSUFFICIENT_CASH"":445,""REJECTED_MAX_OPEN_RISK"":67,""REJECTED_SAME_SYMBOL_ACTIVE"":447}",LOAO,rd18-p3e-sensitivity-run-v1,False,1030,415571f51e0b4a49aeac492222b1105bb60093fa34b8f071361c80c36e62e9b6,C2,0.3320388349514563
29,0.14244316871024854,2179,ce5a9f18c49a34af6e72a25308483f078fc5de4560d0fdffc707da1962e333ac,0,True,8836b397e594eaaa696523cf9c2dfc5b475ab3cbd81a2a7cf36e8b4a5c0bcca9,"{""cash_route_feasible"":true,""final_cash_equity_reconciled"":true,""maximum_open_risk_respected"":true,""maximum_positions_respected"":true,""metric_capital_feasible"":true,""metric_minimum_cash_nonnegative"":true,""route_minimum_cash_nonnegative"":true}",1.0,2179,96.39632906804431,215193.6132363143,97,0.18325722078694717,1.4985014985014986,0.0225,4,fa796571bf725a110d23bc7dcab1173ba31da99d4f4d04b5207f332275bdbc2e,244.03271751913417,0.011159229802536252,False,1.1519361323631432,0,ATOM-USDT,True,False,False,1.23910945654252,True,29,"{""ADMITTED"":1195,""REJECTED_ENGINE_CONFLICT"":151,""REJECTED_ENGINE_COOLDOWN"":49,""REJECTED_INSUFFICIENT_CASH"":97,""REJECTED_MAX_OPEN_RISK"":153,""REJECTED_SAME_SYMBOL_ACTIVE"":534}",LOAO,rd18-p3e-sensitivity-run-v1,True,1195,b9d73aa5ef71e30d4c165209df2fb03b35562a1091183171c310f6a02cf0d100,C2,0.399163179916318
29,-0.011621877494453092,2179,ce5a9f18c49a34af6e72a25308483f078fc5de4560d0fdffc707da1962e333ac,0,True,8836b397e594eaaa696523cf9c2dfc5b475ab3cbd81a2a7cf36e8b4a5c0bcca9,"{""cash_route_feasible"":true,""final_cash_equity_reconciled"":true,""maximum_open_risk_respected"":true,""maximum_positions_respected"":true,""metric_capital_feasible"":true,""metric_minimum_cash_nonnegative"":true,""route_minimum_cash_nonnegative"":true}",2.0,2179,-6.286072047291739,93493.91543105307,417,0.5489334666356791,1.4985014985014986,0.0225,3,fa796571bf725a110d23bc7dcab1173ba31da99d4f4d04b5207f332275bdbc2e,272.4027954584926,-0.0009736872723179468,False,-0.06506084568946924,0,ATOM-USDT,False,False,False,0.9862277418773644,False,29,"{""ADMITTED"":1035,""REJECTED_ENGINE_CONFLICT"":151,""REJECTED_ENGINE_COOLDOWN"":40,""REJECTED_INSUFFICIENT_CASH"":417,""REJECTED_MAX_OPEN_RISK"":74,""REJECTED_SAME_SYMBOL_ACTIVE"":462}",LOAO,rd18-p3e-sensitivity-run-v1,False,1035,b3e87656581fadd3fb78b1166f00d8fb08dccf55f6c23a022e2ebbd2c657a516,C2,0.3352657004830918
48,0.12681320421380105,2190,a2906212da7d7ff506d32a17a2854e25aefde51c79009ff5b05f75f26bcebbf0,0,True,8836b397e594eaaa696523cf9c2dfc5b475ab3cbd81a2a7cf36e8b4a5c0bcca9,"{""cash_route_feasible"":true,""final_cash_equity_reconciled"":true,""maximum_open_risk_respected"":true,""maximum_positions_respected"":true,""metric_capital_feasible"":true,""metric_minimum_cash_nonnegative"":true,""route_minimum_cash_nonnegative"":true}",1.0,2190,81.57926584126118,198792.4909337686,96,0.20754109128185483,1.4985014985014986,0.0225,4,d1e1a8811654918c7e78070913661dba311d6cf56c28a14bacfcc6650e7e447f,1061.285452441909,0.009999116674839659,False,0.9879249093376861,0,AVAX-USDT,True,False,False,1.200745620457114,True,48,"{""ADMITTED"":1211,""REJECTED_ENGINE_CONFLICT"":149,""REJECTED_ENGINE_COOLDOWN"":54,""REJECTED_INSUFFICIENT_CASH"":96,""REJECTED_MAX_OPEN_RISK"":151,""REJECTED_SAME_SYMBOL_ACTIVE"":529}",LOAO,rd18-p3e-sensitivity-run-v1,True,1211,2c860454880fe941d88d12a0191afe0421e8334287840b7764dff56a07e25b1a,C2,0.39801816680429397
48,-0.015292440556651243,2190,a2906212da7d7ff506d32a17a2854e25aefde51c79009ff5b05f75f26bcebbf0,0,True,8836b397e594eaaa696523cf9c2dfc5b475ab3cbd81a2a7cf36e8b4a5c0bcca9,"{""cash_route_feasible"":true,""final_cash_equity_reconciled"":true,""maximum_open_risk_respected"":true,""maximum_positions_respected"":true,""metric_capital_feasible"":true,""metric_minimum_cash_nonnegative"":true,""route_minimum_cash_nonnegative"":true}",2.0,2190,-8.402642175623097,91513.33140262046,483,0.5484441754104573,1.4985014985014986,0.0225,3,d1e1a8811654918c7e78070913661dba311d6cf56c28a14bacfcc6650e7e447f,216.5907999919582,-0.0012833904040637778,False,-0.08486668597379543,0,AVAX-USDT,False,False,False,0.9816752638055213,False,48,"{""ADMITTED"":1010,""REJECTED_ENGINE_CONFLICT"":149,""REJECTED_ENGINE_COOLDOWN"":42,""REJECTED_INSUFFICIENT_CASH"":483,""REJECTED_MAX_OPEN_RISK"":62,""REJECTED_SAME_SYMBOL_ACTIVE"":444}",LOAO,rd18-p3e-sensitivity-run-v1,False,1010,75d0deac77d31584b4d649cfaa207441f65b336f993e2b6d9e3f1016075fb008,C2,0.3346534653465347
68,0.12759751354698867,2184,1232b672f49f9f86c03b66380f6d10ea5e69b8ad4fe21145b7ef735836b35410,0,True,8836b397e594eaaa696523cf9c2dfc5b475ab3cbd81a2a7cf36e8b4a5c0bcca9,"{""cash_route_feasible"":true,""final_cash_equity_reconciled"":true,""maximum_open_risk_respected"":true,""maximum_positions_respected"":true,""metric_capital_feasible"":true,""metric_minimum_cash_nonnegative"":true,""route_minimum_cash_nonnegative"":true}",1.0,2184,82.5788525597696,199590.09618708325,96,0.19608937060340748,1.4985014985014986,0.0225,4,cd12baba671e5bdabcec00768478abff7272d3ff1c9b7f613067f80eb77abbc3,1061.285452441909,0.01005768147891306,True,0.9959009618708325,0,BCHSV-USDT,True,False,False,1.2035317064161604,True,68,"{""ADMITTED"":1206,""REJECTED_ENGINE_CONFLICT"":147,""REJECTED_ENGINE_COOLDOWN"":53,""REJECTED_INSUFFICIENT_CASH"":96,""REJECTED_MAX_OPEN_RISK"":156,""REJECTED_SAME_SYMBOL_ACTIVE"":526}",LOAO,rd18-p3e-sensitivity-run-v1,True,1206,c2f8a253dc5210d3050b9f7fa0d504de4db9503714d28ca311bb6460ff98298d,C2,0.39800995024875624
68,-0.013164356244147357,2184,1232b672f49f9f86c03b66380f6d10ea5e69b8ad4fe21145b7ef735836b35410,0,True,8836b397e594eaaa696523cf9c2dfc5b475ab3cbd81a2a7cf36e8b4a5c0bcca9,"{""cash_route_feasible"":true,""final_cash_equity_reconciled"":true,""maximum_open_risk_respected"":true,""maximum_positions_respected"":true,""metric_capital_feasible"":true,""metric_minimum_cash_nonnegative"":true,""route_minimum_cash_nonnegative"":true}",2.0,2184,-7.2916129415995075,92657.34576780912,476,0.5410899086857239,1.4985014985014986,0.0225,3,cd12baba671e5bdabcec00768478abff7272d3ff1c9b7f613067f80eb77abbc3,216.5907999919582,-0.0011037050051107,True,-0.07342654232190882,0,BCHSV-USDT,False,False,False,0.9841860526552361,False,68,"{""ADMITTED"":1007,""REJECTED_ENGINE_CONFLICT"":147,""REJECTED_ENGINE_COOLDOWN"":42,""REJECTED_INSUFFICIENT_CASH"":476,""REJECTED_MAX_OPEN_RISK"":66,""REJECTED_SAME_SYMBOL_ACTIVE"":446}",LOAO,rd18-p3e-sensitivity-run-v1,False,1007,06c5577a34306ff1cf95b9f4d5cca5efc5da248475414d2e92a8836864f7ea64,C2,0.3316782522343595
1,0.12703201744308124,2183,004fb982d4e6babcd857904f12e88247f6790fc1e7bb03c499e21de329a01850,0,True,8836b397e594eaaa696523cf9c2dfc5b475ab3cbd81a2a7cf36e8b4a5c0bcca9,"{""cash_route_feasible"":true,""final_cash_equity_reconciled"":true,""maximum_open_risk_respected"":true,""maximum_positions_respected"":true,""metric_capital_feasible"":true,""metric_minimum_cash_nonnegative"":true,""route_minimum_cash_nonnegative"":true}",1.0,2183,82.16991553368207,199014.74821808792,96,0.19890323571592217,1.4985014985014986,0.0225,4,a9c985af5efa199cc9e4ce0a4964338cef7bb4ea4b6ba135a54a5b13b14f3f64,1061.285452441909,0.010015459334845156,False,0.9901474821808791,0,BNB-USDT,True,False,False,1.2023910307510972,True,1,"{""ADMITTED"":1205,""REJECTED_ENGINE_CONFLICT"":147,""REJECTED_ENGINE_COOLDOWN"":55,""REJECTED_INSUFFICIENT_CASH"":96,""REJECTED_MAX_OPEN_RISK"":156,""REJECTED_SAME_SYMBOL_ACTIVE"":524}",LOAO,rd18-p3e-sensitivity-run-v1,True,1205,7c890ad79af29237a4ac813b8d4970e2cc09bd16a163e11a91117b408412582c,C2,0.3975103734439834
1,-0.01238074123519417,2183,004fb982d4e6babcd857904f12e88247f6790fc1e7bb03c499e21de329a01850,0,True,8836b397e594eaaa696523cf9c2dfc5b475ab3cbd81a2a7cf36e8b4a5c0bcca9,"{""cash_route_feasible"":true,""final_cash_equity_reconciled"":true,""maximum_open_risk_respected"":true,""maximum_positions_respected"":true,""metric_capital_feasible"":true,""metric_minimum_cash_nonnegative"":true,""route_minimum_cash_nonnegative"":true}",2.0,2183,-6.884013743090009,93081.56618819434,479,0.5383628186975864,1.4985014985014986,0.0225,3,a9c985af5efa199cc9e4ce0a4964338cef7bb4ea4b6ba135a54a5b13b14f3f64,110.08957673506666,-0.0010376297170440196,False,-0.06918433811805658,0,BNB-USDT,False,False,False,0.9850677038074593,False,1,"{""ADMITTED"":1005,""REJECTED_ENGINE_CONFLICT"":147,""REJECTED_ENGINE_COOLDOWN"":44,""REJECTED_INSUFFICIENT_CASH"":479,""REJECTED_MAX_OPEN_RISK"":65,""REJECTED_SAME_SYMBOL_ACTIVE"":443}",LOAO,rd18-p3e-sensitivity-run-v1,False,1005,e44483ab48bc9666a173087ab907d7d54b78aff3616e75f6da14ccb371a0e780,C2,0.33134328358208953
