applicability_basis,effective_membership_occurrences,named_omission,omitted_pair,original_membership_occurrences,traded_1x,traded_2x,universe_id
TRADED_CORRECTED_BASE,84,False,ADA-USDT,68,True,True,C2
TRADED_CORRECTED_BASE,29,False,ATOM-USDT,27,True,True,C2
TRADED_CORRECTED_BASE,48,False,AVAX-USDT,48,True,True,C2
NAMED_OMISSION,0,True,BCHSV-USDT,68,False,False,C2
TRADED_CORRECTED_BASE,1,False,BNB-USDT,1,True,True,C2
TRADED_CORRECTED_BASE,301,False,BTC-USDT,301,True,True,C2
TRADED_CORRECTED_BASE,52,False,DOGE-USDT,52,True,True,C2
TRADED_CORRECTED_BASE,20,False,DOT-USDT,20,True,True,C2
TRADED_CORRECTED_BASE,301,False,ETH-USDT,301,True,True,C2
TRADED_CORRECTED_BASE,5,False,ICP-USDT,5,True,True,C2
TRADED_CORRECTED_BASE,8,False,INJ-USDT,8,True,True,C2
TRADED_CORRECTED_BASE,8,False,JASMY-USDT,8,True,True,C2
TRADED_CORRECTED_BASE,115,False,KCS-USDT,115,True,True,C2
TRADED_CORRECTED_BASE,6,False,LINK-USDT,6,True,True,C2
TRADED_CORRECTED_BASE,116,False,LTC-USDT,112,True,True,C2
TRADED_CORRECTED_BASE,4,False,MANA-USDT,4,True,True,C2
TRADED_CORRECTED_BASE,14,False,NEAR-USDT,14,True,True,C2
TRADED_CORRECTED_BASE,4,False,OP-USDT,4,True,True,C2
TRADED_CORRECTED_BASE|NAMED_OMISSION,38,True,PEPE-USDT,38,True,True,C2
TRADED_CORRECTED_BASE,6,False,SAND-USDT,6,True,True,C2
TRADED_CORRECTED_BASE,45,False,SHIB-USDT,45,True,True,C2
TRADED_CORRECTED_BASE,151,False,SOL-USDT,151,True,True,C2
TRADED_CORRECTED_BASE,11,False,SUI-USDT,11,True,True,C2
TRADED_CORRECTED_BASE,37,False,TRX-USDT,6,True,True,C2
TRADED_CORRECTED_BASE,13,False,VET-USDT,13,True,True,C2
TRADED_CORRECTED_BASE,23,False,XMR-USDT,23,True,True,C2
TRADED_CORRECTED_BASE,290,False,XRP-USDT,290,True,True,C2
TRADED_CORRECTED_BASE,18,False,XTZ-USDT,3,True,True,C2
TRADED_CORRECTED_BASE,80,False,ADA-USDT,80,True,True,D2
TRADED_CORRECTED_BASE,34,False,ATOM-USDT,34,True,True,D2
TRADED_CORRECTED_BASE,53,False,AVAX-USDT,53,True,True,D2
TRADED_CORRECTED_BASE,22,False,BNB-USDT,22,True,True,D2
TRADED_CORRECTED_BASE,301,False,BTC-USDT,301,True,True,D2
TRADED_CORRECTED_BASE,65,False,DOGE-USDT,65,True,True,D2
TRADED_CORRECTED_BASE,14,False,DOT-USDT,14,True,True,D2
TRADED_CORRECTED_BASE,301,False,ETH-USDT,301,True,True,D2
TRADED_CORRECTED_BASE,1,False,FIL-USDT,1,True,True,D2
TRADED_CORRECTED_BASE,6,False,ICP-USDT,6,True,True,D2
TRADED_CORRECTED_BASE,17,False,INJ-USDT,17,True,True,D2
TRADED_CORRECTED_BASE,114,False,KCS-USDT,114,True,True,D2
TRADED_CORRECTED_BASE,5,False,LINK-USDT,5,True,True,D2
TRADED_CORRECTED_BASE,122,False,LTC-USDT,122,True,True,D2
TRADED_CORRECTED_BASE,15,False,NEAR-USDT,15,True,True,D2
TRADED_CORRECTED_BASE,4,False,OP-USDT,4,True,True,D2
TRADED_CORRECTED_BASE,7,False,SAND-USDT,7,True,True,D2
TRADED_CORRECTED_BASE,51,False,SHIB-USDT,51,True,True,D2
TRADED_CORRECTED_BASE,151,False,SOL-USDT,151,True,True,D2
TRADED_CORRECTED_BASE,77,False,TRX-USDT,77,True,True,D2
TRADED_CORRECTED_BASE,12,False,WIF-USDT,12,True,True,D2
TRADED_CORRECTED_BASE,27,False,XMR-USDT,27,True,True,D2
TRADED_CORRECTED_BASE,297,False,XRP-USDT,297,True,True,D2
TRADED_CORRECTED_BASE,84,False,ADA-USDT,79,True,True,E2
TRADED_CORRECTED_BASE,29,False,ATOM-USDT,27,True,True,E2
TRADED_CORRECTED_BASE,50,False,AVAX-USDT,50,True,True,E2
NAMED_OMISSION,0,True,BCHSV-USDT,53,False,False,E2
TRADED_CORRECTED_BASE,1,False,BNB-USDT,1,True,True,E2
TRADED_CORRECTED_BASE,301,False,BTC-USDT,301,True,True,E2
TRADED_CORRECTED_BASE,52,False,DOGE-USDT,52,True,True,E2
TRADED_CORRECTED_BASE,20,False,DOT-USDT,20,True,True,E2
TRADED_CORRECTED_BASE,301,False,ETH-USDT,301,True,True,E2
TRADED_CORRECTED_BASE,5,False,ICP-USDT,5,True,True,E2
TRADED_CORRECTED_BASE,16,False,INJ-USDT,16,True,True,E2
TRADED_CORRECTED_BASE,8,False,JASMY-USDT,8,True,True,E2
TRADED_CORRECTED_BASE,115,False,KCS-USDT,115,True,True,E2
TRADED_CORRECTED_BASE,6,False,LINK-USDT,6,True,True,E2
TRADED_CORRECTED_BASE,117,False,LTC-USDT,117,True,True,E2
TRADED_CORRECTED_BASE,3,False,MANA-USDT,3,True,True,E2
TRADED_CORRECTED_BASE,14,False,NEAR-USDT,14,True,True,E2
TRADED_CORRECTED_BASE,4,False,OP-USDT,4,True,True,E2
TRADED_CORRECTED_BASE|NAMED_OMISSION,38,True,PEPE-USDT,38,True,True,E2
TRADED_CORRECTED_BASE,6,False,SAND-USDT,6,True,True,E2
TRADED_CORRECTED_BASE,47,False,SHIB-USDT,47,True,True,E2
TRADED_CORRECTED_BASE,151,False,SOL-USDT,151,True,True,E2
TRADED_CORRECTED_BASE,12,False,SUI-USDT,12,True,True,E2
TRADED_CORRECTED_BASE,37,False,TRX-USDT,6,True,True,E2
TRADED_CORRECTED_BASE,13,False,VET-USDT,13,True,True,E2
TRADED_CORRECTED_BASE,21,False,XMR-USDT,21,True,True,E2
TRADED_CORRECTED_BASE,290,False,XRP-USDT,290,True,True,E2
TRADED_CORRECTED_BASE,18,False,XTZ-USDT,3,True,True,E2
