namespace,source_sql_path,template_sql_path,source_sha256,template_sha256,normalized_logic_match,parameter_count,start_parameter_present,end_parameter_present,forbidden_literal_date_count,required_table_match,final_schema_match,status,failure_reason
bitcoin,C:/SIRAJ/Repositories/spot-speculation-bot/reports/research/rd09b-v2-queries/bitcoin_2022_03.sql,C:/SIRAJ/Repositories/spot-speculation-bot/reports/research/rd09c-dune-templates/bitcoin_daily.sql,2b5e75bb62d843f58e31edee0b51e4352a53a03d99605109fbaae9c363cd75c9,5e989f08ce6f0ce12fa77ee66ca28fdc33daa7c02d9b75afb121a09093559d53,True,2,True,True,0,True,True,PASS,
ethereum,C:/SIRAJ/Repositories/spot-speculation-bot/reports/research/rd09b-v2-queries/ethereum_2022_03.sql,C:/SIRAJ/Repositories/spot-speculation-bot/reports/research/rd09c-dune-templates/ethereum_daily.sql,5644ad3866a2a617813ca7137c3bcb33ee1de9fff958f463380d536e76ca12e3,a3f2fa686a5a6097756422dac3aa6bb669a21107a3e5edd4e8f3f7e487a8802a,True,2,True,True,0,True,True,PASS,
cardano,C:/SIRAJ/Repositories/spot-speculation-bot/reports/research/rd09b-v2-queries/cardano_2022_03.sql,C:/SIRAJ/Repositories/spot-speculation-bot/reports/research/rd09c-dune-templates/cardano_daily.sql,27228385dfb858b22d5dfa523c62457d5125278dec8d1d3d4c2eb7dd7781e74c,87c8d1d3434c6925d0686b8ea7e443e95cf7a9e45f8295056192c0eb3949924c,True,2,True,True,0,True,True,PASS,
avalanche_c,C:/SIRAJ/Repositories/spot-speculation-bot/reports/research/rd09b-v2-queries/avalanche_c_2022_03.sql,C:/SIRAJ/Repositories/spot-speculation-bot/reports/research/rd09c-dune-templates/avalanche_c_daily.sql,858ff4becb2157a69a29df181fba156820dc610a4dac41b5f25307ecdd675e18,0b6b4c6d0935ac91576b057bc3010475fea4b51b0970d8f891f8cfc4cc6e68ae,True,2,True,True,0,True,True,PASS,
polkadot,C:/SIRAJ/Repositories/spot-speculation-bot/reports/research/rd09b-v2-queries/polkadot_2022_03.sql,C:/SIRAJ/Repositories/spot-speculation-bot/reports/research/rd09c-dune-templates/polkadot_daily.sql,4a083214203f8225db656f2594bc7198c87a18009cb5ffaae6212a14c19b773a,ab442051dd3fb7ad1390638cee8b05a9cf47d0f06facc1898beec50e32932e59,True,2,True,True,0,True,True,PASS,
