sequence,namespace,asset,canonical_dune_name,template_path,template_sha256,required_tables,expected_columns,optional_columns,minimum_start,maximum_end_exclusive,maximum_single_range_days,parameter_names,local_validation_status,dune_query_id,dune_url,browser_creation_status,browser_execution_status
1,bitcoin,BTC,AKAH_NATIVE_BITCOIN_DAILY,C:/SIRAJ/Repositories/spot-speculation-bot/reports/research/rd09c-dune-templates/bitcoin_daily.sql,5e989f08ce6f0ce12fa77ee66ca28fdc33daa7c02d9b75afb121a09093559d53,bitcoin.transactions;bitcoin.blocks,day;successful_transaction_count;unique_sending_addresses;unique_receiving_addresses;unique_active_addresses;native_fees_paid;block_count;native_transfer_count,unique_sending_addresses;unique_receiving_addresses;unique_active_addresses,2021-01-01T00:00:00Z,2025-01-01T00:00:00Z,366,start_date;end_date,PASS,8155363,https://dune.com/queries/8155363,PASS,PASS
2,ethereum,ETH,AKAH_NATIVE_ETHEREUM_DAILY,C:/SIRAJ/Repositories/spot-speculation-bot/reports/research/rd09c-dune-templates/ethereum_daily.sql,a3f2fa686a5a6097756422dac3aa6bb669a21107a3e5edd4e8f3f7e487a8802a,ethereum.transactions;ethereum.blocks,day;successful_transaction_count;unique_sending_addresses;unique_receiving_addresses;unique_active_addresses;native_fees_paid;block_count;native_transfer_count,,2021-01-01T00:00:00Z,2025-01-01T00:00:00Z,366,start_date;end_date,PASS,,,NOT_STARTED,NOT_STARTED
3,cardano,ADA,AKAH_NATIVE_CARDANO_DAILY,C:/SIRAJ/Repositories/spot-speculation-bot/reports/research/rd09c-dune-templates/cardano_daily.sql,87c8d1d3434c6925d0686b8ea7e443e95cf7a9e45f8295056192c0eb3949924c,cardano.transaction;cardano.block,day;successful_transaction_count;unique_sending_addresses;unique_receiving_addresses;unique_active_addresses;native_fees_paid;block_count;native_transfer_count,unique_sending_addresses;unique_receiving_addresses;unique_active_addresses,2021-01-01T00:00:00Z,2025-01-01T00:00:00Z,366,start_date;end_date,PASS,,,NOT_STARTED,NOT_STARTED
4,avalanche_c,AVAX,AKAH_NATIVE_AVALANCHE_C_DAILY,C:/SIRAJ/Repositories/spot-speculation-bot/reports/research/rd09c-dune-templates/avalanche_c_daily.sql,0b6b4c6d0935ac91576b057bc3010475fea4b51b0970d8f891f8cfc4cc6e68ae,avalanche_c.transactions;avalanche_c.blocks,day;successful_transaction_count;unique_sending_addresses;unique_receiving_addresses;unique_active_addresses;native_fees_paid;block_count;native_transfer_count,,2021-01-01T00:00:00Z,2025-01-01T00:00:00Z,366,start_date;end_date,PASS,,,NOT_STARTED,NOT_STARTED
5,polkadot,DOT,AKAH_NATIVE_POLKADOT_DAILY,C:/SIRAJ/Repositories/spot-speculation-bot/reports/research/rd09c-dune-templates/polkadot_daily.sql,ab442051dd3fb7ad1390638cee8b05a9cf47d0f06facc1898beec50e32932e59,polkadot.extrinsics;polkadot.blocks,day;successful_transaction_count;unique_sending_addresses;unique_receiving_addresses;unique_active_addresses;native_fees_paid;block_count;native_transfer_count,unique_receiving_addresses;unique_active_addresses,2021-01-01T00:00:00Z,2025-01-01T00:00:00Z,366,start_date;end_date,PASS,,,NOT_STARTED,NOT_STARTED
