metric,value
original_candidate_union,2269
original_candidates_completed,2269
current_only_seed_completed,1166
archive_captures_queried,4
usable_archived_official_captures,0
archive_discovered_new_candidates,0
total_confirmed_historical_pairs,376
total_confirmed_historically_delisted_pairs,6
exact_boundary_completion_rate,1.0
candidate_probe_completion_rate,1.0
listing_candidates_completed,1099
delisting_candidates_completed,0
unresolved_identities,0
technical_failures,0
inventory_increase_over_p0,308
inventory_increase_over_p0a,76
prior_unresolved_delisting_terminal_outcomes,10
delisting_candidates_completed,16
