pair,canonical_asset_id,identity_status,duplicate_period,temporal_identity_status
00-USDT,00,HIGH,False,RESOLVED_OR_EXCLUDED
0G-USDT,0G,HIGH,False,RESOLVED_OR_EXCLUDED
1000BONKUP-USDT,1000BONKUP,HIGH,False,RESOLVED_OR_EXCLUDED
1CAT-USDT,1CAT,HIGH,False,RESOLVED_OR_EXCLUDED
1EARTH-USDT,1EARTH,HIGH,False,RESOLVED_OR_EXCLUDED
1INCH-USDT,1INCH,HIGH,False,RESOLVED_OR_EXCLUDED
2CRZ-USDT,2CRZ,HIGH,False,RESOLVED_OR_EXCLUDED
2U2-USDT,2U2,HIGH,False,RESOLVED_OR_EXCLUDED
2Z-USDT,2Z,HIGH,False,RESOLVED_OR_EXCLUDED
9BIT-USDT,9BIT,HIGH,False,RESOLVED_OR_EXCLUDED
A-USDT,,EXCLUDED_UNMAPPED_OR_INVALID_ASSET,False,RESOLVED_OR_EXCLUDED
A2Z-USDT,A2Z,HIGH,False,RESOLVED_OR_EXCLUDED
A47-USDT,A47,HIGH,False,RESOLVED_OR_EXCLUDED
AA-USDT,AA,HIGH,False,RESOLVED_OR_EXCLUDED
AAVE-USDT,AAVE,HIGH,False,RESOLVED_OR_EXCLUDED
AAVE3L-USDT,AAVE3L,HIGH,False,RESOLVED_OR_EXCLUDED
AAVE3S-USDT,AAVE3S,HIGH,False,RESOLVED_OR_EXCLUDED
ABBC-USDT,ABBC,HIGH,False,RESOLVED_OR_EXCLUDED
ABT-USDT,ABT,HIGH,False,RESOLVED_OR_EXCLUDED
ACA-USDT,ACA,HIGH,False,RESOLVED_OR_EXCLUDED
ACAT-USDT,ACAT,HIGH,False,RESOLVED_OR_EXCLUDED
ACCORDING-USDT,ACCORDING,HIGH,False,RESOLVED_OR_EXCLUDED
ACE-USDT,ACE,HIGH,False,RESOLVED_OR_EXCLUDED
ACEOLD-USDT,ACEOLD,HIGH,False,RESOLVED_OR_EXCLUDED
ACH-USDT,ACH,HIGH,False,RESOLVED_OR_EXCLUDED
ACN-USDT,ACN,HIGH,False,RESOLVED_OR_EXCLUDED
ACOIN-USDT,ACOIN,HIGH,False,RESOLVED_OR_EXCLUDED
ACQ-USDT,ACQ,HIGH,False,RESOLVED_OR_EXCLUDED
ACS-USDT,ACS,HIGH,False,RESOLVED_OR_EXCLUDED
ACTOLD-USDT,ACTOLD,HIGH,False,RESOLVED_OR_EXCLUDED
ACTSOL-USDT,ACTSOL,HIGH,False,RESOLVED_OR_EXCLUDED
ACU-USDT,ACU,HIGH,False,RESOLVED_OR_EXCLUDED
ACX-USDT,ACX,HIGH,False,RESOLVED_OR_EXCLUDED
ADA-USDT,ADA,HIGH,False,RESOLVED_OR_EXCLUDED
ADA3L-USDT,ADA3L,HIGH,False,RESOLVED_OR_EXCLUDED
ADA3S-USDT,ADA3S,HIGH,False,RESOLVED_OR_EXCLUDED
ADB-USDT,ADB,HIGH,False,RESOLVED_OR_EXCLUDED
ADI-USDT,ADI,HIGH,False,RESOLVED_OR_EXCLUDED
ADS-USDT,ADS,HIGH,False,RESOLVED_OR_EXCLUDED
ADX-USDT,ADX,HIGH,False,RESOLVED_OR_EXCLUDED
AED-USDT,AED,HIGH,False,RESOLVED_OR_EXCLUDED
AEG-USDT,AEG,HIGH,False,RESOLVED_OR_EXCLUDED
AEON-USDT,AEON,HIGH,False,RESOLVED_OR_EXCLUDED
AERGO-USDT,AERGO,HIGH,False,RESOLVED_OR_EXCLUDED
AERO-USDT,AERO,HIGH,False,RESOLVED_OR_EXCLUDED
AEVO-USDT,AEVO,HIGH,False,RESOLVED_OR_EXCLUDED
AFG-USDT,AFG,HIGH,False,RESOLVED_OR_EXCLUDED
AFK-USDT,AFK,HIGH,False,RESOLVED_OR_EXCLUDED
AGI-USDT,AGI,HIGH,False,RESOLVED_OR_EXCLUDED
AGIOLD-USDT,AGIOLD,HIGH,False,RESOLVED_OR_EXCLUDED
AGIX-USDT,AGIX,HIGH,False,RESOLVED_OR_EXCLUDED
AGIX2L-USDT,AGIX2L,HIGH,False,RESOLVED_OR_EXCLUDED
AGIX2S-USDT,AGIX2S,HIGH,False,RESOLVED_OR_EXCLUDED
AGIXDOWN-USDT,AGIXDOWN,HIGH,False,RESOLVED_OR_EXCLUDED
AGIXUP-USDT,AGIXUP,HIGH,False,RESOLVED_OR_EXCLUDED
AGLD-USDT,AGLD,HIGH,False,RESOLVED_OR_EXCLUDED
AGT-USDT,AGT,HIGH,False,RESOLVED_OR_EXCLUDED
AI-USDT,AI,HIGH,False,RESOLVED_OR_EXCLUDED
AI16Z-USDT,AI16Z,HIGH,False,RESOLVED_OR_EXCLUDED
AI3-USDT,AI3,HIGH,False,RESOLVED_OR_EXCLUDED
AIDOGE-USDT,AIDOGE,HIGH,False,RESOLVED_OR_EXCLUDED
AIEPK-USDT,AIEPK,HIGH,False,RESOLVED_OR_EXCLUDED
AIN-USDT,AIN,HIGH,False,RESOLVED_OR_EXCLUDED
AIO-USDT,AIO,HIGH,False,RESOLVED_OR_EXCLUDED
AIOLD-USDT,AIOLD,HIGH,False,RESOLVED_OR_EXCLUDED
AION-USDT,AION,HIGH,False,RESOLVED_OR_EXCLUDED
