candidate_pair,resolution,probe_request_count,observed_row_count
00-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,0,0
0G-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,0,0
1000BONKUP-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
1CAT-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,0,0
1EARTH-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,0,0
1INCH-USDT,CONFIRMED_CURRENT_SEED_KLINE_VERIFIED_PAIR,0,0
2CRZ-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,0,0
2U2-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,0,0
2Z-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,0,0
9BIT-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,0,0
A-USDT,INVALID_OR_EXCLUDED_PRODUCT,1030,0
A2Z-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,0,0
A47-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
AAVE3L-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
AAVE3S-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
ABT-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ACAT-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ACEOLD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ACN-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ACTOLD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ACU-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ACX-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ADA3L-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
ADA3S-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
ADB-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ADI-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
AED-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
AEON-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
AERGO-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
AGI-USDT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,50,7
AGIOLD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
AGIX2L-USDT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,12,7
AGIX2S-USDT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,12,7
AGIXDOWN-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
AGIXUP-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
AGT-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
AI3-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
AIDOGE-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
AIEPK-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
AIN-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
AIO-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,42,0
AIOLD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
AION-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
AIPUMP-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
AIX-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
AKE-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
AKITA-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ALGODOWN-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
ALGOUP-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
ALKIMI-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ALL-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,28,0
ALLO-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ALPA-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ALTOLD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ALU-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ANG-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ANI-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,28,0
ANIME-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ANLOG-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ANOME-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ANSEM-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ANTFUN-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ANTOLD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ANYONE-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
AOA-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
AOS-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
APE3L-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
APE3S-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
APH-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
APR-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
APT2L-USDT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,12,7
APT2S-USDT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,12,7
ARB3L-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
ARB3S-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
ARCOLD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ARCSOL-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ARIA-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ARN-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ARPADOWN-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
ARPAUP-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
ARS-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ART-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,28,0
ARTFI-USDT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,14,7
ARXOLD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ARY-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ASD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ASP-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ASRR-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ASSET-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ASTER-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ASTROBOY-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
ATOM3L-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
ATOM3S-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
ATWO-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
AUD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
AVA-USDT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,4,7
AVAX3L-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
AVAX3S-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
AVNT-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
AWE-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
AWG-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
AXE-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
AXPR-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
AXS3L-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
AXS3S-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
AZN-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
AZTEC-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
B-USDT,INVALID_OR_EXCLUDED_PRODUCT,1016,0
B2-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
B3-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BABY-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,56,0
BABYBNB-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BABYSHARK-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,28,0
BABYSHARKO-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BAKEDOWN-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
BAKEUP-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
BANK-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BARD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BAS-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,28,0
BASED-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BAX-USDT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,8,7
BBD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BBT-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BCD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BCH3L-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
BCH3S-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
BCHA-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,28,0
BCHABC-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BCHSV-USDT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,4,7
BCPT-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BDT-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BEATOLD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BELIEVE-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BERA-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BERT-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BEST-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BFT-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BGN-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BHC-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BHD-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BIF-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BILL-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BIO-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BIRB-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BIT-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,28,0
BITCLAVE-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BLEND-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BLOCKST-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BLUAI-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BLUM-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BLUR2L-USDT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,12,7
BLUR2S-USDT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,12,7
BMB-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BMT-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
BNB3L-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
BNB3S-USDT,INVALID_OR_EXCLUDED_PRODUCT,0,0
BND-USDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,14,0
