duplicate_count,maximum_internal_gap_days,missing_calendar_day_count,pair,total_daily_rows,zero_volume_count
0,0,0,1INCH-USDT,1468,0
0,0,0,AAVE-USDT,1532,0
0,0,0,ACH-USDT,952,0
0,0,0,ACS-USDT,686,0
0,0,0,ADA-USDT,2008,0
0,0,0,ADX-USDT,1141,0
0,0,0,AGI-USDT,631,0
0,0,0,AGIX2L-USDT,188,0
0,0,0,AGIX2S-USDT,188,0
0,0,0,AGLD-USDT,1175,0
0,0,0,AIOZ-USDT,1295,0
0,0,0,AKT-USDT,970,0
0,0,0,ALEPH-USDT,1576,5
0,0,0,ALEX-USDT,362,0
0,0,0,ALGO-USDT,2021,0
0,0,0,ALICE-USDT,1196,0
0,0,0,ALPINE-USDT,994,0
0,0,0,AMP-USDT,1063,0
0,0,0,ANKR-USDT,1374,0
0,0,0,APE-USDT,1021,0
0,0,0,API3-USDT,1462,0
0,0,0,APT-USDT,805,0
0,0,0,APT2L-USDT,187,0
0,0,0,APT2S-USDT,187,0
0,0,0,AR-USDT,1163,0
0,0,0,ARB-USDT,650,0
0,0,0,ARKM-USDT,440,0
0,0,0,ARPA-USDT,1997,0
0,0,0,ARTFI-USDT,198,0
0,0,0,ARTY-USDT,377,0
0,0,0,ASTR-USDT,1077,0
0,0,0,ATA-USDT,1147,0
0,0,0,ATOM-USDT,2049,0
0,0,0,AUCTION-USDT,391,0
0,0,0,AUDIO-USDT,1148,0
0,0,0,AURORA-USDT,982,0
0,0,0,AVA-USDT,2127,0
0,0,0,AVAX-USDT,1398,0
0,0,0,AXS-USDT,1265,0
0,0,0,AZERO-USDT,778,0
0,0,0,BABYDOGE-USDT,623,0
0,0,0,BAL-USDT,1216,0
0,0,0,BAND-USDT,1195,0
0,0,0,BAT-USDT,1423,0
0,0,0,BAX-USDT,1364,0
0,0,0,BCH-USDT,1507,0
0,26,75,BCHSV-USDT,2161,0
0,0,0,BDX-USDT,722,0
0,0,0,BFC-USDT,966,0
0,0,0,BICO-USDT,1013,0
0,0,0,BIGTIME-USDT,447,0
0,0,0,BLUR-USDT,687,0
0,0,0,BLUR2L-USDT,181,0
0,0,0,BLUR2S-USDT,181,1
0,0,0,BLZ-USDT,672,0
0,0,0,BNB-USDT,2023,0
0,0,0,BNC-USDT,1007,0
0,0,0,BOBA-USDT,967,0
0,0,0,BONK-USDT,400,0
0,0,0,BOSON-USDT,1363,0
0,0,0,BRISE-USDT,978,0
0,2,7,BTC-USDT,2624,0
0,0,0,BTT-USDT,1975,15
0,0,0,C98-USDT,1189,0
0,0,0,CAKE-USDT,1411,0
0,0,0,CCD-USDT,950,0
0,0,0,CELO-USDT,1330,0
0,0,0,CELR-USDT,982,0
0,0,0,CERE-USDT,1150,0
0,0,0,CETUS-USDT,602,0
0,0,0,CFG-USDT,1267,0
0,0,0,CFX-USDT,1006,0
0,0,0,CFX2L-USDT,644,0
0,0,0,CFX2S-USDT,644,2
0,0,0,CGPT-USDT,632,0
0,0,0,CHR-USDT,2045,0
0,0,0,CHZ-USDT,1387,0
0,0,0,CKB-USDT,1580,0
0,0,0,COMP-USDT,1650,0
0,0,0,COQ-USDT,380,0
0,0,0,COTI-USDT,2038,0
0,0,0,CPOOL-USDT,1161,0
0,0,0,CREDI-USDT,1119,0
0,0,0,CRO-USDT,1644,0
0,0,0,CRV-USDT,1441,0
0,0,0,CSPR-USDT,917,0
0,0,0,CTC-USDT,1084,0
0,0,0,CTSI-USDT,1196,0
0,0,0,CVX-USDT,1064,0
0,0,0,CWEB-USDT,1098,0
0,0,0,CYBER-USDT,427,0
0,0,0,DAG-USDT,1871,0
0,0,0,DAO-USDT,1422,0
0,531,534,DASH-USDT,1775,0
0,0,0,DCK-USDT,531,0
0,0,0,DCR-USDT,406,0
0,0,0,DENT-USDT,404,0
0,0,0,DEXE-USDT,1192,0
0,0,0,DGB-USDT,1694,0
0,0,0,DIA-USDT,1597,0
0,0,0,DMTR-USDT,1197,0
0,0,0,DODO-USDT,1366,0
0,0,0,DOGE-USDT,1422,0
0,0,0,DOT-USDT,1594,0
0,0,0,DUSK-USDT,964,0
0,0,0,DYDX-USDT,1210,0
0,0,0,EDU-USDT,581,0
0,0,0,EGLD-USDT,1205,0
0,0,0,ELON-USDT,1314,0
0,0,0,ENJ-USDT,1386,0
0,0,0,ENS-USDT,1148,0
0,0,0,ERG-USDT,1245,0
0,150,274,ETC-USDT,2255,0
0,6,16,ETH-USDT,2615,0
0,0,0,ETHW-USDT,828,0
0,0,0,ETN-USDT,2002,356
0,0,0,EUL-USDT,798,1
0,0,0,EWT-USDT,1589,0
0,0,0,FET-USDT,681,0
0,0,0,FIDA-USDT,894,0
0,0,0,FIL-USDT,1539,0
0,0,0,FITFI-USDT,971,0
0,0,0,FLIP-USDT,405,0
0,0,0,FLOKI-USDT,684,0
0,0,0,FLOW-USDT,1205,0
0,0,0,FLR-USDT,722,0
0,0,0,FLUX-USDT,1370,0
0,0,0,FORT-USDT,922,0
0,0,0,FORTH-USDT,1350,0
0,0,0,FTT-USDT,1195,0
0,0,0,GAFI-USDT,1113,0
0,0,0,GALAX-USDT,1237,0
0,0,0,GAS-USDT,1398,0
0,0,0,GHX-USDT,1343,0
0,0,0,GLM-USDT,1140,0
0,0,0,GLMR-USDT,1086,0
0,0,0,GLQ-USDT,1324,0
0,0,0,GMEE-USDT,1302,0
0,0,0,GMT-USDT,1020,0
0,0,0,GMX-USDT,810,0
0,0,0,GODS-USDT,1129,0
0,0,0,GRAM-USDT,797,0
0,0,0,GRT-USDT,1475,0
0,0,0,GRT2L-USDT,188,0
0,0,0,GRT2S-USDT,188,1
0,0,0,GTC-USDT,1210,0
0,0,0,HAI-USDT,1350,0
0,0,0,HBAR-USDT,1205,0
0,0,0,HEART-USDT,1115,0
0,0,0,HFT-USDT,786,0
0,0,0,HIGH-USDT,693,0
0,0,0,HMND-USDT,643,0
0,0,0,HNT-USDT,1092,0
0,0,0,HTR-USDT,1458,0
0,0,0,HYDRA-USDT,1448,0
0,0,0,ICP-USDT,1331,0
0,0,0,ICX-USDT,929,0
0,0,0,ID-USDT,651,0
0,0,0,ILV-USDT,1195,0
0,0,0,IMX-USDT,1129,0
0,0,0,INJ-USDT,1169,0
0,0,0,INSP-USDT,392,0
0,0,0,IOST-USDT,1379,0
0,0,0,IOTA-USDT,1097,0
0,0,0,ISLM-USDT,449,0
0,0,0,ISP-USDT,1153,0
0,0,0,JASMY-USDT,1162,0
0,0,0,JST-USDT,1609,0
0,0,0,JTO-USDT,391,0
0,0,0,KACE-USDT,355,0
0,0,0,KAS-USDT,606,0
0,0,0,KAVA-USDT,1134,0
0,9,78,KCS-USDT,2549,0
0,0,0,KLV-USDT,1426,0
0,0,0,KNC-USDT,981,0
0,0,0,KPOL-USDT,1727,6
0,0,0,KRL-USDT,1387,0
0,0,0,KSM-USDT,1785,0
0,0,0,LADYS-USDT,590,0
0,0,0,LDO-USDT,908,0
0,0,0,LIKE-USDT,1135,0
0,0,0,LINK-USDT,1595,0
0,0,0,LMWR-USDT,596,0
0,0,0,LOCUS-USDT,621,0
0,0,0,LPT-USDT,1281,0
0,0,0,LQTY-USDT,657,0
