raw_candidate_code,candidate_pair,canonical_asset_id,discovery_channels,earliest_discovery_timestamp,explicit_pair_evidence,candidate_only_evidence,current_metadata_only,historical_download_catalogue,listing_evidence_count,delisting_evidence_count,identity_status,probe_status,valid_kline_observation_count,first_observed_open,last_observed_open,membership_classification,p0b_terminal_resolution,p0b_probe_completed,p0b_boundary_acquired,p0b_archive_evidence,p0b_final_membership
00,00-USDT,00,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,PROBED,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
0G,0G-USDT,0G,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,PROBED,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
1000BONKUP,1000BONKUP-USDT,1000BONKUP,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,SKIPPED_EXCLUDED_OR_INVALID,0,,,INVALID_OR_NON_SPOT_PRODUCT,INVALID_OR_EXCLUDED_PRODUCT,True,False,False,False
1CAT,1CAT-USDT,1CAT,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,PROBED,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
1EARTH,1EARTH-USDT,1EARTH,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,PROBED,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
1INCH,1INCH-USDT,1INCH,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,PROBED,28,2021-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,CONFIRMED_CURRENT_SEED_KLINE_VERIFIED_PAIR,True,True,False,True
2CRZ,2CRZ-USDT,2CRZ,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,PROBED,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
2U2,2U2-USDT,2U2,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,PROBED,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
2Z,2Z-USDT,2Z,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,PROBED,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
9BIT,9BIT-USDT,9BIT,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,PROBED,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
A,A-USDT,,current_currency_non_causal_seed,,,True,True,False,0,0,EXCLUDED_UNMAPPED_OR_INVALID_ASSET,SKIPPED_EXCLUDED_OR_INVALID,0,,,INVALID_OR_NON_SPOT_PRODUCT,INVALID_OR_EXCLUDED_PRODUCT,True,False,False,False
A2Z,A2Z-USDT,A2Z,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,PROBED,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
A47,A47-USDT,A47,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,True,False,False,False
