source_asset,canonical_symbol,day,source_timestamp,available_at,market_cap_usd,source_path,source_span_days,rebalance_time,market_cap_rank,top6_member,top10_member
btc,BTC,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,70671645673.5018,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,1,True,True
xrp,XRP,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,36545393696.23575,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,2,True,True
eth,ETH,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,16254198815.513445,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,3,True,True
xlm,XLM,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,12607582075.340212,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,4,True,True
bch,BCH,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,2891363705.8295317,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,5,True,True
ltc,LTC,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,2336488657.326552,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,6,True,True
bsv,BSV,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,1571221618.442718,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,7,False,True
ada,ADA,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,1523472432.7307394,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,8,False,True
bnb,BNB,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,1208194995.9815557,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,9,False,True
xmr,XMR,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00+00:00,2019-01-07 00:00:00+00:00,886141921.4477788,data/research/rd16pit_a1b/raw/coinmetrics-community-market-cap-panel-2018-2020.parquet,730,2019-01-07 00:00:00+00:00,10,False,True
