excluded_year,remaining_trade_count,observed_net_pnl,observed_return_on_initial,confirmed_pit_net_pnl,confirmed_pit_return_on_initial
2019,552,112665.3374247182,1.126653374247182,79295.0588121704,0.792950588121704
2020,448,61615.09136758973,0.6161509136758974,28244.81275504193,0.2824481275504193
2021,434,79396.89831702065,0.7939689831702065,40038.07109726445,0.4003807109726445
2022,550,108543.64086085954,1.0854364086085955,74126.07989160619,0.7412607989160619
2023,463,72027.77213608148,0.7202777213608148,68314.48527792002,0.6831448527792001
2024,388,106530.57559485776,1.0653057559485777,83909.4148043854,0.839094148043854
