year,pit_status,trade_count,net_pnl,gross_profit,gross_loss,profit_factor,win_rate
2019,PIT_ELIGIBLE,15,-4509.474284492727,1283.8764633708838,5793.35074786361,0.2216120720542138,0.3333333333333333
2020,PIT_ELIGIBLE,119,46540.771772635744,86201.36432844514,39660.5925558094,2.173476460472564,0.4369747899159664
2021,FIXED_SELECTION_NOT_TOP6,21,-5988.548607208402,7538.480031131819,13527.02863834022,0.5572901656883605,0.19047619047619047
2021,PIT_ELIGIBLE,112,34747.51343041322,74936.26396684302,40188.75053642981,1.8646079553758632,0.5357142857142857
2022,FIXED_SELECTION_NOT_TOP6,9,-1047.282356705555,4365.376427533524,5412.65878423908,0.8065124001987529,0.2222222222222222
2022,PIT_ELIGIBLE,8,659.5046360714907,3203.592292539818,2544.0876564683276,1.2592303116579744,0.375
2023,FIXED_SELECTION_NOT_TOP6,34,29656.99175438633,42891.055677155986,13234.06392276966,3.240958780874593,0.4117647058823529
2023,PIT_ELIGIBLE,70,6471.099249757655,25430.46786291289,18959.36861315523,1.3413140691440322,0.42857142857142855
2024,FIXED_SELECTION_NOT_TOP6,76,10749.117822075417,47030.52298501091,36281.40516293549,1.296270714262648,0.39473684210526316
2024,PIT_ELIGIBLE,103,-9123.830276707713,29111.92326506882,38235.75354177653,0.7613796138020668,0.33980582524271846
