rebalance_time,panel_asset_count,top_candidate_count,snapshot_complete
2019-01-07 00:00:00+00:00,52,30,True
2019-01-14 00:00:00+00:00,52,30,True
2019-01-21 00:00:00+00:00,52,30,True
2019-01-28 00:00:00+00:00,52,30,True
2019-02-04 00:00:00+00:00,53,30,True
2019-02-11 00:00:00+00:00,53,30,True
2019-02-18 00:00:00+00:00,53,30,True
2019-02-25 00:00:00+00:00,53,30,True
2019-03-04 00:00:00+00:00,53,30,True
2019-03-11 00:00:00+00:00,54,30,True
2019-03-18 00:00:00+00:00,55,30,True
2019-03-25 00:00:00+00:00,56,30,True
2019-04-01 00:00:00+00:00,56,30,True
2019-04-08 00:00:00+00:00,56,30,True
2019-04-15 00:00:00+00:00,56,30,True
2019-04-22 00:00:00+00:00,56,30,True
2019-04-29 00:00:00+00:00,55,30,True
2019-05-06 00:00:00+00:00,55,30,True
2019-05-13 00:00:00+00:00,55,30,True
2019-05-20 00:00:00+00:00,55,30,True
2019-05-27 00:00:00+00:00,55,30,True
2019-06-03 00:00:00+00:00,55,30,True
2019-06-10 00:00:00+00:00,55,30,True
2019-06-17 00:00:00+00:00,55,30,True
2019-06-24 00:00:00+00:00,127,30,True
2019-07-01 00:00:00+00:00,129,30,True
2019-07-08 00:00:00+00:00,130,30,True
2019-07-15 00:00:00+00:00,130,30,True
2019-07-22 00:00:00+00:00,135,30,True
2019-07-29 00:00:00+00:00,135,30,True
2019-08-05 00:00:00+00:00,134,30,True
2019-08-12 00:00:00+00:00,136,30,True
2019-08-19 00:00:00+00:00,136,30,True
2019-08-26 00:00:00+00:00,136,30,True
2019-09-02 00:00:00+00:00,137,30,True
2019-09-09 00:00:00+00:00,138,30,True
2019-09-16 00:00:00+00:00,138,30,True
2019-09-23 00:00:00+00:00,140,30,True
2019-09-30 00:00:00+00:00,140,30,True
2019-10-07 00:00:00+00:00,140,30,True
2019-10-14 00:00:00+00:00,141,30,True
2019-10-21 00:00:00+00:00,141,30,True
2019-10-28 00:00:00+00:00,142,30,True
2019-11-04 00:00:00+00:00,143,30,True
2019-11-11 00:00:00+00:00,145,30,True
2019-11-18 00:00:00+00:00,145,30,True
2019-11-25 00:00:00+00:00,145,30,True
2019-12-02 00:00:00+00:00,144,30,True
2019-12-09 00:00:00+00:00,145,30,True
2019-12-16 00:00:00+00:00,146,30,True
2019-12-23 00:00:00+00:00,147,30,True
2019-12-30 00:00:00+00:00,147,30,True
2020-01-06 00:00:00+00:00,147,30,True
2020-01-13 00:00:00+00:00,148,30,True
2020-01-20 00:00:00+00:00,149,30,True
2020-01-27 00:00:00+00:00,150,30,True
2020-02-03 00:00:00+00:00,150,30,True
2020-02-10 00:00:00+00:00,153,30,True
2020-02-17 00:00:00+00:00,154,30,True
2020-02-24 00:00:00+00:00,154,30,True
2020-03-02 00:00:00+00:00,156,30,True
2020-03-09 00:00:00+00:00,156,30,True
2020-03-16 00:00:00+00:00,156,30,True
2020-03-23 00:00:00+00:00,156,30,True
2020-03-30 00:00:00+00:00,157,30,True
2020-04-06 00:00:00+00:00,158,30,True
2020-04-13 00:00:00+00:00,161,30,True
2020-04-20 00:00:00+00:00,161,30,True
2020-04-27 00:00:00+00:00,161,30,True
2020-05-04 00:00:00+00:00,162,30,True
2020-05-11 00:00:00+00:00,163,30,True
2020-05-18 00:00:00+00:00,165,30,True
2020-05-25 00:00:00+00:00,165,30,True
2020-06-01 00:00:00+00:00,166,30,True
2020-06-08 00:00:00+00:00,166,30,True
2020-06-15 00:00:00+00:00,169,30,True
2020-06-22 00:00:00+00:00,170,30,True
2020-06-29 00:00:00+00:00,171,30,True
2020-07-06 00:00:00+00:00,171,30,True
2020-07-13 00:00:00+00:00,171,30,True
2020-07-20 00:00:00+00:00,171,30,True
2020-07-27 00:00:00+00:00,174,30,True
2020-08-03 00:00:00+00:00,175,30,True
2020-08-10 00:00:00+00:00,175,30,True
2020-08-17 00:00:00+00:00,178,30,True
2020-08-24 00:00:00+00:00,184,30,True
2020-08-31 00:00:00+00:00,188,30,True
2020-09-07 00:00:00+00:00,195,30,True
2020-09-14 00:00:00+00:00,199,30,True
2020-09-21 00:00:00+00:00,202,30,True
2020-09-28 00:00:00+00:00,207,30,True
2020-10-05 00:00:00+00:00,209,30,True
2020-10-12 00:00:00+00:00,214,30,True
2020-10-19 00:00:00+00:00,216,30,True
2020-10-26 00:00:00+00:00,219,30,True
2020-11-02 00:00:00+00:00,220,30,True
2020-11-09 00:00:00+00:00,222,30,True
2020-11-16 00:00:00+00:00,223,30,True
2020-11-23 00:00:00+00:00,226,30,True
2020-11-30 00:00:00+00:00,231,30,True
2020-12-07 00:00:00+00:00,235,30,True
2020-12-14 00:00:00+00:00,237,30,True
2020-12-21 00:00:00+00:00,238,30,True
2020-12-28 00:00:00+00:00,243,30,True
2021-01-04 00:00:00+00:00,79,30,True
2021-01-11 00:00:00+00:00,79,30,True
2021-01-18 00:00:00+00:00,79,30,True
2021-01-25 00:00:00+00:00,79,30,True
2021-02-01 00:00:00+00:00,79,30,True
2021-02-08 00:00:00+00:00,80,30,True
2021-02-15 00:00:00+00:00,80,30,True
2021-02-22 00:00:00+00:00,80,30,True
2021-03-01 00:00:00+00:00,80,30,True
2021-03-08 00:00:00+00:00,80,30,True
2021-03-15 00:00:00+00:00,80,30,True
2021-03-22 00:00:00+00:00,80,30,True
2021-03-29 00:00:00+00:00,80,30,True
2021-04-05 00:00:00+00:00,80,30,True
