year,symbol,trade_count,net_pnl,gross_positive_pnl,gross_negative_pnl
2019,BTC,9,-3012.897071231202,893.4039710645384,-3906.30104229574
2019,ETH,6,-1496.5772132615243,390.47249230634543,-1887.0497055678698
2020,BTC,62,27013.72390639447,46849.11055606159,-19835.386649667118
2020,ETH,57,19527.04786624127,39352.25377238356,-19825.205906142288
2021,AVAX,9,536.3873786896152,6191.549048601449,-5655.161669911833
2021,BTC,49,-3574.7000071727834,18642.806199102844,-22217.506206275626
2021,ETH,63,38322.213437586004,56293.45776774018,-17971.244330154183
2021,LINK,12,-6524.935985898016,1346.9309825303699,-7871.866968428386
2022,AVAX,6,-164.8718624574135,3905.9842413582537,-4070.8561038156677
2022,BTC,4,1189.3841702124691,2176.5498827315396,-987.1657125190707
2022,ETH,4,-529.8795341409782,1027.0424098082785,-1556.9219439492567
2022,LINK,2,-83.66920156186814,459.3921861752708,-543.061387737139
2022,NEAR,1,-798.7412926862733,0.0,-798.7412926862733
2023,AVAX,8,-4594.386619655539,242.24080988124882,-4836.627429536788
2023,BTC,39,4201.325845191007,14368.959223441681,-10167.633378250674
2023,ETH,30,1598.665644108115,10390.400879012675,-8791.735234904558
2023,LINK,10,20288.595699846886,23535.68882231826,-3247.093122471374
2023,NEAR,2,5425.286898540055,5425.286898540055,0.0
2023,SOL,15,9208.60353611346,14358.946906874957,-5150.343370761495
2024,AVAX,15,2788.9325274156226,10638.656768904028,-7849.724241488404
2024,BTC,57,-6049.726721237641,11383.062858560614,-17432.789579798256
2024,ETH,37,-2773.6005223612374,13964.913510065544,-16738.51403242678
2024,LINK,16,-3220.1507374142934,5165.423776521142,-8385.574513935437
2024,NEAR,19,1582.3671556860693,8948.913742562836,-7366.546586876767
2024,SOL,35,9297.465843279186,26041.47559346557,-16744.009750186382
