scope,top_n,available_positive_trades,removed_positive_pnl,remaining_net_pnl,remaining_return_on_initial,remaining_profit_factor
ALL_TRADES,1,235,22785.108141264605,85370.75499896087,0.8537075499896086,1.399232737932183
ALL_TRADES,3,235,52096.82425557897,56059.0388846465,0.560590388846465,1.2621577328212288
ALL_TRADES,5,235,71366.4789498387,36789.38419038677,0.3678938419038677,1.172044004733774
PIT_ELIGIBLE,1,185,16742.9924034956,91412.87073672985,0.9141287073672985,1.4274884375440937
PIT_ELIGIBLE,3,185,39620.509726937125,68535.35341328834,0.6853535341328834,1.3205026919191467
PIT_ELIGIBLE,5,185,56445.23726728478,51710.62587294068,0.5171062587294069,1.2418225626292305
NON_PIT,1,50,22785.108141264605,85370.75499896087,0.8537075499896086,1.399232737932183
NON_PIT,3,50,40219.324013789636,67936.53912643583,0.6793653912643584,1.317702362142797
NON_PIT,5,50,54309.68393646029,53846.17920376518,0.5384617920376519,1.2518093877811882
UNRESOLVED,1,0,0.0,108155.86314022547,1.0815586314022547,1.505786335911124
UNRESOLVED,3,0,0.0,108155.86314022547,1.0815586314022547,1.505786335911124
UNRESOLVED,5,0,0.0,108155.86314022547,1.0815586314022547,1.505786335911124
