trade_row_id,trade_id,symbol,entry_time,year,rebalance_time,engine_id,market_regime,market_cap_rank,rank_resolved,tradable_at_entry,fixed6_pit_status,fixed10_pit_status,a0_fixed6_pit_status,a0_fixed10_pit_status,net_pnl
1,RD16L-V3-000001,BTC,2019-08-05 01:00:00+00:00,2019,2019-08-05 00:00:00+00:00,TREND_CONTINUATION_CORE_V3,STRONG_BULL,1.0,True,True,PIT_ELIGIBLE,PIT_ELIGIBLE,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,590.7854562271835
2,RD16L-V3-000002,BTC,2019-08-11 22:00:00+00:00,2019,2019-08-05 00:00:00+00:00,COMPRESSION_EXPANSION_SPECIALIST_V3,STRONG_BULL,1.0,True,True,PIT_ELIGIBLE,PIT_ELIGIBLE,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-662.223413719408
3,RD16L-V3-000003,BTC,2019-08-25 13:00:00+00:00,2019,2019-08-19 00:00:00+00:00,COMPRESSION_EXPANSION_SPECIALIST_V3,STRONG_BULL,1.0,True,True,PIT_ELIGIBLE,PIT_ELIGIBLE,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-742.9581549390514
4,RD16L-V3-000004,BTC,2019-09-03 13:00:00+00:00,2019,2019-09-02 00:00:00+00:00,COMPRESSION_EXPANSION_SPECIALIST_V3,STRONG_BULL,1.0,True,True,PIT_ELIGIBLE,PIT_ELIGIBLE,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,44.94393758517081
5,RD16L-V3-000005,BTC,2019-09-06 12:00:00+00:00,2019,2019-09-02 00:00:00+00:00,TREND_CONTINUATION_CORE_V3,STRONG_BULL,1.0,True,True,PIT_ELIGIBLE,PIT_ELIGIBLE,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-632.4473589988087
6,RD16L-V3-000006,ETH,2019-10-08 02:00:00+00:00,2019,2019-10-07 00:00:00+00:00,COMPRESSION_EXPANSION_SPECIALIST_V3,BEAR,3.0,True,True,PIT_ELIGIBLE,PIT_ELIGIBLE,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-555.607101476602
7,RD16L-V3-000007,ETH,2019-10-09 09:00:00+00:00,2019,2019-10-07 00:00:00+00:00,COMPRESSION_EXPANSION_SPECIALIST_V3,BEAR,3.0,True,True,PIT_ELIGIBLE,PIT_ELIGIBLE,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,355.91673766993506
8,RD16L-V3-000008,ETH,2019-10-14 17:00:00+00:00,2019,2019-10-14 00:00:00+00:00,COMPRESSION_EXPANSION_SPECIALIST_V3,BEAR,3.0,True,True,PIT_ELIGIBLE,PIT_ELIGIBLE,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-442.8541720061467
9,RD16L-V3-000009,BTC,2019-10-31 13:00:00+00:00,2019,2019-10-28 00:00:00+00:00,COMPRESSION_EXPANSION_SPECIALIST_V3,STRONG_BULL,1.0,True,True,PIT_ELIGIBLE,PIT_ELIGIBLE,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-845.6746607421137
10,RD16L-V3-000010,ETH,2019-11-01 21:00:00+00:00,2019,2019-10-28 00:00:00+00:00,COMPRESSION_EXPANSION_SPECIALIST_V3,BEAR,3.0,True,True,PIT_ELIGIBLE,PIT_ELIGIBLE,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-505.02957498236003
11,RD16L-V3-000011,BTC,2019-11-02 13:00:00+00:00,2019,2019-10-28 00:00:00+00:00,TREND_CONTINUATION_CORE_V3,STRONG_BULL,1.0,True,True,PIT_ELIGIBLE,PIT_ELIGIBLE,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-554.8834308791053
12,RD16L-V3-000012,BTC,2019-11-04 12:00:00+00:00,2019,2019-11-04 00:00:00+00:00,TREND_CONTINUATION_CORE_V3,STRONG_BULL,1.0,True,True,PIT_ELIGIBLE,PIT_ELIGIBLE,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,257.67457725218406
13,RD16L-V3-000013,ETH,2019-11-05 15:00:00+00:00,2019,2019-11-04 00:00:00+00:00,COMPRESSION_EXPANSION_SPECIALIST_V3,BEAR,3.0,True,True,PIT_ELIGIBLE,PIT_ELIGIBLE,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,34.55575463641037
14,RD16L-V3-000014,BTC,2019-11-10 06:00:00+00:00,2019,2019-11-04 00:00:00+00:00,COMPRESSION_EXPANSION_SPECIALIST_V3,STRONG_BULL,1.0,True,True,PIT_ELIGIBLE,PIT_ELIGIBLE,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-468.1140230172534
15,RD16L-V3-000015,ETH,2019-11-10 06:00:00+00:00,2019,2019-11-04 00:00:00+00:00,COMPRESSION_EXPANSION_SPECIALIST_V3,BEAR,3.0,True,True,PIT_ELIGIBLE,PIT_ELIGIBLE,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-383.558857102761
16,RD16L-V3-000016,BTC,2020-01-14 01:00:00+00:00,2020,2020-01-13 00:00:00+00:00,TREND_CONTINUATION_CORE_V3,BULL,1.0,True,True,PIT_ELIGIBLE,PIT_ELIGIBLE,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,247.37884682796795
17,RD16L-V3-000017,BTC,2020-01-19 02:00:00+00:00,2020,2020-01-13 00:00:00+00:00,TREND_CONTINUATION_CORE_V3,BULL,1.0,True,True,PIT_ELIGIBLE,PIT_ELIGIBLE,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-417.97619982054215
18,RD16L-V3-000018,ETH,2020-02-05 06:00:00+00:00,2020,2020-02-03 00:00:00+00:00,TREND_CONTINUATION_CORE_V3,BULL,3.0,True,True,PIT_ELIGIBLE,PIT_ELIGIBLE,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,4574.864811414947
19,RD16L-V3-000019,BTC,2020-02-05 06:00:00+00:00,2020,2020-02-03 00:00:00+00:00,COMPRESSION_EXPANSION_SPECIALIST_V3,STRONG_BULL,1.0,True,True,PIT_ELIGIBLE,PIT_ELIGIBLE,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,4330.236214091043
20,RD16L-V3-000020,BTC,2020-02-11 16:00:00+00:00,2020,2020-02-10 00:00:00+00:00,TREND_CONTINUATION_CORE_V3,STRONG_BULL,1.0,True,True,PIT_ELIGIBLE,PIT_ELIGIBLE,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,41.21018035369939
21,RD16L-V3-000021,ETH,2020-02-11 16:00:00+00:00,2020,2020-02-10 00:00:00+00:00,TREND_CONTINUATION_CORE_V3,STRONG_BULL,3.0,True,True,PIT_ELIGIBLE,PIT_ELIGIBLE,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,657.8853739762345
22,RD16L-V3-000022,ETH,2020-02-23 04:00:00+00:00,2020,2020-02-17 00:00:00+00:00,TREND_CONTINUATION_CORE_V3,STRONG_BULL,3.0,True,True,PIT_ELIGIBLE,PIT_ELIGIBLE,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,572.310016265392
23,RD16L-V3-000023,BTC,2020-02-23 04:00:00+00:00,2020,2020-02-17 00:00:00+00:00,COMPRESSION_EXPANSION_SPECIALIST_V3,STRONG_BULL,1.0,True,True,PIT_ELIGIBLE,PIT_ELIGIBLE,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,224.43812690369563
