prohibition,value,scope
LEVERAGE,False,ALL_RD19_STAGES
MARGIN,False,ALL_RD19_STAGES
DERIVATIVES,False,ALL_RD19_STAGES
SHORTING,False,ALL_RD19_STAGES
PYRAMIDING,False,ALL_RD19_STAGES
AVERAGING_DOWN,False,ALL_RD19_STAGES
DCA,False,ALL_RD19_STAGES
KELLY_SIZING,False,ALL_RD19_STAGES
POST_2024_ACCESS,False,ALL_RD19_STAGES
PRODUCTION_AUTHORIZED,False,ALL_RD19_STAGES
ANY_POST_2024_ACCESS_BEFORE_P3_FREEZE,True,P1_AND_P2
ANY_PER_UNIVERSE_PARAMETERIZATION,True,P1_AND_P2
ANY_NEGATIVE_CASH_OR_LEVERAGE,True,P1_AND_P2
ANY_SECONDARY_SLEEVE_USED_TO_RESCUE_PRIMARY,True,P1_AND_P2
ANY_POST_HOC_ASSET_YEAR_OR_TRADE_REMOVAL,True,P1_AND_P2
ANY_FINALIST_WITH_NONPOSITIVE_2X_RETURN_IN_ANY_UNIVERSE,True,P1_AND_P2
ANY_VARIANT_MATRIX_CHANGE_AFTER_FIRST_RESULT,True,P1_AND_P2
