score_bin,candidate_count,accepted_count,mean_forward_20_bar_return
LT_50,3073,0,0.02304907107418896
50_60,486,0,0.03807547480975602
60_70,240,0,0.12554793767715366
70_80,67,15,0.15022434195632986
80_90,14,7,0.18521261635092293
90_100,2,1,0.4034947033392603
