affected,capacity_after_omission,completed_bar_count,decision_time,effective_end,omitted_pair,removed_effective_pair,removed_original_pair,replacement_pair,resolution_mode,resolution_source,universe_id
False,6,0,2019-04-01T00:00:00+00:00,2019-04-08T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-04-08T00:00:00+00:00,2019-04-15T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-04-15T00:00:00+00:00,2019-04-22T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-04-22T00:00:00+00:00,2019-04-29T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-04-29T00:00:00+00:00,2019-05-06T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-05-06T00:00:00+00:00,2019-05-13T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-05-13T00:00:00+00:00,2019-05-20T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-05-20T00:00:00+00:00,2019-05-27T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-05-27T00:00:00+00:00,2019-06-03T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-06-03T00:00:00+00:00,2019-06-10T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-06-10T00:00:00+00:00,2019-06-17T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-06-17T00:00:00+00:00,2019-06-24T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-06-24T00:00:00+00:00,2019-07-01T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-07-01T00:00:00+00:00,2019-07-08T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-07-08T00:00:00+00:00,2019-07-15T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-07-15T00:00:00+00:00,2019-07-22T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-07-22T00:00:00+00:00,2019-07-29T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-07-29T00:00:00+00:00,2019-08-05T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-08-05T00:00:00+00:00,2019-08-12T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-08-12T00:00:00+00:00,2019-08-19T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-08-19T00:00:00+00:00,2019-08-26T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-08-26T00:00:00+00:00,2019-09-02T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-09-02T00:00:00+00:00,2019-09-09T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-09-09T00:00:00+00:00,2019-09-16T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-09-16T00:00:00+00:00,2019-09-23T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-09-23T00:00:00+00:00,2019-09-30T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-09-30T00:00:00+00:00,2019-10-07T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-10-07T00:00:00+00:00,2019-10-14T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-10-14T00:00:00+00:00,2019-10-21T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-10-21T00:00:00+00:00,2019-10-28T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-10-28T00:00:00+00:00,2019-11-04T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-11-04T00:00:00+00:00,2019-11-11T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-11-11T00:00:00+00:00,2019-11-18T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-11-18T00:00:00+00:00,2019-11-25T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-11-25T00:00:00+00:00,2019-12-02T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-12-02T00:00:00+00:00,2019-12-09T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-12-09T00:00:00+00:00,2019-12-16T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-12-16T00:00:00+00:00,2019-12-23T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-12-23T00:00:00+00:00,2019-12-30T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2019-12-30T00:00:00+00:00,2020-01-06T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2020-01-06T00:00:00+00:00,2020-01-13T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2020-01-13T00:00:00+00:00,2020-01-20T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2020-01-20T00:00:00+00:00,2020-01-27T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2020-01-27T00:00:00+00:00,2020-02-03T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2020-02-03T00:00:00+00:00,2020-02-10T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2020-02-10T00:00:00+00:00,2020-02-17T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2020-02-17T00:00:00+00:00,2020-02-24T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2020-02-24T00:00:00+00:00,2020-03-02T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
