period_type,period,start_equity,end_equity,return
year,2020,102094.3601055668,146867.58687603445,0.43854750374233786
year,2021,145508.91385644555,565416.2617091339,2.8857843600355335
year,2022,563307.0960152051,475466.9578440576,-0.1559365021185114
year,2023,475466.9578440576,502947.1560403638,0.05779623114277288
year,2024,502301.62887298054,543848.9630975309,0.0827139149792735
